LIFNR,KTOKK,NAME1,NAME2,SORTL,STRAS,ORT01,PSTLZ,LAND1,SPRAS,TELF1,SMTP_ADDR,STCD1,LOEVM,SPERM,ERDAT
0000070061,Z999,Ortolani Tecnologie S.p.A.,,ORTOLANI T,Via del Commercio 157,Roma,00123,IT,IT,,info@ortolani-tecnologie.it,IT99503222687,,,2009-05-26
0000070067,LIEF,Fairhaven-Thornbury Technologies Limited,,FAIRHAVENT,29 Victoria Road,Bristol,BS1 4HX,GB,EN,+44 141 791 0626,billing@fairhaven-thornbury.co.uk,GB575230761,,,2012-09-06
0000070080,KRED,Donautal Service AG,,DONAUTAL S,Lindenallee 4,Düsseldorf,40225,DE,DE,+49 69 2947 0066,buchhaltung@donautal-service.de,DE579571656,,,2016-04-01
0000070138,LIEF,Peralta-Lorente Alimentación S.A.,,PERALTALOR,"Carretera de Valencia, km 115",Zaragoza,50016,ES,ES,+34 93 997 1952,ap@peralta-lorente.es,ESV8108959G,,,2016-04-01
0000070140,LIEF,Amritsar Woollen-Mahavir Leathers Private Limited,,AMRITSARWO,"Plot No. 170, Sector 8, IMT",Noida,201338,IN,EN,+91 44 2607 7926,billing@amritsar-woollen-53.in,07UXRMU6475F1ZY,,,2016-04-01
0000070181,LIEF,QUARRYMILL FOODS LTD,,QUARRYMILL,139 HIGH STREET,Manchester,M17 3LN,GB,EN,unknown,info@quarrymill-foods.co.uk,GB430337830,,,2015-03-13
0000070187,KRED,Marion Sonnenfeld GmbH & Co. KG,,MARION SON,Zur Mühle 8,Dresden,01092,DE,DE,000,,DE614361253,,,2015-03-14
0000070214,DIEN,Terlouw Voeding N.V.,,TERLOUWVOE,Distributiestraat 17,Amsterdam,1073 JN,NL,EN,+31 40 265 1170,sales@terlouw-voeding.nl,NL852191073B15,,,0000-00-00
0000070295,LIEF,MONTCLAIR BOISSONS SAS,,MONTCLAIRB,189 AVENUE DE LA REPUBLIQUE,Marseille,13003,FR,FR,+33 1 5513 2752,info@montclair-boissons.fr,,,,2012-01-16
0000070326,LIEF,Cascais Têxteis Lda.,,CASCAISTEX,Avenida da Liberdade 226,Lisboa,1000-507,PT,EN,+351 21 820 0509,accounts@cascais-texteis.pt,PT028943811,,,2016-04-01
0000070333,KRED,Hochstätt Textil GmbH,,HOCHSTATTT,Zur Mühle 222,Dortmund,44171,DE,DE,+49 89 8014 6807,export@hochstatt-textil.de,DE874226511,,,1900-01-01
0000070360,KRED,Kaltenbach-Steinhaus Technik GmbH,,KALTENBACH,Carl-Benz-Straße 152,Berlin,10192,DE,DE,+49 40 4460 1797,buchhaltung@kaltenbach-steinhaus.de,DE373765,,,2014-08-22
0000070386,DIEN,Lorenz Service GmbH,- Zweigniederlassung -,LORENZSERV,Am Handelshof 130,Hamburg,X0096,DE,DE,+49 341 501 5999,,DE406931910,,,2016-04-01
0000070405,DIEN,Viet Thang Trading JSC,Export Department,VIET THANG,"Lot C110, Tan Binh Industrial Park",Ho Chi Minh City,700820,VN,EN,+84 274 484 9958,,3679995,,,2016-04-01
0000070503,KRED,Weissmann & Schönfeld GmbH,,WEISSMANN,Otto-Hahn-Straße 118,München,80353,DE,DE,+49 40 5267 8646,einkauf@weissmann-schonfeld.de,DE348606227,,,2016-04-01
0000070516,LIEF,Duarte Impresión S.L.,,DUARTEIMPR,"Polígono Industrial Sur, Nave 13",Valencia,46008,ES,ES,+34 95 900 0930,ap@duarte-impresion.es,EST4097835C,,,2016-04-01
0000070553,KRED,Westphal Technik GmbH,,WESTPHAL T,Bahnhofstraße 127,Essen,45187,DE,DE,+49 211 356 2673,office@westphal-technik.de,DE306113348,,,2012-08-24
0000070578,DIEN,  Northgate  Electronics Corp. ,,NORTHGATE,238 Distribution Way,Los Angeles,90052,US,EN,+1 312 555 1752,info@northgate-electronics.com,68-5241114,,,2010-06-30
0000070597,LIEF,Sancerre Boissons S.A.,Attn: Accounts Receivable,SANCERRE B,"ZI Nord, Lot 75",Paris,75010,FR,FR,+33 5 7945 8456,achats@sancerre-boissons.fr,FR63796481151,,,2016-04-01
0000070615,LIEF,Thomas Ironbridge Ltd,,THOMASIRON,"Unit 182, Kingsway Business Park",Leeds,LS1 3HX,GB,EN,+44 113 331 7608,purchasing@thomas-ironbridge.co.uk,GB493829,,,2013-08-18
0000070630,LIEF,Hautefort Impression SARL,,HAUTEFORTI,222 Avenue de la République,Paris,75040,FR,FR,+33 1 7931 2443,contact@hautefort-impression.fr,FR32199076209,,,2016-04-01
0000070675,KRED,Eichberg e.K.,,EICHBERG E,Carl-Benz-Straße 38,Leipzig,04128,DE,DE,+49 40 7828 9950,kontakt@eichberg-e.de,DE291828860,,,2016-04-01
0000070709,LIEF,Barcelo Embalajes S.L.,,BARCELO EM,Avenida de la Constitución 89,Zaragoza,50016,ES,ES,+34 96 586 5963,accounts@barcelo-embalajes.es,ESL7813634X,,,2011-06-13
0000070762,KRED,Westphal Möbel GmbH,,WESTPHAL M,Zur Mühle 16,Dortmund,44159,DE,DE,+49 30 3243 2141,rechnung@westphal-mobel.de,DE537929815,,,2010-01-25
0000070764,DIEN,Bergmann GmbH & Co. KG,,BERGMANN G,Fabrikweg 10,Stuttgart,70218,DE,DE,,vertrieb@bergmann-77.de,DE274871868,,,2010-02-03
0000070881,KRED,Elbtal-Donautal Möbel GmbH,,ELBTALDONA,Industriestraße 133,Hannover,30241,DE,DE,,service@elbtal-donautal.de,,,,2013-03-18
0000070976,LIEF,"Ningbo Zhenxing & Ruiyang Industrial Co., Ltd.",,NINGBOZHEN,"Block 224, Longgang District",Ningbo,315070,CN,ZH,+86 755 655 0349,sales@ningbo-zhenxing.com.cn,91448845PABJR8SEN5,,,2016-04-01
0000071013,LIEF,Rupali & Shonar Limited,,RUPALI SHO,"House 101, Road 7, Banani",Narayanganj,1415,BD,EN,+880 821 502553,office@rupali-shonar.com.bd,529643207-6278,,,2013-09-23
0000071160,KRED,Lorenz Ladenbau & Partner GmbH & Co. KG,,LORENZLADE,Zur Mühle 231,Frankfurt am Main,60335,DE,DE,+49 221 352 1465,rechnung@lorenz-ladenbau.de,DE455976323,,,2015-11-06
0000071230,KRED,Vogel Textil GmbH,,VOGEL TEXT,Fabrikweg 106,Düsseldorf,40265,DE,DE,+49 40 9181 3294,office@vogel-textil.de,DE497298773,,,2015-08-11
