LIFNR,BUKRS,AKONT,ZTERM,ZWELS,HBKID,SPERR,LOEVM
0000070061,1000,0000160000,0001,TU,CB001,,
0000070067,2000,0000160100,Z030,,,,
0000070080,1000,0000160000,NT30,S,CB001,,
0000070080,3000,0000160000,Z060,TU,BOA01,,
0000070138,1000,0000160100,Z030,,,,
0000070140,1000,0000160100,Z014,T,CB001,,
0000070181,2000,0000160100,Z060,U,,,
0000070187,1000,0000160000,0001,S,DB001,,
0000070214,1000,0000160000,NT30,,,,
0000070326,1000,0000160100,NT30,S,DB001,,
0000070333,1000,0000160000,NT30,S,,,
0000070360,1000,0000160000,0001,TU,CB001,,
0000070386,1000,0000160000,NT30,,,,
0000070405,1000,0000160000,Z014,,,,
0000070405,3000,0000160000,NT30,U,BOA01,,
0000070503,1000,0000160000,NT30,S,,,
0000070516,1000,0000160100,NT30,TU,DB001,,
0000070553,1000,0000160000,0001,TU,CB001,,
0000070578,3000,0000160000,Z030,S,JPM01,,
0000070597,1000,0000160100,NT30,T,,,
0000070615,2000,0000160100,NT30,C,HSBC1,,
0000070615,3000,0000160100,0002,C,JPM01,,
0000070630,1000,0000160100,Z014,TU,CB001,,
0000070675,1000,0000160000,0002,TU,CB001,,
0000070709,1000,0000160100,Z060,,,,
0000070762,1000,0000160000,NT30,C,DB001,,
0000070881,1000,0000160000,Z014,U,DB001,,
0000070976,1000,0000160100,Z030,,,,
0000070976,2000,0000160100,Z030,,,,
0000071013,1000,0000160100,Z030,T,,,
0000071160,1000,0000160000,0001,TU,,,
0000071160,3000,0000160000,Z014,S,JPM01,,
0000071230,1000,0000160000,Z060,T,,,
0000071251,1000,0000160100,Z030,TU,CB001,,
0000071275,1000,0000160000,0002,C,DB001,,
0000071334,1000,0000160000,Z030,C,HSBC1,,
0000071334,2000,0000160000,Z060,U,,,
0000071396,2000,0000160100,0002,C,BARC1,,
0000071454,1000,0000160000,Z060,U,DB001,,
0000071469,1000,0000160100,0001,C,CB001,,
0000071510,1000,0000160100,0001,S,DB001,,
0000071543,1000,0000160100,Z030,T,CB001,,
0000071639,3000,0000160100,0002,,,,
0000071681,1000,0000160000,Z014,,,,
0000071688,1000,0000160000,Z030,,,,
0000071795,1000,0000160100,Z030,,,,
0000071795,3000,0000160100,Z060,TU,,X,
0000071846,1000,0000160100,0002,,,,
0000071920,1000,0000160000,Z014,T,CB001,,
0000071944,1000,0000160000,Z060,S,CB001,,
0000071945,1000,0000160000,Z014,C,CB001,,
0000072086,1000,0000160000,Z060,T,DB001,,
0000072214,1000,0000160100,NT30,,,,
0000072214,2000,0000160100,XXXX,C,BARC1,,
0000072259,1000,0000160000,NT30,C,CB001,,
0000072259,3000,0000160000,NT30,TU,JPM01,,
0000072276,1000,0000160100,Z060,S,CB001,,
0000072276,3000,0000160100,Z014,T,BOA01,,
0000072333,2000,0000160100,Z030,C,HSBC1,,
0000072410,1000,0000160100,Z060,,,,
0000072512,1000,0000160000,Z014,U,CB001,,
0000072535,3000,0000160100,Z030,TU,BOA01,,
0000072755,1000,0000160100,0002,TU,CB001,,
0000072835,1000,0000160100,Z030,U,CB001,,
0000072835,3000,0000160100,Z030,C,BOA01,,
0000072911,1000,0000160100,Z030,,,,
0000072911,3000,0000160100,Z030,C,BOA01,,
0000072992,1000,0000160000,Z060,S,DB001,,
0000073055,1000,0000160000,Z060,TU,DB001,,
0000073071,2000,0000160100,NT30,,,,
0000073071,3000,0000160100,NT30,T,BOA01,,
0000073101,2000,0000160100,Z060,,,,
0000073148,1000,0000160000,NT30,C,DB001,,
0000073169,1000,0000160000,0001,S,DB001,,
0000073172,1000,0000160100,,,,,
0000073172,3000,0000160100,Z060,T,,,
0000073203,1000,0000160100,0001,,,,
0000073203,2000,0000160100,Z014,TU,HSBC1,,
0000073295,1000,0000160000,0002,,,,
0000073301,1000,0000160000,0001,,,,
0000073442,1000,0000160000,0002,S,CB001,,
0000073577,2000,0000160100,0002,T,BARC1,,
0000073577,3000,0000160100,0001,T,BOA01,,
0000073608,2000,0000160100,0001,C,BARC1,,
0000073709,1000,0000160000,0002,S,DB001,,
0000073713,2000,0000160100,Z060,S,BARC1,,
0000073760,2000,0000999999,Z060,S,BARC1,,
0000073890,1000,0000160000,Z014,T,DB001,,
0000073917,1000,0000160100,NT30,,,,
0000073917,2000,0000160100,Z014,T,,,
0000074109,1000,0000160000,0001,T,DB001,,
0000074117,1000,0000160000,Z060,C,CB001,,
0000074117,2000,0000160000,0002,T,BARC1,,
0000074355,1000,0000160100,Z060,U,CB001,,
0000074446,1000,0000160100,0002,,,,
0000074498,1000,0000160000,0002,,,,
0000074526,1000,0000160100,0002,C,DB001,,
0000074590,1000,0000160100,0001,U,HSBC1,,
0000074590,3000,0000160100,Z060,U,BOA01,,
0000074595,1000,0000160000,Z060,,,,
0000074606,1000,0000160100,NT30,,,,
0000074634,1000,0000160000,Z060,S,CB001,,
0000074671,1000,0000160000,Z060,TU,DB001,,
0000074693,1000,0000160000,0002,T,DB001,,
0000074704,2000,0000160100,0002,C,,,
0000074768,2000,0000160000,Z060,C,BARC1,,
0000074772,2000,0000160100,NT30,T,HSBC1,,X
0000074783,1000,0000160100,NT30,,,,
0000074783,2000,0000160100,NT30,,,,
0000074850,1000,0000160000,0001,,,,
0000074858,1000,0000160000,0002,,,,
0000074926,1000,0000160000,Z030,T,JPM01,,
0000074932,1000,0000160000,0001,T,CB001,,
0000074932,3000,0000160000,Z014,,,,
0000074939,1000,0000160000,Z014,,,,
0000074952,1000,0000160100,Z014,U,,,
0000075005,1000,0000160000,Z014,,,,
0000075038,1000,0000160000,0001,,,,
0000075038,2000,0000160000,NT30,U,,,
0000075038,2000,0000160000,0001,U,,,
0000075235,1000,,Z060,S,DB001,,
0000075235,3000,0000160100,Z060,T,BOA01,,
0000075243,1000,0000160000,Z060,TU,,,
