LIFNR,BANKS,BANKL,BANKN,BKONT,KOINH,IBAN
0000070080,DE,59343927,4584214010,01,Donautal Service AG,DE83593439274584214010
0000070138,ES,42351920,3274312492,,Peralta-Lorente Alimentación S.A.,ES1942351920403274312492
0000070140,IN,JOAH09IMRS0,06738478848,01,,
0000070181,GB,046292,48137231,01,Quarrymill Foods Ltd,GB72LOYD04629248137231
0000070187,DE,62494181,6081742342,01,Marion Sonnenfeld GmbH & Co. KG,DE30624941816081742342
0000070214,NL,ABNA,7239936598,01,Terlouw Voeding N.V.,NL87ABNA7239936598
0000070326,PT,87657229,09365958782,,Cascais Têxteis Lda.,PT74876572290936595878263
0000070360,DE,56775030,5049988962,,Kaltenbach-Steinhaus Technik GmbH,DE27567750305049988962
0000070386,DE,56774061,6711971419,,Lorenz Service GmbH,DE04567740616711971419
0000070503,DE,12204919,5494052032,,,DE03122049195494052032
0000070516,ES,70650981,7629562204,01,Duarte Impresión S.L.,ES5270650981337629562204
0000070553,DE,31772619,-,01,Westphal Technik GmbH,DE16317726191868013858
0000070578,US,660613756,17028503,01,Northgate Electronics Corp.,
0000070597,FR,1778285448,OES5XF2FE2M,,Sancerre Boissons S.A.,FR541778285448OES5XF2FE2M58
0000070597,DE,88699667,9244661273,,,DE22886996679244661273
0000070615,GB,051223,74848589,01,Thomas Ironbridge Ltd,GB77BARC05122374848589
0000070630,FR,1321080095,DWVQX1PYRQU,01,Hautefort Impression SARL,FR441321080095DWVQX1PYRQU12
0000070630,FR,9907678434,O6UOCWBO6WD,,,FR399907678434O6UOCWBO6WD07
0000070675,DE,75332184,5218897458,01,Eichberg e.K.,DE64753321845218897458
0000070709,ES,69082213,8998329352,,Barcelo Embalajes S.L.,ES6769082213318998329352
0000070764,DE,68895958,9162560758,,Bergmann GmbH & Co. KG,DE68688959589162560758
0000070764,DE,84602815,1972451030,,Bergmann GmbH & Co. KG,DE35846028151972451030
0000070881,DE,27314367,7181936928,,Elbtal-Donautal Möbel GmbH,DE84273143677181936928
0000070881,DE,43485731,8723308928,,Elbtal-Donautal Möbel GmbH,DE38434857318723308928
0000071013,BD,468759086,0899141685965,,Rupali & Shonar Limited,
0000071160,DE,41309301,4238530370,,Lorenz Ladenbau & Partner GmbH & Co. KG,DE93413093014238530370
0000071230,DE,58502669,6663704854,,Vogel Textil GmbH,DE80585026696663704854
0000071230,DE,85671798,2284114808,01,Vogel Textil GmbH,DE60856717982284114808
0000071251,ES,75791096,7497907034,,Alvarado Sistemas S.L.,ES6675791096107497907034
0000071334,NL,RABO,4254974822,,Terlouw & Meulenbelt N.V.,NL31RABO4254974822
0000071396,GB,365651,52903776,,Ravenscroft & Underhill Ltd,GB35LOYD36565152903776
0000071454,IT,4760895434,84A2FIBGC37Z,01,,IT91N476089543484A2FIBGC37Z
0000071469,PT,04577030,01169119142,,Estoril Comércio Lda.,PT95045770300116911914252
0000071510,IT,9356373321,AYV415R2HSBG,01,Navarra & Donatelli S.p.A.,IT85G9356373321AYV415R2HSBG
0000071625,DE,10360822,2809902965,01,Ackermann & Rheinland e.K.,DE57103608222809902965
0000071639,US,934467803,6319946381,01,Dunmore Textiles Co.,
0000071681,DE,23799724,4675895044,01,Maibach Technik & Partner GmbH & Co. KG,DE87237997244675895044
0000071688,BD,157186630,0035601493287,,Shonar-Karnaphuli Textiles Limited,
0000071688,BD,171533802,4966784621703,,,
0000071795,CN,360818400940,0303836623635911370,,"Qingdao Antai & Longxin Co., Ltd.",
0000071846,IN,VAUU08CPBHH,87483095355401,,Shreeji Fabrics Pvt Ltd,
0000071920,DE,78772120,7461028961,,Andreas Schmidt,DE08787721207461028961
0000071944,DE,15588536,8453530084,,Lindner Technik AG,DE47155885368453530084
0000071945,DE,50955725,3413412835,,Kessler & Osterbach e.K.,DE58509557253413412835
0000072000,IN,AHIN03SYPYS,9324264697955826,,Vaishnavi & Mahavir Ltd,
0000072000,IN,MZWD0E13PNR,12206554141,,Vaishnavi & Mahavir Ltd,
0000072086,DE,52565801,0461840202,01,Haustein Getränke GmbH,DE66525658010461840202
0000072214,IN,CCWT0LIYYL4,35706427726854,,Ganapathy-Mahavir Garments Private Limited,
0000072259,CN,171046879367,3212925606304056210,,"Dongguan Jinfeng Textile Co., Ltd.",
0000072276,IT,6018298090,PLICO3FYK46Z,,Ricciardi Sistemi S.p.A.,IT08M6018298090PLICO3FYK46Z
0000072333,GB,072905,44910470,01,Quarrymill Distribution & Partner Ltd,GB89MIDL07290544910470
0000072410,NL,ABNA,7440671184,,Vermeer Techniek N.V.,NL40ABNA7440671184
0000072512,DE,29956621,0962856157,,,DE78299566210962856157
0000072535,US,423656294,13927629,01,Deverill Print Corp.,
0000072755,TR,79388,4715824161331444,,Çukurova-Anadolu Halı Ltd. Şti.,TR237938804715824161331444
0000072835,FR,8008774930,VLOX0DPIFI1,,Bellevue-Hautefort Services S.A.,FR158008774930VLOX0DPIFI129
0000072911,TR,30933,2828138118386983,,Yıldız Halı A.Ş.,TR713093302828138118386983
0000072911,TR,79208,1050084235430305,01,Yıldız Halı A.Ş.,TR037920801050084235430305
0000072992,DE,78103472,1047980101,01,,DE21781034721047980101
0000073055,DE,30921680,6706894167,,Schönfeld e.K.,DE04309216806706894167
0000073071,GB,428173,37238099,01,Harlow Systems Ltd,GB21HBUK42817337238099
0000073101,GB,800178,38588230,01,Ravenscroft Shopfitting Ltd,GB56BARC80017838588230
0000073148,DE,31180483,2376701572,,Brenner Druck e.K.,DE43311804832376701572
0000073148,DE,71566925,6900291984,,Brenner Druck e.K.,DE04715669256900291984
0000073169,DE,89882263,5677927181,01,Elbtal & Vogel GmbH,DE15898822635677927181
0000073172,US,695443675,42605613,01,,
0000073203,GB,241876,22467768,,Clara Crestwood Ltd,GB22MIDL24187622467768
0000073295,DE,33018379,6551717031,,Tannhof & Haustein GmbH,DE69330183796551717031
0000073295,DE,64309090,7143712245,01,Tannhof & Haustein GmbH,DE46643090907143712245
0000073298,DE,63369885,8310777635,,Mühlbach e.K.,DE18633698858310777635
0000073301,DE,31321546,3259560199,,Thomas Sonnenfeld GmbH,DE54313215463259560199
0000073403,DE,42410668,9591607662,,Eichberg Verpackungen GmbH & Co. KG,DE85424106689591607662
0000073442,DE,25341453,0966682414,,Eichberg Systeme GmbH,DE38253414530966682414
0000073442,DE,68671858,8793429640,,Eichberg Systeme GmbH,DE82686718588793429640
0000073457,GB,976567,18451946,,Northgate Services PLC,GB11BARC97656718451946
0000073577,GB,410466,44603527,,Greystone & Westbrook Ltd,GB11MIDL41046644603527
0000073577,US,588445958,946573169,01,Greystone & Westbrook Ltd,
0000073608,GB,713373,97440126,,Kingsmere-Underhill Packaging Ltd,GB64MIDL71337397440126
0000073625,IT,6873447482,1ZHG69H7E8VM,,Zanetti-Ricciardi Servizi S.r.l.,IT64X68734474821ZHG69H7E8VM
0000073713,GB,885888,50875434,,,GB19LOYD88588850875434
0000073760,GB,171539,60994812,01,Clara Granville Ltd,GB34NWBK17153960994812
0000073890,DE,41430591,5314042693,,Wieland Getränke GmbH,DE87414305915314042693
0000074109,DE,47541925,2187490200,,Reinhardt Druck GmbH & Co. KG,DE45475419252187490200
0000074117,DE,66154722,9304873532,01,Maibach Möbel & Partner GmbH,DE90661547229304873532
0000074355,VN,28891340,191858373985,,Thien An & Kim Son JSC,
0000074446,CN,809216722357,0536563387380706667,,"Dongguan Sanhe Hardware & Partner Industrial Co., Ltd.",
0000074498,CN,637254029263,1470331754445165,,"Hangzhou Fuhua Electronics Industrial Co., Ltd.",
0000074498,CN,880019476935,8872639774547103701,,,
0000074526,PL,59915426,0412321969249719,01,,PL10599154260412321969249719
0000074590,NL,ABNA,2599236854,,De Groot Systemen N.V.,NL73ABNA2599236854
0000074595,DE,40816881,2743752451,,Reinhardt Handels GmbH,DE87408168812743752451
0000074606,PL,85148493,7226054174590537,01,Górski Handel Sp. z o.o.,PL09851484937226054174590537
0000074634,AT,16434,72907451525,01,Donautal & Kornblum AG,AT951643472907451525
0000074634,AT,36340,89724054062,,Donautal & Kornblum AG,AT223634089724054062
0000074671,AT,54461,12968868677,,Wieland Lebensmittel GmbH,AT705446112968868677
0000074678,CN,405964931498,5084868915739191,,"Guangzhou Jinfeng Hardware Co., Ltd",
0000074693,DE,23075710,1092828826,01,Ackermann Systeme e.K.,DE44230757101092828826
0000074704,GB,409650,54640540,,Ravenscroft Foods & Partner Ltd,GB09BARC40965054640540
0000074768,GB,299734,83656555,,Clifton-Brambleton Print PLC,GB67MIDL29973483656555
0000074772,GB,716571,02456947,01,Clara Foxton Limited,GB97BARC71657102456947
0000074783,NL,ABNA,8968395439,01,Schouten Verpakkingen B.V.,NL53ABNA8968395439
0000074850,NL,RABO,7132707050,,Meulenbelt B.V.,NL28RABO7132707050
0000074926,DE,39781370,4568359783,,Seibert Systeme GmbH,DE51397813704568359783
0000074926,DE,88490715,4783934846,,Seibert Systeme GmbH,DE46884907154783934846
0000074932,DE,60540177,3515067773,,Weissmann-Hochstätt Systeme GmbH,DE61605401773515067773
0000074939,DE,30092537,9532858618,01,Weissmann-Maibach Elektronik e.K.,DE11300925379532858618
0000074952,FR,2349715151,VVYNYQ1YVCR,,Aubry-Montclair Cosmétiques SASU,FR552349715151VVYNYQ1YVCR08
0000074952,FR,4211808384,5IPI1MS6G6J,,,FR5342118083845IPI1MS6G6J01
0000075005,AT,14000,73886066077,01,Eichberg Ladenbau AG,AT501400073886066077
0000075005,AT,32709,82391912531,,Eichberg Ladenbau AG,AT283270982391912531
0000075038,GB,370952,26036315,,Thornbury-Eastgate Supplies Limited,GB26MIDL37095226036315
0000075235,CZ,9861,8560267281358844,01,Kovář Technika s.r.o.,CZ1798618560267281358844
0000075243,DE,60971784,1138027924,,,DE35609717841138027924
0000075351,ES,95149152,6218504535,01,Duarte Comercial S.L.,ES4095149152936218504535
0000075375,DE,68820047,1583968091,,Thomas Ackermann GmbH,DE47688200471583968091
0000075416,NL,ABNA,8256251329,01,Kuipers Voeding N.V.,NL63ABNA8256251329
0000075416,NL,INGB,5881839446,,Kuipers Voeding N.V.,NL87INGB5881839446
0000075431,PL,39678388,4182558664368397,,Zawadzki Logistyka & Partner Sp. z o.o.,PL64396783884182558664368397
0000075456,CN,161386071482,6853907220493413712,,"Guangzhou Fuhua Garment Co., Ltd.",
0000075456,CN,819080922491,2935852911736939941,,"Guangzhou Fuhua Garment Co., Ltd.",
0000075523,GB,120154,70272476,,Deverill Services Limited,GB29LOYD12015470272476
0000075526,DE,77351959,2639691982,01,Haustein Logistik AG,DE18773519592639691982
0000075699,BD,418024734,3655202311968,01,Ashulia Accessories & Partner Ltd.,
0000075699,BD,556198449,3266945219960,,Ashulia Accessories & Partner Ltd.,
0000075714,PL,26905692,1935914429215016,,,PL93269056921935914429215016
0000075726,IT,7384042479,M0CNZ685CEYW,01,Venturi Stampa & Partner S.p.A.,IT35I7384042479M0CNZ685CEYW
0000075750,FR,2190726542,4Y601S08GNQ,01,J. Dubois,FR2821907265424Y601S08GNQ24
0000075750,FR,3024139508,0C481R2H9N9,01,Lacroix Textiles SARL,FR2530241395080C481R2H9N907
0000075764,DE,61229254,4238302792,01,Schwarzwald Textil GmbH,DE31612292544238302792
0000075777,FR,3497306471,Q6BK7FH0NL7,,Sancerre SAS,FR523497306471Q6BK7FH0NL787
0000075812,NL,RABO,5644871241,01,Zandvliet & Terlouw N.V.,NL63RABO5644871241
