LIFNR,EKORG,WAERS,ZTERM,INCO1,MINBW,SPERM,LOEVM
0000070061,P100,EUR,NT30,FCA,0,,
0000070061,P300,EUR,0001,EXW,2500,,
0000070080,P100,EUR,Z060,DDP,0,,
0000070080,P200,EUR,Z060,EXW,100,,
0000070138,P100,EUR,Z060,DAP,250,,
0000070140,P100,INR,0002,CIF,0,,
0000070181,P200,GBP,Z060,DDP,250,,
0000070187,P100,EUR,Z060,DDP,0,,
0000070187,P200,EUR,Z014,DDP,100,,
0000070214,P100,EUR,0002,DDP,0,,
0000070326,P100,EUR,0002,DDP,250,,
0000070360,P100,EUR,Z030,DDP,1000,,
0000070360,P200,EUR,0001,DAP,250,,
0000070386,P100,EUR,Z030,DAP,0,,
0000070405,P100,VND,Z030,FCA,250,,
0000070503,P100,EUR,0002,DDP,0,,
0000070516,P100,EUR,Z014,EXW,0,,
0000070516,P300,EUR,Z060,DDP,2500,,
0000070553,P100,EUR,NT30,EXW,0,,
0000070553,P300,EUR,0001,DAP,2500,,
0000070630,P100,EUR,Z060,---,500,,
0000070675,P100,EUR,Z060,EXW,0,,
0000070675,P300,EUR,Z060,DDP,0,,
0000070709,P100,EUR,Z030,DDP,0,,
0000070762,P100,EUR,Z014,FCA,500,,
0000070881,P100,EUR,Z030,DAP,500,,
0000070881,P200,EUR,NT30,EXW,0,,
0000071013,P100,USD,NT30,CIF,0,,
0000071160,P100,EUR,NT30,FCA,250,,
0000071230,P100,EUR,0001,FCA,0,,
0000071251,P100,EUR,NT30,DDP,100,,
0000071275,P100,EUR,Z060,DDP,100,,
0000071334,P100,EUR,0001,DAP,0,,
0000071396,P200,GBP,0002,DAP,1000,,
0000071396,P300,GBP,Z014,DAP,0,,
0000071454,P100,EUR,0001,DAP,1000,,
0000071454,P200,EUR,0002,FCA,250,,
0000071469,P100,EUR,Z030,DDP,2500,,
0000071469,P300,EUR,NT30,DDP,2500,,
0000071510,P100,EUR,Z014,EXW,0,,
0000071543,P100,EUR,NT30,DAP,1000,,
0000071625,P100,EUR,Z060,FCA,0,,
0000071639,P300,USD,NT30,FCA,100,,
0000071681,P100,EUR,0002,DAP,2500,,
0000071688,P100,USD,0002,CFR,500,,
0000071795,P100,SEK,NT30,FCA,100,,
0000071920,P100,EUR,Z014,EXW,250,,
0000071944,P100,,Z014,FCA,0,,
0000071944,P200,EUR,Z014,FCA,2500,,
0000071945,P100,EUR,0001,DAP,0,,
0000072000,P100,INR,0001,FOB,0,,
0000072086,P100,EUR,0001,FCA,500,,
0000072214,P100,INR,Z030,CFR,1000,,
0000072259,P100,CNY,0001,CIF,0,,
