ADDRNUMBER,NAME1,STREET,HOUSE_NUM1,CITY1,POST_CODE1,COUNTRY,REGION,TEL_NUMBER,SMTP_ADDR
0000500001,Ortolani Tecnologie S.p.A.,Via del Commercio,157,Roma,00123,IT,,,info@ortolani-tecnologie.it
0000500002,Fairhaven-Thornbury Technologies Limited,29 Victoria,Road,Bristol,BS1 4HX,GB,,+44 141 791 0626,billing@fairhaven-thornbury.co.uk
0000500003,Donautal Service AG,Lindenallee,4,Düsseldorf,40225,DE,,+49 69 2947 0066,buchhaltung@donautal-service.de
0000500004,Peralta-Lorente Alimentación S.A.,"Carretera de Valencia, km",115,Zaragoza,50016,ES,,+34 93 997 1952,ap@peralta-lorente.es
0000500005,Amritsar Woollen-Mahavir Leathers Private Limited,"Plot No. 170, Sector 8,",IMT,Noida,201338,IN,,+91 44 2607 7926,billing@amritsar-woollen-53.in
0000500006,QUARRYMILL FOODS LTD,139 HIGH,STREET,Manchester,M17 3LN,GB,,unknown,info@quarrymill-foods.co.uk
0000500007,Marion Sonnenfeld GmbH & Co. KG,Zur Mühle,8,Dresden,01092,DE,,000,
0000500008,Terlouw Voeding N.V.,Distributiestraat,17,Amsterdam,1073 JN,NL,,+31 40 265 1170,sales@terlouw-voeding.nl
0000500009,MONTCLAIR BOISSONS SAS,189 AVENUE DE LA,REPUBLIQUE,Marseille,13003,FR,,+33 1 5513 2752,info@montclair-boissons.fr
0000500010,Cascais Têxteis Lda.,Avenida da Liberdade,226,Lisboa,1000-507,PT,,+351 21 820 0509,accounts@cascais-texteis.pt
0000500011,Hochstätt Textil GmbH,Zur Mühle,222,Dortmund,44171,DE,,+49 89 8014 6807,export@hochstatt-textil.de
0000500012,Kaltenbach-Steinhaus Technik GmbH,Carl-Benz-Straße,152,Berlin,10192,DE,,+49 40 4460 1797,buchhaltung@kaltenbach-steinhaus.de
0000500013,Lorenz Service GmbH,Am Handelshof,130,Hamburg,X0096,DE,,+49 341 501 5999,
0000500014,Viet Thang Trading JSC,"Lot C110, Tan Binh Industrial",Park,Ho Chi Minh City,700820,VN,,+84 274 484 9958,
0000500015,Weissmann & Schönfeld GmbH,Otto-Hahn-Straße,118,München,80353,DE,,+49 40 5267 8646,einkauf@weissmann-schonfeld.de
0000500016,Duarte Impresión S.L.,"Polígono Industrial Sur, Nave",13,Valencia,46008,ES,,+34 95 900 0930,ap@duarte-impresion.es
0000500017,Westphal Technik GmbH,Bahnhofstraße,127,Essen,45187,DE,,+49 211 356 2673,office@westphal-technik.de
0000500018,  Northgate  Electronics Corp. ,238 Distribution,Way,Los Angeles,90052,US,,+1 312 555 1752,info@northgate-electronics.com
0000500019,Sancerre Boissons S.A.,"ZI Nord, Lot",75,Paris,75010,FR,,+33 5 7945 8456,achats@sancerre-boissons.fr
0000500020,Thomas Ironbridge Ltd,"Unit 182, Kingsway Business",Park,Leeds,LS1 3HX,GB,,+44 113 331 7608,purchasing@thomas-ironbridge.co.uk
0000500021,Hautefort Impressoin SARL,222 Avenue de la,République,Paris,75040,FR,,,contact@hautefort-impression.fr
0000500022,Eichberg e.K.,Carl-Benz-Straße,38,Leipzig,04128,DE,,+49 40 7828 9950,kontakt@eichberg-e.de
0000500023,Barcelo Embalajes S.L.,Avenida de la Constitución,89,Zaragoza,50016,ES,,+34 96 586 5963,accounts@barcelo-embalajes.es
0000500024,Westphal Möbel GmbH,Zur Mühle,16,Dortmund,44159,DE,,+49 30 3243 2141,rechnung@westphal-mobel.de
0000500025,Bergmann GmbH & Co. KG,Fabrikweg,10,Stuttgart,70218,,,,vertrieb@bergmann-77.de
0000500026,Elbtal-Donautal Möbel GmbH,Industriestraße,133,Hannover,30241,DE,,,service@elbtal-donautal.de
0000500027,Ningbo Zhenxing & Ruiyang Industrial Co. Ltd.,"Block 224, Longgang",District,Ningbo,315070,CN,,,sales@ningbo-zhenxing.com.cn
0000500028,Rupali & Shonar Limited,"House 101, Road 7,",Banani,Narayanganj,1415,BD,,+880 821 502553,office@rupali-shonar.com.bd
0000500029,Lorenz Ladenbau & Partner GmbH & Co. KG,Zur Mühle,231,Frankfurt am Main,60335,DE,,+49 221 352 1465,rechnung@lorenz-ladenbau.de
0000500030,Vogel Textil GmbH,Fabrikweg,106,Düsseldorf,40265,DE,,+49 40 9181 3294,office@vogel-textil.de
0000500031,Alvarado Sistemas S.L.,Avenida de la Constitución,4,Zaragoza,50034,ES,,+34 93 275 2940,office@alvarado-sistemas.es
0000500032,Kessler Druck e.K.,Gewerbepark,151,Dortmund,44186,DE,,+49 341 685 7731,export@kessler-druck.de
0000500033,Terlouw & Meulenbelt N.V.,Distributiestraat,121,Eindhoven,5688 HZ,NL,,+31 20 972 2723,admin@terlouw-meulenbelt.nl
0000500034,Ravenscroft & Underhill Ltd,"Unit 50, Kingsway Business",Park,Manchester,M4 5GS,GB,,+44 113 962 1334,sales@ravenscroft-underhill.co.uk
0000500035,Zanetti Arredamenti & Partner S.r.l.,Viale della Repubblica,201,Milano,20125,IT,,+39 02 9550 13446,finance@zanetti-arredamenti.it
0000500036,Estoril Comércio Lda.,Rua da Indústria,101,Lisboa,1000-707,PT,,+351 22 829 5247,export@estoril-comercio.pt
0000500037,Navarra & Donatelli S.p.A.,Via del Commercio,28,Firenze,,IT,,+39 055 3571 0311,purchasing@navarra-donatelli.it
0000500038,Oostergo Meubelen & Partner B.V.,.,,Eindhoven,5681 VD,NL,,+31 40 857 7612,orders@oostergo-meubelen.nl
0000500039,Ackermann & Rheinland e.K.,Lindenallee,46,Stuttgart,70204,DE,,+49 421 324 4594,buchhaltung@ackermann-rheinland.de
0000500040,Dunmore Textiles Co.,122 Industrial,Parkway,Chicago,60657,US,,+1 614 555 1830,purchasing@dunmore-textiles.com
0000500041,Maibach Technik & Partner GmbH & Co. KG,Otto-Hahn-Straße,78,München,80379,DE,,+49 511 702 7618,info@maibach-technik
0000500042,Shonar-Karnaphuli Textiles Limited,174 Tejgaon Industrial,Area,Chattogram,4014,BD,,+880 31 550 0417,orders@shonar-karnaphuli.com.bd
0000500043,"Qingdao Antai & Longxin Co., Ltd.","Building 199, Xingye",Road,Qingdao,266003,CN,,+86 532 253 7505,sales@qingdao-antai.com.cn
0000500044,Shreeji Fabrics Pvt Ltd,"Plot No. 17, Sector 8,",IMT,Chennai,600057,IN,,+91 120 336 8652,finance@shreeji-fabrics.in
0000500045,Tannhof Technik & Partner GmbH & Co. KG,Carl-Benz-Straße,144,Bremen,28269,DE,,+49 341 664 1862,service@tannhof-technik.de
0000500046,Lindner Technik AG,Lindenallee,187,Köln,50744,DE,,+49 711 269 2667,kontakt@lindner-technik.de
0000500047,Kessler & Osterbach e.K.,Hauptstraße,126,Hannover,30168,DE,,,rechnung@kessler-osterbach.de
0000500048,Vaishnavi & Mahavir Ltd,229 Avinashi,Road,Ludhiana,141004,IN,,+91 11 5901 5116,purchasing@vaishnavi-mahavir.in
0000500049,Haustein Getränke GmbH,Zur Mühle,222,Hamburg,20117,DE,,+49 341 675 2043,export@haustein-getranke.de
0000500050,Ganapathy-Mahavir Garments Private Limited,"Plot 19, MIDC Industrial",Area,Chennai,600048,IN,,,
0000500051,"Dongguan Jinfeng Textile Co., Ltd.",No. 171 Jinshan,Road,Dongguan,523029,CN,,+86 769 515 1894,contact@dongguan-jinfeng.com.cn
0000500052,Ricciardi Sistemi S.p.A.,Via Industriale,153,Milano,20160,IT,,+39 011 6646 8891,ap@ricciardi-sistemi.it
