PARTNER,ADDRNUMBER,XDFADR
0003000001,0000500001,X
0003000002,0000500002,X
0003000003,0000500003,X
0003000004,0000500004,X
0003000005,0000500005,X
0003000006,0000500006,X
0003000007,0000500007,X
0003000008,0000500008,X
0003000009,0000500009,X
0003000010,0000500010,X
0003000011,0000500011,X
0003000012,0000500012,X
0003000013,0000500013,X
0003000014,0000500014,X
0003000015,0000500015,X
0003000016,0000500016,X
0003000017,0000500017,X
0003000018,0000500018,X
0003000019,0000500019,X
0003000020,0000500020,X
0003000021,0000500021,X
0003000022,0000500022,X
0003000023,0000500023,X
0003000024,0000500024,X
0003000025,0000500025,X
0003000026,0000500026,X
0003000027,0000500027,X
0003000028,0000500028,X
0003000029,0000500029,X
0003000030,0000500030,X
0003000031,0000500031,X
0003000032,0000500032,X
0003000033,0009999999,X
0003000034,0000500034,X
0003000035,0000500035,X
0003000036,0000500036,X
0003000037,0000500037,X
0003000038,0000500038,X
0003000039,0000500039,X
0003000040,0000500040,X
0003000041,0000500041,X
0003000042,0000500042,X
0003000043,0000500043,X
0003000044,0000500044,X
0003000045,0000500045,X
0003000046,0000500046,X
0003000047,0000500047,X
0003000048,0000500048,X
0003000049,0000500049,X
0003000050,0000500050,X
0003000051,0000500051,X
0003000052,0000500052,X
0003000053,0000500053,X
0003000054,0000500054,X
0003000055,0000500055,X
0003000056,0000500056,X
0003000057,0000500057,X
0003000058,0000500058,X
0003000059,0000500059,X
0003000060,0000500060,X
0003000061,0000500061,X
0003000062,0000500062,X
0003000063,0000500063,X
0003000064,0000500064,X
0003000065,0000500065,X
0003000066,0000500066,X
0003000067,0000500067,X
0003000068,0000500068,X
0003000069,0000500069,X
0003000070,0000500070,X
0003000071,0000500071,X
0003000072,0000500072,X
0003000073,0000500073,X
0003000074,0000500074,X
0003000075,0000500075,X
0003000076,0000500076,X
0003000077,0000500077,X
0003000078,0000500078,X
0003000079,0000500079,X
0003000080,0000500080,X
0003000081,0000500081,X
0003000082,0000500082,X
0003000083,0000500083,X
0003000084,0000500084,X
0003000085,0000500085,X
0003000086,0000500086,X
0003000087,0000500087,X
0003000088,0000500088,X
0003000089,0000500089,X
0003000090,0000500090,X
0003000091,0000500091,X
0003000092,0000500092,X
0003000093,0000500093,X
0003000094,0000500094,X
0003000095,0000500095,X
0003000096,0000500096,X
0003000097,0000500097,X
0003000098,0000500098,X
0003000099,0000500099,X
0003000101,0000500101,X
0003000102,0000500102,X
0003000103,0000500103,X
0003000104,0000500104,X
0003000105,0000500105,X
0003000106,0000500106,X
0003000107,0000500107,X
0003000108,0000500108,X
0003000109,0000500109,X
0003000110,0000500110,X
0003000111,0000500111,X
0003000112,0000500112,X
0003000113,0000500113,X
0003000114,0000500114,X
0003000115,0000500115,X
0003000116,0000500116,X
0003000117,0000500117,X
0003000118,0000500118,X
0003000119,0000500119,X
0003000120,0000500120,X
0003000121,0000500121,X
0003000122,0000500122,X
0003000123,0000500123,X
0003000124,0000500124,X
0003000125,0000500125,X
0003000126,0000500126,X
0003000127,0000500127,X
0003000128,0000500128,X
0003000129,0000500129,X
0003000130,0000500130,X
0003000131,0000500131,X
0003000132,0000500132,X
0003000133,0000500133,X
0003000134,0000500134,X
0003000135,0000500135,X
0003000136,0000500136,X
0003000137,0000500137,X
0003000138,0000500138,X
0003000139,0000500139,X
0003000140,0000500140,X
0003000141,0000500141,X
0003000142,0000500142,X
0003000143,0000500143,X
0003000144,0000500144,X
0003000145,0000500145,X
