PARTNER,RLTYP,VALID_FROM,VALID_TO
0003000001,FLVN00,2009-05-26,9999-12-31
0003000001,FLVN01,2009-05-26,9999-12-31
0003000002,FLVN00,2012-09-06,9999-12-31
0003000002,FLVN01,2012-09-06,9999-12-31
0003000004,FLVN00,2016-04-01,9999-12-31
0003000004,FLVN01,2016-04-01,9999-12-31
0003000005,FLVN00,2016-04-01,9999-12-31
0003000005,FLVN01,2016-04-01,9999-12-31
0003000006,FLVN00,2015-03-13,9999-12-31
0003000006,FLVN01,2015-03-13,9999-12-31
0003000007,FLVN00,2015-03-14,9999-12-31
0003000007,FLVN01,2015-03-14,9999-12-31
0003000008,FLCU00,2025-03-19,9999-12-31
0003000008,FLCU01,2025-03-19,9999-12-31
0003000008,FLVN00,0000-00-00,9999-12-31
0003000008,FLVN01,0000-00-00,9999-12-31
0003000009,FLVN00,2012-01-16,9999-12-31
0003000009,FLVN01,2012-01-16,9999-12-31
0003000010,FLVN00,2016-04-01,9999-12-31
0003000010,FLVN01,2016-04-01,9999-12-31
0003000011,FLVN00,1900-01-01,9999-12-31
0003000011,FLVN01,1900-01-01,9999-12-31
0003000012,FLVN00,2014-08-22,9999-12-31
0003000012,FLVN01,2014-08-22,9999-12-31
0003000013,FLVN00,2016-04-01,9999-12-31
0003000013,FLVN01,2016-04-01,9999-12-31
0003000014,FLVN00,2016-04-01,9999-12-31
0003000014,FLVN01,2016-04-01,9999-12-31
0003000015,FLVN00,2016-04-01,9999-12-31
0003000015,FLVN01,2016-04-01,9999-12-31
0003000016,FLVN00,2016-04-01,9999-12-31
0003000016,FLVN01,2016-04-01,9999-12-31
0003000017,FLVN00,2012-08-24,9999-12-31
0003000017,FLVN01,2012-08-24,9999-12-31
0003000018,FLVN00,2010-06-30,9999-12-31
0003000018,FLVN01,2010-06-30,9999-12-31
0003000019,FLVN00,2016-04-01,9999-12-31
0003000019,FLVN01,2016-04-01,9999-12-31
0003000020,FLVN01,2013-08-18,9999-12-31
0003000021,FLVN00,2010-09-11,9999-12-31
0003000021,FLVN01,2010-09-11,9999-12-31
0003000022,FLCU00,2024-05-07,9999-12-31
0003000022,FLCU01,2024-05-07,9999-12-31
0003000022,FLVN00,2016-04-01,9999-12-31
0003000022,FLVN01,2016-04-01,9999-12-31
0003000023,FLVN00,2011-06-13,9999-12-31
0003000023,FLVN01,2011-06-13,9999-12-31
0003000024,FLCU00,2016-08-07,9999-12-31
