PARTNER,KUNNR
0003000008,0002000009
0003000022,0002000074
0003000024,0002000089
0003000040,0002000016
0003000062,0002000028
0003000063,0002000079
0003000066,0002000052
0003000111,0002000037
0003000122,0002000054
0003000140,0002000078
0003000150,0002000083
0003000160,0002000082
0003000162,0002000068
0003000178,0002000043
0003000186,0002000075
0003000201,0002000084
0003000212,0002000041
0003000213,0002000058
0003000224,0002000031
0003000300,0002000044
0003000323,0002000056
0003000380,0002000050
0003000405,0002000048
0003000474,0002000022
0003000516,0002000057
0003000534,0002000029
0003000538,0002000015
0003000554,0002000034
0003000599,0002000085
0003000624,0002000070
0003000657,0002000049
0003000662,0002000091
0003000669,0002000013
0003000694,0002000039
0003000696,0002000023
0003000698,0002000003
0003000714,0002000027
0003000737,0002000069
0003000746,0002000090
0003000747,0002000002
0003000756,0002000004
0003000761,0002000019
0003000799,0002000065
0003000803,0002000071
0003000839,0002000081
0003000851,0002000051
0003000886,0002000040
0003000889,0002000025
0003000898,0002000033
0003000907,0002000077
0003000923,0002000076
0003000926,0002000026
0003000944,0002000001
0003000955,0002000007
0003000960,0002000073
0003000966,0002000072
0003000997,0002000014
0003001001,0002000005
0003001002,0002000006
0003001003,0002000008
0003001004,0002000010
0003001005,0002000011
0003001006,0002000012
0003001007,0002000017
0003001008,0002000018
0003001009,0002000020
0003001010,0002000021
0003001011,0002000024
0003001012,0002000030
0003001013,0002000032
0003001014,0002000035
0003001015,0002000036
0003001016,0002000038
0003001017,0002000042
0003001018,0002000045
0003001019,0002000046
0003001020,0002000047
0003001021,0002000053
0003001022,0002000055
0003001023,0002000059
0003001024,0002000060
0003001025,0002000061
0003001026,0002000062
0003001027,0002000063
0003001028,0002000064
0003001029,0002000066
0003001030,0002000067
0003001031,0002000080
0003001032,0002000086
0003001033,0002000087
0003001034,0002000088
0003001035,0002000092
0003001036,0002000093
0003001037,0002000094
0003001038,0002000095
0003001039,0002000096
0003001040,0002000097
0003001041,0002000098
0003001042,0002000099
0003001043,0002000100
0003001044,0002000101
0003001045,0002000102
0003001046,0002000103
0003001047,0002000104
0003001048,0002000105
0003001049,0002000106
0003001050,0002000107
0003001051,0002000108
0003001052,0002000109
0003001053,0002000110
0003001054,0002000111
0003001055,0002000112
0003001056,0002000113
0003001057,0002000114
0003001058,0002000115
0003001059,0002000116
0003001060,0002000117
0003001062,0002000119
0003001063,0002000120
0003001064,0002000121
0003001065,0002000122
0003001066,0002000123
0003001067,0002000124
0003001068,0002000125
0003001069,0002000126
0003001070,0002000127
0003001071,0002000128
0003001072,0002000129
0003001073,0002000130
0003001074,0002000131
0003001075,0002000132
0003001076,0002000133
0003001077,0002000134
0003001078,0002000135
0003001079,0002000136
0003001080,0002000137
0003001081,0002000138
0003001082,0002000139
0003001083,0002000140
0003001084,0002000141
0003001085,0002000142
0003001086,0002000143
0003001087,0002000144
0003001088,0002000145
0003001089,0002000146
0003001090,0002000147
0003001091,0002000148
0003001092,0002000149
0003001093,0002000150
0003001094,0002000151
0003001095,0002000152
0003001096,0002000153
0003001097,0002000154
0003001098,0002000155
0003001099,0002000156
0003001100,0002000157
0003001101,0002000158
0003001102,0002000159
0003001103,0002000160
0003001105,0002000162
0003001106,0002000163
0003001107,0002000164
0003001108,0002000165
0003001109,0002000166
0003001110,0002000167
0003001111,0002000168
0003001112,0002000169
0003001113,0002000170
0003001114,0002000171
0003001115,0002000172
0003001116,0002000173
0003001117,0002000174
0003001118,0002000175
0003001119,0002000176
0003001120,0002000177
0003001121,0002000178
0003001122,0002000179
0003001123,0002000180
0003001124,0002000181
0003001125,0002000182
0003001126,0002000183
0003001127,0002000184
0003001128,0002000185
0003001129,0002000186
0003001130,0002000187
0003001131,0002000188
0003001132,0002000189
0003001133,0002000190
0003001134,0002000191
0003001135,0002000192
0003001136,0002000193
0003001137,0002000194
0003001138,0002000195
0003001139,0002000196
0003001140,0002000197
0003001141,0002000198
0003001142,0002000199
0003001143,0002000200
0003001144,0002000201
0003001145,0002000202
0003001146,0002000203
0003001147,0002000204
0003001148,0002000205
0003001149,0002000206
0003001150,0002000207
0003001151,0002000208
0003001152,0002000209
0003001153,0002000210
0003001154,0002000211
0003001155,0002000212
0003001156,0002000213
0003001157,0002000214
0003001158,0002000215
0003001159,0002000216
0003001160,0002000217
0003001161,0002000218
0003001163,0002000220
0003001164,0002000221
0003001165,0002000222
0003001166,0002000223
0003001167,0002000224
0003001168,0002000225
0003001169,0002000226
0003001170,0002000227
0003001171,0002000228
0003001172,0002000229
0003001173,0002000230
0003001174,0002000231
0003001175,0002000232
0003001176,0002000233
0003001177,0002000234
0003001178,0002000235
0003001179,0002000236
0003001180,0002000237
0003001181,0002000238
0003001182,0002000239
0003001183,0002000240
0003001184,0002000241
0003001185,0002000242
0003001186,0002000243
0003001187,0002000244
0003001188,0002000245
0003001189,0002000246
0003001190,0002000247
0003001191,0002000248
0003001192,0002000249
0003001193,0002000250
0003001194,0002000251
0003001195,0002000252
0003001196,0002000253
0003001197,0002000254
0003001198,0002000255
0003001199,0002000256
0003001200,0002000257
0003001201,0002000258
0003001202,0002000259
0003001203,0002000260
0003001204,0002000261
0003001205,0002000262
0003001206,0002000263
0003001207,0002000264
0003001208,0002000265
0003001209,0002000266
0003001210,0002000267
0003001211,0002000268
0003001212,0002000269
0003001213,0002000270
0003001214,0002000271
0003001215,0002000272
0003001216,0002000273
0003001217,0002000274
0003001218,0002000275
0003001219,0002000276
0003001220,0002000277
0003001221,0002000278
0003001222,0002000279
0003001223,0002000280
0003001224,0002000281
0003001225,0002000282
0003001226,0002000283
0003001227,0002000284
0003001228,0002000285
0003001229,0002000286
0003001230,0002000287
0003001231,0002000288
0003001232,0002000289
0003001233,0002000290
0003001234,0002000291
0003001235,0002000292
0003001236,0002000293
0003001237,0002000294
0003001238,0002000295
0003001239,0002000296
0003001240,0002000297
0003001241,0002000298
0003001242,0002000299
0003001243,0002000300
0003001244,0002000301
0003001245,0002000302
0003001246,0002000303
0003001247,0002000304
0003001248,0002000305
0003001249,0002000306
0003001250,0002000307
0003001251,0002000308
0003001252,0002000309
0003001253,0002000310
0003001254,0002000311
0003001256,0002000313
0003001257,0002000314
0003001258,0002000315
0003001259,0002000316
0003001260,0002000317
0003001261,0002000318
0003001262,0002000319
0003001263,0002000320
0003001264,0002000321
0003001265,0002000322
0003001266,0002000323
0003001267,0002000324
0003001268,0002000325
0003001269,0002000326
0003001270,0002000327
0003001271,0002000328
0003001272,0002000329
0003001273,0002000330
0003001274,0002000331
0003001275,0002000332
0003001276,0002000333
0003001277,0002000334
0003001278,0002000335
0003001279,0002000336
0003001280,0002000337
0003001281,0002000338
0003001282,0002000339
0003001283,0002000340
0003001284,0002000341
0003001285,0002000342
0003001286,0002000343
0003001287,0002000344
0003001288,0002000345
0003001289,0002000346
0003001290,0002000347
0003001291,0002000348
0003001292,0002000349
0003001293,0002000350
0003001294,0002000351
0003001295,0002000352
0003001296,0002000353
0003001297,0002000354
0003001298,0002000355
0003001299,0002000356
0003001300,0002000357
0003001301,0002000358
0003001302,0002000359
0003001303,0002000360
0003001304,0002000361
0003001305,0002000362
0003001306,0002000363
0003001307,0002000364
0003001308,0002000365
0003001309,0002000366
0003001310,0002000367
0003001311,0002000368
0003001312,0002000369
0003001313,0002000370
0003001314,0002000371
0003001315,0002000372
0003001317,0002000374
0003001319,0002000376
0003001320,0002000377
0003001321,0002000378
0003001322,0002000379
0003001323,0002000380
0003001324,0002000381
0003001325,0002000382
0003001326,0002000383
0003001327,0002000384
0003001328,0002000385
0003001329,0002000386
0003001330,0002000387
0003001331,0002000388
0003001332,0002000389
0003001333,0002000390
0003001334,0002000391
0003001335,0002000392
0003001336,0002000393
0003001337,0002000394
0003001338,0002000395
0003001339,0002000396
0003001340,0002000397
0003001341,0002000398
0003001342,0002000399
0003001343,0002000400
0003001344,0002000401
0003001345,0002000402
0003001346,0002000403
0003001347,0002000404
0003001348,0002000405
0003001349,0002000406
0003001350,0002000407
0003001351,0002000408
0003001352,0002000409
0003001353,0002000410
0003001354,0002000411
0003001355,0002000412
0003001356,0002000413
0003001357,0002000414
0003001358,0002000415
0003001359,0002000416
0003001360,0002000417
0003001361,0002000418
0003001362,0002000419
0003001363,0002000420
0003001364,0002000421
0003001365,0002000422
0003001366,0002000423
0003001367,0002000424
0003001368,0002000425
0003001369,0002000426
0003001370,0002000427
0003001371,0002000428
0003001372,0002000429
0003001373,0002000430
0003001374,0002000431
0003001375,0002000432
0003001376,0002000433
0003001377,0002000434
0003001378,0002000435
0003001379,0002000436
0003001380,0002000437
0003001381,0002000438
0003001382,0002000439
0003001383,0002000440
0003001384,0002000441
0003001385,0002000442
0003001386,0002000443
0003001387,0002000444
0003001388,0002000445
0003001389,0002000446
0003001390,0002000447
0003001391,0002000448
0003001392,0002000449
0003001393,0002000450
0003001394,0002000451
0003001395,0002000452
0003001396,0002000453
0003001397,0002000454
0003001398,0002000455
0003001399,0002000456
0003001400,0002000457
0003001401,0002000458
0003001402,0002000459
0003001403,0002000460
0003001404,0002000461
0003001405,0002000462
0003001406,0002000463
0003001407,0002000464
0003001408,0002000465
0003001409,0002000466
0003001410,0002000467
0003001411,0002000468
0003001412,0002000469
0003001413,0002000470
0003001414,0002000471
0003001415,0002000472
0003001416,0002000473
0003001417,0002000474
0003001418,0002000475
0003001419,0002000476
0003001420,0002000477
0003001421,0002000478
0003001422,0002000479
0003001423,0002000480
0003001424,0002000481
0003001425,0002000482
0003001426,0002000483
0003001427,0002000484
0003001428,0002000485
0003001429,0002000486
0003001430,0002000487
0003001431,0002000488
0003001432,0002000489
0003001434,0002000491
0003001435,0002000492
0003001436,0002000493
0003001437,0002000494
0003001438,0002000495
0003001439,0002000496
0003001440,0002000497
0003001441,0002000498
0003001442,0002000499
0003001443,0002000500
0003001444,0002000501
0003001445,0002000502
0003001446,0002000503
0003001447,0002000504
0003001448,0002000505
0003001449,0002000506
0003001450,0002000507
0003001451,0002000508
0003001452,0002000509
0003001453,0002000510
0003001454,0002000511
0003001455,0002000512
0003001456,0002000513
0003001457,0002000514
0003001458,0002000515
0003001459,0002000516
0003001460,0002000517
0003001461,0002000518
0003001462,0002000519
0003001463,0002000520
0003001464,0002000521
0003001465,0002000522
0003001466,0002000523
0003001467,0002000524
0003001468,0002000525
0003001469,0002000526
0003001470,0002000527
0003001471,0002000528
0003001472,0002000529
0003001473,0002000530
0003001474,0002000531
0003001475,0002000532
0003001476,0002000533
0003001477,0002000534
0003001478,0002000535
0003001479,0002000536
0003001480,0002000537
0003001481,0002000538
0003001482,0002000539
0003001483,0002000540
0003001484,0002000541
0003001485,0002000542
0003001486,0002000543
0003001487,0002000544
0003001488,0002000545
0003001489,0002000546
0003001490,0002000547
0003001491,0002000548
0003001492,0002000549
0003001493,0002000550
0003001494,0002000551
0003001495,0002000552
0003001496,0002000553
0003001497,0002000554
0003001498,0002000555
0003001499,0002000556
0003001500,0002000557
0003001501,0002000558
0003001502,0002000559
0003001503,0002000560
0003001504,0002000561
0003001505,0002000562
0003001506,0002000563
0003001507,0002000564
0003001508,0002000565
0003001509,0002000566
0003001510,0002000567
0003001511,0002000568
0003001512,0002000569
0003001513,0002000570
0003001514,0002000571
0003001515,0002000572
0003001516,0002000573
0003001517,0002000574
0003001518,0002000575
0003001519,0002000576
0003001520,0002000577
0003001521,0002000578
0003001522,0002000579
0003001523,0002000580
0003001524,0002000581
0003001525,0002000582
0003001526,0002000583
0003001527,0002000584
0003001528,0002000585
0003001529,0002000586
0003001530,0002000587
0003001531,0002000588
0003001532,0002000589
0003001533,0002000590
0003001534,0002000591
0003001535,0002000592
0003001537,0002000594
0003001539,0002000596
0003001540,0002000597
0003001541,0002000598
0003001542,0002000599
0003001543,0002000600
0003001544,0002000601
0003001545,0002000602
0003001546,0002000603
0003001547,0002000604
0003001548,0002000605
0003001549,0002000606
0003001550,0002000607
0003001551,0002000608
0003001552,0002000609
0003001553,0002000610
0003001554,0002000611
0003001555,0002000612
0003001556,0002000613
0003001557,0002000614
0003001558,0002000615
0003001559,0002000616
0003001560,0002000617
0003001561,0002000618
0003001562,0002000619
0003001563,0002000620
0003001564,0002000621
0003001565,0002000622
0003001566,0002000623
0003001567,0002000624
0003001568,0002000625
0003001569,0002000626
0003001570,0002000627
0003001571,0002000628
0003001572,0002000629
0003001573,0002000630
0003001574,0002000631
0003001575,0002000632
0003001577,0002000634
0003001578,0002000635
0003001579,0002000636
0003001580,0002000637
0003001581,0002000638
0003001582,0002000639
0003001583,0002000640
0003001584,0002000641
0003001585,0002000642
0003001586,0002000643
0003001587,0002000644
0003001588,0002000645
0003001589,0002000646
0003001590,0002000647
0003001591,0002000648
0003001592,0002000649
0003001593,0002000650
0003001594,0002000651
0003001595,0002000652
0003001596,0002000653
0003001597,0002000654
0003001599,0002000656
0003001600,0002000657
0003001601,0002000658
0003001602,0002000659
0003001603,0002000660
0003001604,0002000661
0003001605,0002000662
0003001606,0002000663
0003001607,0002000664
0003001608,0002000665
0003001609,0002000666
0003001610,0002000667
0003001611,0002000668
0003001612,0002000669
0003001613,0002000670
0003001614,0002000671
0003001615,0002000672
0003001616,0002000673
0003001617,0002000674
0003001618,0002000675
0003001619,0002000676
0003001620,0002000677
0003001621,0002000678
0003001622,0002000679
0003001623,0002000680
0003001624,0002000681
0003001625,0002000682
0003001626,0002000683
0003001627,0002000684
0003001628,0002000685
0003001629,0002000686
0003001630,0002000687
0003001631,0002000688
0003001632,0002000689
0003001633,0002000690
0003001634,0002000691
0003001635,0002000692
0003001636,0002000693
0003001637,0002000694
0003001638,0002000695
0003001639,0002000696
0003001640,0002000697
0003001641,0002000698
0003001642,0002000699
0003001643,0002000700
0003001644,0002000701
0003001645,0002000702
0003001646,0002000703
0003001647,0002000704
0003001648,0002000705
0003001649,0002000706
0003001650,0002000707
0003001651,0002000708
0003001652,0002000709
0003001653,0002000710
0003001654,0002000711
0003001655,0002000712
0003001656,0002000713
0003001657,0002000714
0003001658,0002000715
0003001659,0002000716
0003001660,0002000717
0003001661,0002000718
0003001662,0002000719
0003001663,0002000720
0003001664,0002000721
0003001665,0002000722
0003001666,0002000723
0003001667,0002000724
0003001668,0002000725
0003001669,0002000726
0003001670,0002000727
0003001671,0002000728
0003001672,0002000729
0003001673,0002000730
0003001674,0002000731
0003001675,0002000732
0003001676,0002000733
0003001677,0002000734
0003001678,0002000735
0003001679,0002000736
0003001680,0002000737
0003001682,0002000739
0003001683,0002000740
0003001684,0002000741
0003001685,0002000742
0003001686,0002000743
0003001687,0002000744
0003001688,0002000745
0003001689,0002000746
0003001690,0002000747
0003001691,0002000748
0003001692,0002000749
0003001693,0002000750
0003001694,0002000751
0003001695,0002000752
0003001696,0002000753
0003001698,0002000755
0003001699,0002000756
0003001700,0002000757
0003001702,0002000759
0003001703,0002000760
0003001704,0002000761
0003001705,0002000762
0003001706,0002000763
0003001707,0002000764
0003001708,0002000765
0003001709,0002000766
0003001710,0002000767
0003001711,0002000768
0003001712,0002000769
0003001713,0002000770
0003001714,0002000771
0003001715,0002000772
0003001716,0002000773
0003001717,0002000774
0003001718,0002000775
0003001719,0002000776
0003001720,0002000777
0003001721,0002000778
0003001722,0002000779
0003001723,0002000780
0003001724,0002000781
0003001725,0002000782
0003001726,0002000783
0003001727,0002000784
0003001728,0002000785
0003001729,0002000786
0003001730,0002000787
0003001731,0002000788
0003001732,0002000789
0003001733,0002000790
0003001734,0002000791
0003001735,0002000792
0003001736,0002000793
0003001737,0002000794
0003001738,0002000795
0003001739,0002000796
0003001740,0002000797
0003001741,0002000798
0003001742,0002000799
0003001743,0002000800
0003001744,0002000801
0003001745,0002000802
0003001746,0002000803
0003001747,0002000804
0003001748,0002000805
0003001749,0002000806
0003001750,0002000807
0003001751,0002000808
0003001752,0002000809
0003001753,0002000810
0003001754,0002000811
0003001755,0002000812
0003001756,0002000813
0003001757,0002000814
0003001758,0002000815
0003001759,0002000816
0003001760,0002000817
0003001761,0002000818
0003001762,0002000819
0003001763,0002000820
0003001764,0002000821
0003001765,0002000822
0003001766,0002000823
0003001767,0002000824
0003001768,0002000825
0003001769,0002000826
0003001770,0002000827
0003001771,0002000828
0003001772,0002000829
0003001774,0002000831
0003001775,0002000832
0003001776,0002000833
0003001777,0002000834
0003001778,0002000835
0003001779,0002000836
0003001780,0002000837
0003001781,0002000838
0003001782,0002000839
0003001783,0002000840
0003001784,0002000841
0003001785,0002000842
0003001786,0002000843
0003001787,0002000844
0003001788,0002000845
0003001789,0002000846
0003001790,0002000847
0003001791,0002000848
0003001792,0002000849
0003001793,0002000850
0003001794,0002000851
0003001795,0002000852
0003001796,0002000853
0003001797,0002000854
0003001798,0002000855
0003001799,0002000856
0003001801,0002000858
0003001802,0002000859
0003001803,0002000860
0003001804,0002000861
0003001805,0002000862
0003001806,0002000863
0003001807,0002000864
0003001808,0002000865
0003001809,0002000866
0003001810,0002000867
0003001811,0002000868
0003001812,0002000869
0003001813,0002000870
0003001814,0002000871
0003001815,0002000872
0003001816,0002000873
0003001817,0002000874
0003001818,0002000875
0003001819,0002000876
0003001820,0002000877
0003001821,0002000878
0003001822,0002000879
0003001823,0002000880
0003001824,0002000881
0003001825,0002000882
0003001826,0002000883
0003001827,0002000884
0003001828,0002000885
0003001829,0002000886
0003001830,0002000887
0003001831,0002000888
0003001832,0002000889
0003001833,0002000890
0003001834,0002000891
0003001835,0002000892
0003001836,0002000893
0003001837,0002000894
0003001839,0002000896
0003001840,0002000897
0003001841,0002000898
0003001842,0002000899
0003001843,0002000900
