PARTNER,LIFNR
0003000001,0000070061
0003000002,0000070067
0003000003,0000070080
0003000004,0000070138
0003000005,0000070140
0003000006,0000070181
0003000007,0000070187
0003000008,0000070214
0003000009,0000070295
0003000010,0000070326
0003000011,0000070333
0003000012,0000070360
0003000013,0000070386
0003000014,0000070405
0003000015,0000070503
0003000016,0000070516
0003000017,0000070553
0003000018,0000070578
0003000019,0000070597
0003000020,0000070615
0003000021,0000070630
0003000022,0000070675
0003000023,0000070709
0003000024,0000070762
0003000025,0000070764
0003000026,0000070881
0003000027,0000070976
0003000028,0000071013
0003000029,0000071160
0003000030,0000071230
0003000031,0000071251
0003000032,0000071275
0003000033,0000071334
0003000034,0000071396
0003000035,0000071454
0003000036,0000071469
0003000037,0000071510
0003000038,0000071543
0003000039,0000071625
0003000040,0000071639
0003000041,0000071681
0003000042,0000071688
0003000043,0000071795
0003000044,0000071846
0003000045,0000071920
0003000046,0000071944
0003000047,0000071945
0003000048,0000072000
0003000049,0000072086
0003000050,0000072214
0003000051,0000072259
0003000052,0000072276
0003000053,0000072333
0003000054,0000072410
0003000055,0000072512
0003000056,0000072535
0003000057,0000072755
0003000058,0000072835
0003000059,0000072911
0003000060,0000072992
0003000061,0000073055
0003000062,0000073071
0003000063,0000073101
0003000064,0000073148
0003000065,0000073169
0003000066,0000073172
0003000067,0000073203
0003000068,0000073295
0003000069,0000073298
0003000070,0000073301
0003000071,0000073403
0003000072,0000073442
0003000073,0000073457
0003000074,0000073577
0003000075,0000073608
0003000076,0000073625
0003000077,0000073709
0003000078,0000073713
0003000079,0000073760
0003000080,0000073890
0003000082,0000074109
0003000083,0000074117
0003000084,0000074355
0003000085,0000074446
0003000086,0000074498
0003000087,0000074526
0003000088,0000074590
0003000089,0000074595
0003000090,0000074606
0003000091,0000074634
0003000092,0000074671
0003000093,0000074678
0003000094,0000074693
0003000095,0000074704
0003000096,0000074768
0003000097,0000074772
0003000098,0000074783
0003000099,0000074850
0003000100,0000074858
0003000101,0000074926
0003000102,0000074932
0003000103,0000074939
0003000104,0000074952
0003000105,0000075005
0003000106,0000075038
0003000107,0000075235
0003000108,0000075243
0003000110,0000075375
0003000111,0000075416
0003000112,0000075431
0003000113,0000075447
0003000114,0000075456
0003000115,0000075523
0003000116,0000075526
0003000117,0000075534
0003000118,0000075699
0003000119,0000075714
0003000120,0000075726
0003000121,0000075750
0003000122,0000075764
0003000123,0000075777
0003000124,0000075812
0003000125,0000075826
0003000126,0000075871
0003000127,0000075902
0003000128,0000075907
0003000129,0000075991
0003000130,0000076048
0003000131,0000076126
0003000132,0000076221
0003000133,0000076264
0003000134,0000076274
0003000135,0000076324
0003000136,0000076460
0003000137,0000076516
0003000138,0000076542
0003000139,0000076620
0003000140,0000076665
0003000141,0000076693
0003000142,0000076696
0003000143,0000076728
0003000144,0000076748
0003000145,0000076970
0003000146,0000076971
0003000147,0000077024
0003000148,0000077033
0003000149,0000077074
0003000150,0000077254
0003000151,0000077270
0003000152,0000077291
0003000153,0000077302
0003000154,0000077376
0003000155,0000077400
0003000156,0000077406
0003000157,0000077435
0003000158,0000077475
0003000159,0000077503
0003000160,0000077556
0003000161,0000077557
0003000162,0000077639
0003000163,0000077705
0003000164,0000077712
0003000165,0000077750
0003000166,0000077866
0003000167,0000077886
0003000168,0000077902
0003000169,0000077985
0003000170,0000077998
0003000171,0000078015
0003000172,0000078039
0003000173,0000078064
0003000174,0000078102
0003000175,0000078165
0003000176,0000078192
0003000177,0000078196
0003000178,0000078214
0003000179,0000078282
0003000180,0000078284
