KUNNR,KTOKD,NAME1,NAME2,SORTL,STRAS,ORT01,PSTLZ,LAND1,SPRAS,TELF1,SMTP_ADDR,STCD1,STCD2,STCD3,STCEG,LOEVM,SPERM,ERDAT
0002000001,KUNA,Bellevue Distribution S.A.,,,155 Rue de l'Industrie,Marseille,13032,FR,FR,,contact@bellevue-distribution.fr,,,,FR11435589117,,,2014-09-16
0002000002,KUNA,Bhagwati Leathers & Partner Ltd,,BHAGWATILE,"171/A Andheri East, Marol",Mumbai,400030,IN,EN,+91 11 9220 6341,billing@bhagwati-leathers.in,,,27TCCRC9828F1ZI,,,,2018-06-03
0002000003,KUNA,DUMMY,,DUMMY,201 Station Road,Birmingham,B7 8BY,GB,EN,+44 115 236 9994,orders@blackwell-print.co.uk,GB125072897,,,,,,2013-06-21
0002000004,KUNA,Jansen Voeding & Partner B.V.,,JANSEN VOE,Ondernemersweg 78,Rotterdam,3082 ON,NL,EN,+31 40 591 4915,purchasing@jansen-voeding.nl,NL821917060B20,,,NL821917060B20,,,2021-06-09
0002000005,KUNA,Bergmann Logistik AG,,BERGMANN L,Industriestraße 44,Frankfurt am Main,60357,DE,DE,+49 89 3270 8405,export@bergmann-logistik.de,DE838640691,,,DE838640691,,,2026-02-27
0002000006,KUNA,Eichbreg Ladenbau AG,,EICHBERG L,Robert-Bosch-Straße 51,Graz,8015,AT,DE,,vertrieb@eichberg-ladenbau.at,,,,,,,2026-04-26
0002000007,KUNA,Mazur Technologie Sp. z o.o.,,MAZURTECHN,al. Jerozolimskie 119,Kraków,30-962,PL,EN,+48 42 242 0358,purchasing@mazur-technologie.pl,PL1591387531,,,,,,2022-10-22
0002000008,KUNA,"Shanghai Lixin-Longxin Packaging Industrial Co., Ltd.",,SHANGHAILI,"Block 230, Longgang District",Shanghai,,CN,ZH,+86 532 940 8188,info@shanghai-lixin.com.cn,91481861EZ6N0QFSK3,,,,,,2018-01-24
0002000009,KUNA,Terlouw Voeding N.V.,,TERLOUWVOE,Distributiestraat 17,Amsterdam,1073 JN,NL,EN,+31 40 265 1170,sales@terlouw-voeding.nl,NL852191073B15,,,NL852191073B15,,,2025-03-19
0002000010,KUNA,Duvivier Impression SASU,,DUVIVIER I,,Nantes,293175,FR,FR,,,FR60626123767,,,FR60626123767,,,2025-09-20
0002000011,KUNA,HOLLINGWOOD-ASHFORD FACILITIES PLC,,HOLLINGWOO,"UNIT 16, RIVERSIDE INDUSTRIAL ESTATE",Bristol,BS1 9QS,GB,EN,+44 113 951 5155,billing@hollingwood-ashford.co.uk,GB514752254,,,,,,2016-02-12
0002000012,KUNA,Vermeer Techniek N.V.,,VERMEER TE,Distributiestraat 71,Rotterdam,3058 GO,NL,EN,+31 30 351 8563,sales@vermeer-techniek.nl,NL275235675B81,,,NL275235675B81,,,2015-09-09
0002000013,KUNA,Clara Stanmore Co.,,CLARASTANM,86 Commerce Drive,Columbus,43236,US,EN,+1 404 555 4391,orders@clara-stanmore.com,,79-1506121,,,,,2016-07-02
0002000014,KUNA,"Dietrich, Daniela",,DIETRICH D,Hauptstraße 13,Dresden,X1143,DE,DE,+49 221 793 5445,dietrich-daniela@acme-retail.de,,,,DE084148951,,,2022-02-02
0002000015,KUNA,Wróblewski & Piotrowski Sp. z o.o.,,WROBLEWSKI,ul. Fabryczna 45,Łódź,90-751,PL,EN,+48 71 586 7137,,PL2203786694,,,,,,2022-08-19
0002000016,KUNA,Dunmore Textiles Co.,,DUNMORETEX,122 Industrial Parkway,Chicago,60657,US,EN,+1 614 555 1830,purchasing@dunmore-textiles.com,11-9859985,,,,,,2021-12-02
0002000017,KUNA,Clara Crestwood Ltd,,CLARACREST,169 Station Road,Leeds,LS1 7JH,GB,EN,+44 115 535 8202,ap@clara-crestwood.co.uk,GB762001330,,,,,,2018-10-04
0002000018,KUNA,"Albrecht, Jana",,ALBRECHT J,Industriestraße 218,München,80353,XX,DE,+49 69 5996 3715,albrecht-jana@acme-retail.de,,,,,,,2014-12-22
0002000019,KUNA,Vermeer & Van Dijken (Stockholm Branch,,VERMEER VA,Havenstraat 38,Utrecht,3566 NT,NL,EN,+31 30 524 3740,orders@vermeer-van.nl,,,,NL723300489B50,,,2026-09-05
0002000020,KUNA,Nowicki-Ostrowski Technologie S.A.,,NOWICKIOST,ul. Handlowa 151,Łódź,90-4,PL,EN,+48 12 959 9119,,PL7076915003,,,,,,2017-12-11
0002000021,KUNA,Rochefort Alimentaire SARL,,ROCHEFORTA,"ZI Nord, Lot 174",Lyon,69001,FR,FR,+33 3 4464 4478,,,,,FR16471022374,,,2018-06-02
0002000022,KUNA,Seibert Getränke & Partner GmbH,,SEIBERTGET,,Köln,,DE,DE,,office@seibert-getranke.de,,,,DE659981127,,,2025-07-22
0002000023,KUNA,HERRERA & GUZMAN S.L.,,HERRERA GU,AVENIDA DE LA CONSTITUCION 161,Barcelona,08013,ES,ES,+34 96 873 1942,admin@herrera-guzman.es,,,,ESH4644718S,,,2021-11-04
0002000024,KUNA,Maibach Getränke GmbH,,MAIBACH GE,Carl-Benz-Straße 72,Nürnberg,90404,DE,XX,+49 69 6213 9719,info@maibach-getranke.de,DE452269796,,,DE452269796,,,2013-09-27
0002000025,KUNA,Haustein Handels GmbH,,HAUSTEINHA,Gewerbepark 44,Hannover,30214,DE,DE,+49 30 6296 7485,,de887603983,,,DE933863720,,,2015-01-09
0002000026,KUNA,Elbtal Druck GmbH,,ELBTAL DRU,Hafenstraße 161,Essen,45132,DE,DE,+49 40 7298 9171,verwaltung@elbtal-druck.de,DE250255459,,,DE250255459,,,2015-08-03
0002000027,KUNA,Rupali Accessories & Partner Ltd. - Werk 1,,RUPALI ACC,"House 139, Road 7, Banani",Dhaka,1214,BD,EN,+880 31 636 3564,billing@rupali-accessories.com.bd,745546684-8951,,,,,,2013-11-04
0002000028,KUNA,Harlow Systems Ltd,,HARLOW SYS,173 Queens Road,Nottingham,NG1 0PT,GB,EN,+44 115 684 0888,ap@harlow-systems.co.uk,GB507702548,,,,,,2019-11-15
0002000029,KUNA,Bragança Lda.,,BRAGANCA L,"Zona Industrial, Lote 131",Lisboa,1000-849,PT,EN,+351 21 619 2260,info@braganca.pt,PT176104779,,,,,,2019-03-21
0002000030,KUNA,Toros Deri Ltd. Şti.,,TOROS DERI,Atatürk Bulvarı No:164,Denizli,20038,TR,EN,+90 258 392 9338,ap@toros-deri.com.tr,8383880918,,,,,,2014-06-12
0002000031,KUNA,Schönfeld Lebensmittel SA,,SCHONFELDL,Werkstrasse 147,Zürich,8007,CH,DE,+41 31 521 0229,rechnung@schonfeld-lebensmittel.ch,CHE-322.027.585 MWST,,,,,,2013-11-13
0002000032,KUNA,Duarte Servicios & ^ Holdings,,DUARTESERV,"Polígono Industrial Sur, Nave 84",Valencia,46037,ES,ES,+34 96 246 3323,contact@duarte-servicios.es,,,,ESP6172004Z,,,2026-09-28
0002000033,KUNA,ESPINOSA & IBANEZ S.L.,,ESPINOSA I,CALLE MAYOR 37, BARCELONA ,08040,ES,ES,+34 96 447 5540,,ESV1158267H,,,ESV1158267H,,,2020-08-27
0002000034,KUNA,MARMARA ENDUSTRI A.S.,,MARMARA EN,ORGANIZE SANAYI BOLGESI 42. CADDE,Ankara,06020,TR,EN,+90 212 558 2500,billing@marmara-endustri.com.tr,0364271436,,,,,,2022-09-15
