KUNNR,BUKRS,AKONT,ZTERM,ZWELS,HBKID,SPERR,LOEVM
0002000001,3000,0000140100,Z014,TU,,,
0002000002,2000,0000140100,NT30,,,,
0002000003,3000,0000140100,Z030,,CB002,,
0002000004,1000,0000140100,0002,TU,,,
0002000005,1000,0000140000,Z014,,CB001,,
0002000006,1000,0000140100,0001,TU,CB001,,
0002000006,2000,0000140000,Z030,S,CB001,,
0002000007,1000,0000140000,0002,TU,CB002,,
0002000007,3000,0000140100,0002,S,CB002,,
0002000008,3000,0000140100,0002,,CB002,,
0002000009,3000,0000140000,0002,S,CB001,,
0002000009,1000,0000140000,0002,TU,CB001,,
0002000010,2000,0000140000,0001,S,CB002,,
0002000011,2000,0000140000,0002,S,,,
0002000012,3000,0000140000,NT30,,CB002,,
0002000013,1000,0000140000,Z030,TU,CB001,,
0002000013,3000,0000140100,0002,S,CB001,,
0002000014,3000,0000140100,Z014,S,CB001,,
0002000015,3000,0000140000,NT30,,,,
0002000016,1000,0000140100,Z014,TU,,,
0002000017,3000,0000140100,Z014,S,CB002,,
0002000017,1000,0000140100,NT30,TU,CB002,,
0002000018,1000,0000140100,Z014,S,CB002,,
0002000019,3000,0000140000,Z030,TU,CB001,,
0002000020,1000,0000140000,Z030,TU,CB001,,
0002000021,1000,0000140100,NT30,,CB001,,
0002000022,1000,0000140100,0002,,CB001,,
0002000023,2000,0000140000,Z014,,CB001,,
0002000024,2000,0000140100,Z030,TU,CB002,,
0002000025,1000,0000140100,Z030,,CB002,,
0002000026,1000,0000140000,Z030,,,,
0002000026,2000,0000140100,NT30,S,CB001,,
0002000027,2000,0000140000,0001,,,,
0002000028,1000,0000140100,0001,TU,CB001,,
0002000029,2000,0000140100,Z030,TU,CB002,,
0002000030,3000,0000140100,Z030,S,CB002,,
0002000030,1000,0000140000,0001,TU,CB002,,
0002000031,1000,0000140100,0001,,CB001,,
0002000032,3000,0000140100,0002,TU,CB002,,
0002000032,1000,0000140000,NT30,TU,CB001,,
0002000033,2000,0000140100,0002,,CB002,,
0002000034,3000,0000140000,0002,TU,CB001,,
0002000035,2000,0000140000,Z014,,,,
0002000036,1000,0000140000,NT30,TU,CB002,,
0002000037,1000,0000140000,Z014,,CB001,,
0002000038,3000,0000140100,Z030,,CB001,,
0002000038,2000,0000140000,NT30,,CB002,,
0002000039,3000,0000140100,0001,TU,CB001,,
0002000040,3000,0000140000,0001,TU,,,
0002000040,2000,0000140100,NT30,TU,,,
0002000041,2000,0000140100,Z014,TU,,,
0002000041,3000,0000140000,0002,,CB001,,
0002000042,3000,0000140100,Z014,S,CB001,,
0002000043,3000,0000140000,NT30,TU,CB002,,
0002000043,2000,0000140100,Z030,S,CB002,,
0002000044,2000,0000140100,Z014,S,,,
0002000044,1000,0000140100,0002,,,,
0002000045,3000,0000140000,0001,TU,CB002,,
0002000046,3000,0000140100,Z030,S,CB002,,
0002000046,2000,0000140100,Z030,,CB002,,
0002000047,2000,0000140100,NT30,S,,,
0002000048,1000,0000140100,0002,S,CB002,,
