KUNNR,VKORG,WAERS,ZTERM,INCO1,MINBW,SPERM,LOEVM
0002000001,S300,EUR,Z014,DAP,250,,
0002000002,S100,EUR,Z014,DDP,0,,
0002000003,S200,EUR,Z014,FCA,250,,
0002000004,S100,EUR,Z014,FCA,500,,
0002000004,S300,EUR,0001,DDP,0,,
0002000005,S200,EUR,NT30,FCA,1000,,
0002000006,S100,EUR,Z014,DAP,0,,
0002000007,S100,PLN,NT30,FCA,0,,
0002000008,S100,EUR,0001,DAP,1000,,
0002000009,S200,EUR,Z014,DAP,0,,
0002000009,S100,EUR,Z030,EXW,250,,
0002000010,S100,EUR,0001,DDP,0,,
0002000011,S300,EUR,0001,DDP,250,,
0002000011,S100,EUR,Z030,FCA,0,,
0002000012,S300,EUR,0001,DAP,250,,
0002000013,S100,EUR,NT30,EXW,1000,,
0002000014,S200,EUR,Z030,FCA,2500,,
0002000015,S100,PLN,NT30,DDP,500,,
0002000015,S200,PLN,NT30,FCA,0,,
0002000016,S200,EUR,Z030,FCA,0,,
0002000016,S300,EUR,Z014,FCA,0,,
0002000017,S100,EUR,Z014,DAP,1000,,
0002000018,S300,EUR,Z030,EXW,500,,
0002000019,S100,EUR,NT30,DAP,0,,
0002000020,S300,PLN,NT30,DDP,2500,,
0002000020,S100,PLN,Z014,DAP,250,,
0002000021,S200,EUR,0001,FCA,1000,,
0002000022,S200,EUR,Z014,EXW,0,,
0002000023,S300,EUR,NT30,FCA,0,,
0002000024,S300,EUR,NT30,DAP,1000,,
0002000024,S100,EUR,0001,FCA,250,,
0002000025,S100,EUR,Z030,EXW,0,,
0002000026,S300,EUR,Z030,EXW,2500,,
0002000027,S100,EUR,NT30,FCA,0,,
0002000027,S200,EUR,Z014,DAP,500,,
0002000028,S300,EUR,0001,EXW,250,,
0002000029,S300,EUR,Z014,DAP,250,,
0002000029,S200,EUR,Z014,DDP,2500,,
0002000030,S100,EUR,NT30,FCA,500,,
0002000030,S200,EUR,Z014,DAP,0,,
0002000031,S200,CHF,Z014,EXW,250,,
0002000032,S100,EUR,0001,DDP,1000,,
0002000032,S200,EUR,NT30,EXW,250,,
0002000033,S200,EUR,NT30,DAP,0,,
0002000034,S300,EUR,NT30,DAP,500,,
0002000035,S100,EUR,Z014,DDP,250,,
0002000036,S200,EUR,Z014,EXW,0,,
0002000037,S300,EUR,NT30,DAP,500,,
0002000038,S100,EUR,Z030,EXW,1000,,
0002000038,S200,EUR,Z030,DAP,0,,
0002000039,S200,EUR,Z030,FCA,0,,
0002000040,S100,EUR,Z030,DAP,250,,
0002000040,S200,EUR,0001,EXW,1000,,
0002000041,S300,EUR,0001,EXW,1000,,
0002000042,S100,EUR,NT30,FCA,0,,
