MATNR,SPRAS,MAKTX
000000000000100001,DE,Weststrand Zahnpasta 75ml
000000000000100001,EN,Weststrand Toothpaste 75ml
000000000000100002,DE,Nordsee Taschentücher 15x10
000000000000100002,EN,Nordsee Tissues 15x10
000000000000100003,DE,Waldbach Eiscreme Vanille 900ml
000000000000100004,DE,Morgentau Kidneybohnen 400g
000000000000100005,DE,Morgentau Magermilch 1L
000000000000100006,DE,Lindenhof Küchenrolle 4 Rollen
000000000000100006,EN,Lindenhof Kitchen roll 4 Rollen
000000000000100007,DE,Goldähre Kidneybohnen 400g
000000000000100007,EN,Goldähre Kidney beans 400g
000000000000100008,DE,Hansen Küchenrolle 4 Rollen
000000000000100008,EN,Hansen Kitchen roll 4 Rollen
000000000000100009,DE,Rotbuche Toastbrot 500g
000000000000100009,EN,Rotbuche Toast bread 500g
000000000000100010,DE,Umkarton Handseife
000000000000100010,EN,Outer case Hand soap
000000000000100011,DE,Umkarton Pils
000000000000100011,EN,Outer case Pilsner beer
000000000000100012,DE,Sonnenhof Toastbrot 750g
000000000000100012,EN,Sonnenhof Toast bread 750g
000000000000100013,DE,Nordsee Katzenfutter Fisch 400g
000000000000100014,DE,Fruchtgummi lose
000000000000100015,DE,"Nordsee Mineralwasser still 6x0,5L"
000000000000100015,EN,"Nordsee Still mineral water 6x0,5L"
000000000000100016,DE,"Nordsee Mineralwasser still 1,5L"
000000000000100016,EN,"Nordsee Still mineral water 1,5L"
000000000000100017,DE,"Sonnenhof Vollmilch 3,5% 0,5L"
000000000000100017,EN,"Sonnenhof Whole milk 3.5% 0,5L"
000000000000100018,DE,Feldmann Bonbon Waldfrucht 150g
000000000000100019,DE,Goldähre Croissant 4 St
000000000000100019,EN,Goldähre Croissant 4 St
000000000000100020,DE,Umkarton Schlagsahne
000000000000100020,EN,Outer case Whipping cream
000000000000100021,DE,"Goldähre Mineralwasser still 6x0,5L"
000000000000100021,EN,"Goldähre Still mineral water 6x0,5L"
000000000000100022,DE,Lindenhof Butterkeks 200g
000000000000100023,DE,Seeblick Zahnpasta 75ml
000000000000100023,EN,Seeblick Toothpaste 75ml
000000000000100024,DE,Alpenrose Hundefutter Rind 400g
000000000000100025,DE,Almtal Kidneybohnen 400g
000000000000100025,EN,Almtal Kidney beans 400g
000000000000100026,DE,Waldbach Spülmittel 500ml
000000000000100027,DE,Nordsee Bonbon Waldfrucht 150g
000000000000100028,DE,Gutsherr Speisequark 250g
000000000000100028,EN,Gutsherr Quark 250g
000000000000100029,DE,Hansen Kidneybohnen 400g
000000000000100029,EN,Hansen Kidney beans 400g
000000000000100030,DE,Umkarton Duschgel
000000000000100031,DE,Feldmann Speisequark 500g
000000000000100032,DE,Seeblick Toastbrot 750g
000000000000100032,EN,Seeblick Toast bread 750g
000000000000100033,DE,Umkarton Hundefutter Rind
000000000000100033,EN,Outer case Dog food beef
000000000000100034,DE,"Feldmann Mineralwasser still 1,5L"
000000000000100034,EN,"Feldmann Still mineral water 1,5L"
000000000000100035,DE,Morgentau Erbsen 400g
000000000000100035,EN,Morgentau Peas 400g
000000000000100036,DE,Dienstleistung Croissant
000000000000100036,EN,Service Croissant
000000000000100037,DE,Dienstleistung Bonbon Waldfrucht
000000000000100037,EN,Service Forest fruit sweets
000000000000100038,DE,Seeblick Mais 300g
000000000000100038,EN,Seeblick Sweetcorn 300g
000000000000100039,DE,"Waldbach Waschpulver 1,35kg"
000000000000100039,EN,"Waldbach Washing powder 1,35kg"
000000000000100040,DE,Alpenrose Kidneybohnen 400g
000000000000100040,EN,Alpenrose Kidney beans 400g
000000000000100041,DE,Morgentau Toastbrot 750g
000000000000100041,EN,Morgentau Toast bread 750g
000000000000100042,DE,Dienstleistung Speisequark
000000000000100043,DE,Hansen Hundefutter Rind 400g
000000000000100044,DE,Gutsherr Mais 300g
000000000000100044,EN,Gutsherr Sweetcorn 300g
000000000000100045,DE,"Nordsee Waschpulver 1,35kg"
000000000000100045,EN,"Nordsee Washing powder 1,35kg"
000000000000100046,DE,Umkarton Toilettenpapier
000000000000100047,DE,Nordsee Fruchtgummi 200g
000000000000100047,EN,Nordsee Fruit gums 200g
000000000000100048,DE,Umkarton Toilettenpapier
000000000000100048,EN,Outer case Toilet paper
000000000000100049,DE,Kristall Apfelsaft 1L
000000000000100049,EN,Kristall Apple juice 1L
000000000000100050,DE,"Weststrand Eistee Pfirsich 1,5L"
000000000000100051,DE,Alpenrose Pizza Salami 350g
000000000000100051,EN,Alpenrose Salami pizza 350g
000000000000100052,DE,Goldähre Küchenrolle 4 Rollen
000000000000100052,EN,Goldähre Kitchen roll 4 Rollen
000000000000100053,DE,"Lindenhof Vollmilch 3,5% 1L"
000000000000100053,EN,Lindenhof Whole milk 3.5% 1L
000000000000100054,DE,Feldmann Küchenrolle 4 Rollen
000000000000100054,EN,Feldmann Kitchen roll 4 Rollen
000000000000100055,DE,Umkarton Zahnpasta
000000000000100055,EN,Outer case Toothpaste
000000000000100056,DE,Umkarton Eistee Pfirsich
000000000000100056,EN,Outer case Iced tea peach
000000000000100057,DE,Bergquell Toilettenpapier 10 Rollen
000000000000100058,DE,"Seeblick Waschpulver 1,35kg"
000000000000100059,DE,Morgentau Toilettenpapier 10 Rollen
000000000000100059,EN,Morgentau Toilet paper 10 Rollen
000000000000100060,DE,Sonnenhof Gemüsemischung 750g
000000000000100060,EN,Sonnenhof Mixed vegetables 750g
000000000000100061,DE,zzz alt
000000000000100062,DE,Hansen Orangensaft 1L
000000000000100062,EN,Hansen Orange juice 1L
000000000000100063,DE,Bergquell Zwieback 225g
000000000000100063,EN,Bergquell Rusk 225g
000000000000100064,DE,Alpenrose Taschentücher 15x10
000000000000100064,EN,Alpenrose Tissues 15x10
000000000000100065,DE,Morgentau Erbsen 400g
000000000000100066,DE,Lachsfilet lose
000000000000100067,DE,Lindenhof Hundefutter Rind 400g
000000000000100068,DE,Waldbach Katzenfutter Fisch 400g
000000000000100068,EN,Waldbach Cat food fish 400g
000000000000100069,DE,Almtal Eiscreme Vanille 900ml
000000000000100070,DE,Feldmann Handseife 500ml
000000000000100070,EN,Feldmann Hand soap 500ml
000000000000100071,DE,Nordsee Bonbon Waldfrucht 150g
000000000000100071,EN,Nordsee Forest fruit sweets 150g
000000000000100072,DE,Morgentau Fruchtgummi 200g
000000000000100072,EN,Morgentau Fruit gums 200g
000000000000100073,DE,Umkarton Zahnpasta
000000000000100073,EN,Outer case Toothpaste
000000000000100074,DE,Rotbuche Butterkeks 200g
000000000000100074,EN,Rotbuche Butter biscuits 200g
000000000000100075,DE,Bergquell Pommes frites 1kg
000000000000100075,EN,Bergquell French fries 1kg
000000000000100076,DE,Almtal Taschentücher 15x10
000000000000100077,DE,Kristall Fruchtgummi 200g
000000000000100077,EN,Kristall Fruit gums 200g
000000000000100078,DE,Hansen Shampoo 300ml
000000000000100078,EN,Hansen Shampoo 300ml
000000000000100079,DE,Butterkeks lose
000000000000100079,EN,Butter biscuits bulk
000000000000100080,DE,Feldmann Allzweckreiniger 750ml
000000000000100081,DE,"Bergquell Mineralwasser still 6x0,5L"
000000000000100082,DE,Kristall Katzenfutter Fisch 400g
000000000000100082,EN,Kristall Cat food fish 400g
000000000000100083,DE,Bergquell Toilettenpapier 10 Rollen
000000000000100083,EN,Bergquell Toilet paper 10 Rollen
000000000000100084,DE,Rotbuche Hundefutter Rind 400g
000000000000100084,EN,Rotbuche Dog food beef 400g
000000000000100085,DE,Goldähre Küchenrolle 4 Rollen
000000000000100085,EN,Goldähre Kitchen roll 4 Rollen
000000000000100086,DE,"Waldbach Cola 1,5L"
000000000000100086,EN,"Waldbach Cola 1,5L"
000000000000100087,DE,Rotbuche Eiscreme Vanille 900ml
000000000000100088,DE,Umkarton Speisequark
000000000000100089,DE,Weststrand Tomaten gehackt 400g
000000000000100089,EN,Weststrand Chopped tomatoes 400g
000000000000100090,DE,Rotbuche Eiscreme Vanille 900ml
000000000000100090,EN,Rotbuche Vanilla ice cream 900ml
