MATNR,MTART,MBRSH,MATKL,MEINS,BISMT,EAN11,NUMTP,BRGEW,NTGEW,GEWEI,MSTAE,LVORM,ERSDA,ERNAM
000000000000100001,FERT,H,WG-KOER,ST,ALT878626,4002195928035,HE,1.212,0.975,KG,,X,2026-12-02,T.BRANDT
000000000000100002,HAWA,H,WG-PAPI,ST,,4094848736203,HE,0.567,0.545,KG,,X,2012-01-05,A.NOWAK
000000000000100003,HAWA,H,WG-TK,ST,,4088705300324,HE,10.773,10.367,KG,,X,2009-10-07,BATCHUSER
000000000000100004,HAWA,H,WG-KONS,ST,ALT479870,4015057537573,HE,11.228,10.067,KG,,X,2022-03-09,A.NOWAK
000000000000100005,HALB,H,WG-MOPRO,ST,ALT696412,4048014965942,HE,9.437,8.576,KG,,X,2020-11-03,M.HOFFMANN
000000000000100006,HAWA,H,WG-PAPI,ST,ALT187616,4055011603005,HE,8.088,6.926,KG,,X,2012-05-03,A.NOWAK
000000000000100007,HAWA,H,WG-KONS,ST,ALT758603,4025125669624,HE,9.507,7.915,KG,,X,2024-02-14,A.NOWAK
000000000000100008,HAWA,H,WG-PAPI,,ALT818406,4072083695622,HE,10.885,10.038,KG,,,2011-05-02,BATCHUSER
000000000000100009,HAWA,H,WG-BACK,ST,ALT485782,4063513560382,HE,11.041,9.389,KG,,X,2013-02-20,BATCHUSER
000000000000100010,VERP,H,WG-VERP,ST,ALT310505,4080478416530,HE,5.761,5.141,KG,,X,2026-08-14,BATCHUSER
000000000000100011,VERP,H,WG-VERP,ST,ALT157497,4088498030095,HE,5.674,5.384,KG,,X,2019-04-17,M.HOFFMANN
000000000000100012,HALB,H,WG-BACK,ST,,4020075745282,HE,11.693,10.094,KG,,,2026-05-18,A.NOWAK
000000000000100013,HAWA,H,WG-TIER,ST,,4042462130884,HE,2.956,2.812,KG,,X,2015-09-03,BATCHUSER
000000000000100014,ROH,H,WG-ROH,ST,,4002160151864,HE,7.520,6.934,KG,,,2013-08-27,T.BRANDT
000000000000100015,HAWA,H,WG-GETR,ST,ALT764728,4089139004178,HE,5.685,4.743,KG,,,2026-04-23,BATCHUSER
000000000000100016,NLAG,H,WG-GETR,ST,,4007984107165,HE,,,,,,2014-09-13,S.KELLER
000000000000100017,FERT,H,WG-MOPRO,ST,,4029661829016,HE,0.950,0.873,KG,,,2014-07-01,T.BRANDT
000000000000100018,HAWA,H,WG-SUES,ST,,4097188206696,HE,7.426,6.413,KG,,,2016-02-06,T.BRANDT
000000000000100019,HAWA,H,WG-BACK,ST,,4094962937821,HE,6.297,5.652,KG,,,2020-03-12,S.KELLER
000000000000100020,VERP,H,WG-VERP,ST,,4069749875931,HE,6.473,6.229,KG,,,2013-04-21,M.HOFFMANN
000000000000100021,HAWA,H,WG-GETR,ST,,4001322790934,HE,8.406,7.934,KG,,,2022-07-28,A.NOWAK
000000000000100022,HAWA,H,WG-SUES,ST,,4005490638241,HE,4.782,4.001,KG,,,2018-05-10,A.NOWAK
000000000000100023,NLAG,H,WG-KOER,ST,,4047023589354,HE,,,,,,2012-05-02,M.HOFFMANN
000000000000100024,HAWA,H,WG-TIER,ST,,4049809192505,HE,10.351,9.722,KG,,,2019-10-25,M.HOFFMANN
000000000000100025,NLAG,H,WG-KONS,ST,ALT484774,4056347388284,HE,,,,,,2011-04-19,A.NOWAK
000000000000100026,HAWA,H,WG-HAUS,ST,ALT553346,4023428114780,HE,8.734,8.376,KG,,,2026-05-14,T.BRANDT
000000000000100027,HAWA,H,WG-SUES,ST,,4022454763115,HE,4.249,3.828,KG,,,2021-09-19,A.NOWAK
000000000000100028,NLAG,H,WG-MOPRO,ST,,4084185842330,HE,,,,,,2025-08-10,T.BRANDT
000000000000100029,FERT,H,WG-KONS,ST,ALT604580,4033224281715,HE,7.716,7.342,KG,,,2018-07-06,A.NOWAK
000000000000100030,VERP,H,WG-VERP,ST,,4036681877149,HE,3.399,3.224,KG,,,2020-03-19,BATCHUSER
000000000000100031,HAWA,H,WG-MOPRO,ST,,4077790088569,HE,7.943,6.443,KG,,,2019-04-27,BATCHUSER
000000000000100032,FERT,H,WG-BACK,ST,ALT452460,4082540419494,HE,2.864,3.016,KG,,,2014-11-01,A.NOWAK
000000000000100033,VERP,H,WG-VERP,ST,,4003862340730,HE,1.439,1.192,KG,,,2018-05-04,S.KELLER
000000000000100034,HAWA,H,WG-GETR,ST,,4067706155263,HE,10.135,8.892,KG,,,2009-02-03,BATCHUSER
000000000000100035,HAWA,H,WG-KONS,ST,,4032990641051,HE,3.786,3.042,KG,,,2026-11-05,BATCHUSER
000000000000100036,DIEN,H,WG-DIEN,ST,ALT959564,,,,,,,,2020-03-15,M.HOFFMANN
000000000000100037,DIEN,H,WG-DIEN,ST,ALT987984,,,,,,,,2012-06-04,T.BRANDT
000000000000100038,HAWA,H,WG-KONS,ST,,4068929234520,HE,9.310,8.205,KG,,,2012-08-02,BATCHUSER
000000000000100039,HAWA,H,WG-HAUS,ST,,4081610205036,HE,10.068,9.522,KG,,,2009-11-19,BATCHUSER
000000000000100040,HAWA,H,WG-KONS,ST,,4082603715600,HE,2.800,2.560,KG,,,2022-03-06,A.NOWAK
000000000000100041,HAWA,H,WG-BACK,ST,,4006379157945,HE,0.000,0.000,KG,,,2024-05-24,M.HOFFMANN
000000000000100042,DIEN,H,WG-DIEN,ST,,,,,,,,,2020-06-21,S.KELLER
000000000000100043,HAWA,H,WG-TIER,ST,,4005168862053,HE,3.548,2.843,,,,2020-01-10,M.HOFFMANN
000000000000100044,HAWA,H,WG-KONS,ST,,4027932338397,HE,8.636,7.498,KG,,,2021-02-22,S.KELLER
000000000000100045,HAWA,H,WG-HAUS,ST,,4044082747183,HE,9.887,8.559,KG,,,2024-04-02,A.NOWAK
000000000000100046,VERP,H,WG-VERP,ST,,4023130399789,HE,4.459,3.976,KG,,,2021-10-12,A.NOWAK
000000000000100047,HAWA,H,WG-SUES,ST,ALT504529,4069180358437,HE,1.333,1.165,KG,,,2016-08-26,T.BRANDT
000000000000100048,VERP,H,WG-VERP,ST,,4090827311188,HE,7.732,7.247,KG,,,2010-09-02,M.HOFFMANN
000000000000100049,HAWA,H,WG-GETR,ST,,4038450251396,HE,4.802,4.442,KG,,,2012-02-05,S.KELLER
000000000000100050,HAWA,H,WG-GETR,ST,,4048232211401,HE,0.446,0.363,KG,,,2024-12-06,M.HOFFMANN
000000000000100051,HAWA,H,WG-TK,ST,,4001106896234,HE,2.477,1.982,KG,,,2021-02-02,T.BRANDT
000000000000100052,HAWA,H,WG-PAPI,ST,,4065840052240,HE,4.813,4.567,KG,,,2026-09-12,M.HOFFMANN
000000000000100053,HAWA,H,WG-MOPRO,ST,,4050294597089,HE,9.425,7.882,KG,,,2023-05-01,T.BRANDT
000000000000100054,HAWA,H,WG-PAPI,ST,,4083888751338,HE,8.390,7.312,KG,,,2026-12-02,T.BRANDT
000000000000100055,VERP,H,WG-VERP,ST,ALT291627,4031233087045,HE,9.106,7.712,KG,,,2023-03-02,S.KELLER
000000000000100056,VERP,H,WG-VERP,ST,,4025580121842,HE,0.183,0.164,KG,,,2026-10-27,T.BRANDT
000000000000100057,NLAG,H,WG-PAPI,ST,ALT405515,4075059629614,HE,,,,,,2026-09-06,BATCHUSER
000000000000100058,HAWA,H,WG-HAUS,ST,,4054413711967,HE,7.742,6.561,KG,,,2010-03-01,A.NOWAK
000000000000100059,HAWA,H,WG-PAPI,ST,ALT164641,4061364537249,HE,9.024,7.721,KG,,,2017-08-25,BATCHUSER
000000000000100060,HAWA,H,WG-TK,ST,,4009211486517,HE,11.406,10.045,KG,,,2024-07-22,M.HOFFMANN
000000000000100061,FERT,H,WG-GETR,ST,,4076789669369,HE,7.402,6.714,KG,,,2023-04-09,A.NOWAK
000000000000100062,FERT,H,WG-GETR,ST,ALT899616,4033829272736,HE,1.823,1.701,KG,,,2011-01-15,S.KELLER
000000000000100063,HAWA,H,WG-BACK,ST,ALT874087,4094020416145,HE,4.581,4.396,KG,,,2019-10-03,S.KELLER
000000000000100064,HAWA,H,WG-PAPI,ST,,4072622211610,HE,1.587,1.355,KG,,,2025-08-26,M.HOFFMANN
000000000000100065,HAWA,H,WG-KONS,ST,,4058332769245,HE,11.682,10.020,KG,,,2026-08-02,BATCHUSER
000000000000100066,ROH,H,WG-ROH,ST,,4035923225076,HE,4.093,3.904,KG,,,2013-08-04,M.HOFFMANN
000000000000100067,HAWA,H,WG-TIER,ST,,4041165225811,HE,1.668,1.346,KG,,,2012-01-08,T.BRANDT
000000000000100068,HAWA,H,WG-TIER,ST,,4002419637682,HE,2.817,2.631,KG,,,2020-02-01,T.BRANDT
000000000000100069,HAWA,H,WG-TK,ST,,4007628720675,HE,1.398,1.339,KG,,,2022-01-01,A.NOWAK
000000000000100070,FERT,H,WG-KOER,ST,,4039908125382,HE,0.541,0.452,KG,,,2018-02-10,S.KELLER
