MATNR,WERKS,EKGRP,DISPO,DISMM,BESKZ,PLIFZ,EISBE,MINBE,MAABC,MMSTA,LVORM
000000000000100001,3000,,201,PD,E,0,3,0,C,,
000000000000100002,1000,E10,301,ND,F,17,66,0,B,,
000000000000100003,2000,E03,201,PD,F,4,345,50,C,,
000000000000100004,2000,E03,301,PD,F,14,51,0,C,,
000000000000100005,3000,,101,PD,E,0,323,250,B,,
000000000000100006,1000,E10,101,ND,F,9,260,0,A,,
000000000000100007,1000,E03,301,VB,F,12,240,250,A,,
000000000000100007,2000,E03,102,PD,F,16,10,0,A,,
000000000000100009,1000,E10,301,PD,F,16,141,250,B,,
000000000000100009,2000,E01,301,VB,F,15,85,0,A,,
000000000000100010,2000,E01,201,VB,F,16,93,50,A,,
000000000000100011,2000,E02,301,PD,F,5,363,100,A,,
000000000000100012,3000,,301,VB,E,0,221,250,C,,
000000000000100013,1000,E10,201,ND,F,17,398,100,B,,
000000000000100014,3000,E01,102,PD,F,8,77,0,A,,
000000000000100015,2000,E10,102,PD,F,21,305,0,C,,
000000000000100016,2000,E01,101,VB,F,9,247,50,A,,
000000000000100017,1000,,102,ND,E,0,37,100,B,,
000000000000100017,3000,,101,ND,E,0,14,50,A,,
000000000000100018,1000,E01,102,VB,F,12,3,0,C,,
000000000000100018,2000,E02,201,PD,F,8,304,50,C,,
000000000000100019,1000,E03,102,PD,F,18,241,0,C,,
000000000000100020,1000,E01,102,PD,F,14,149,250,C,,
000000000000100021,1000,E01,101,PD,F,14,356,50,C,,
000000000000100022,2000,E02,101,PD,F,9,280,100,A,,
000000000000100023,1000,E10,201,PD,F,9,276,100,B,,
000000000000100023,2000,E10,102,VB,F,12,12,50,B,,
000000000000100024,1000,E10,301,PD,F,17,172,50,B,,
000000000000100024,2000,E03,102,PD,F,2,104,0,B,,
000000000000100025,1000,E03,201,PD,F,16,44,250,C,,
000000000000100026,1000,E03,201,PD,F,11,165,0,B,,
000000000000100026,2000,E01,201,,F,3,23,0,A,,
000000000000100027,1000,E03,101,ND,F,10,243,0,B,,
000000000000100028,2000,E03,301,VB,F,16,130,100,A,,
000000000000100029,1000,,201,VB,E,0,325,100,B,,
000000000000100029,3000,,301,ND,E,0,299,0,B,,
000000000000100030,1000,E10,301,VB,F,13,64,0,B,,
000000000000100031,2000,E02,102,PD,F,18,284,100,C,,
000000000000100032,1000,,101,PD,E,0,359,0,A,,
000000000000100032,3000,,301,VB,E,0,115,50,B,,
000000000000100033,1000,,201,ND,F,11,167,250,C,,
000000000000100034,1000,E10,201,PD,F,6,305,50,B,,
000000000000100034,2000,E10,201,VB,F,10,82,0,C,,
000000000000100035,1000,E01,201,PD,F,5,198,0,B,,
000000000000100035,2000,E01,301,PD,F,12,315,50,A,,
000000000000100038,1000,E02,201,PD,F,2,371,50,C,,
000000000000100039,1000,E03,301,ND,F,9,382,100,C,,
000000000000100040,2000,E10,101,VB,F,11,395,50,A,,
000000000000100043,1000,E10,101,PD,F,11,373,100,B,,
000000000000100043,2000,E01,102,PD,F,4,19,250,C,,
000000000000100044,1000,E02,301,PD,F,10,50,250,C,,
000000000000100045,2000,E02,301,VB,F,9,134,50,B,,
000000000000100046,1000,E10,102,PD,F,5,121,100,B,,
000000000000100046,2000,E03,102,ND,F,15,114,0,A,,
000000000000100047,1000,E10,301,ND,F,13,96,0,C,,
000000000000100048,2000,E03,101,VB,F,11,277,250,B,,
000000000000100049,1000,E02,301,PD,F,20,38,100,A,,
000000000000100049,2000,E02,201,ND,F,17,139,100,A,,
000000000000100050,1000,E10,101,PD,F,8,65,0,B,,
000000000000100050,2000,E02,301,PD,F,6,100,0,A,,
000000000000100051,1000,E10,101,ND,F,20,127,0,B,,
000000000000100051,2000,E03,301,PD,F,5,238,0,A,,
000000000000100052,1000,E01,102,PD,F,7,308,250,C,,
000000000000100052,2000,E03,301,PD,F,5,265,100,A,,
000000000000100053,1000,E10,301,ND,F,14,186,50,A,,
000000000000100054,1000,E02,101,ND,F,21,222,0,C,,
000000000000100055,2000,E01,301,PD,F,15,78,0,C,,
000000000000100056,2000,E02,301,VB,F,13,68,100,A,,
000000000000100057,1000,E02,102,PD,F,13,312,100,A,,
000000000000100057,2000,E02,101,VB,F,4,83,50,A,,
000000000000100058,1000,E01,201,ND,F,8,390,0,B,,
000000000000100058,2000,E03,301,VB,F,21,84,50,A,,
000000000000100059,1000,E03,102,VB,F,20,193,100,B,,
000000000000100060,1000,E03,301,PD,F,16,237,0,C,,
000000000000100061,3000,,101,ND,E,0,162,0,B,,
000000000000100062,3000,,201,ND,E,0,369,50,B,,
000000000000100063,1000,E03,101,PD,F,6,246,0,C,,
000000000000100063,2000,E02,101,ND,F,17,267,250,C,,
000000000000100064,1000,E10,101,PD,F,14,18,50,A,,
000000000000100065,1000,E03,201,ND,F,20,38,50,B,,
000000000000100065,2000,E01,301,PD,F,13,268,50,B,,
000000000000100066,3000,E02,102,PD,F,16,202,0,A,,
000000000000100067,2000,E01,102,VB,F,7,178,0,A,,
000000000000100068,2000,E02,102,ND,F,10,108,0,A,,
000000000000100069,1000,E10,101,ND,F,8,301,50,C,,
000000000000100070,3000,,201,PD,E,0,23,250,C,,
000000000000100071,2000,E03,301,ND,F,2,96,0,A,,
000000000000100072,2000,E10,201,PD,F,16,72,100,C,,
000000000000100073,1000,E03,101,PD,F,19,137,0,B,,
000000000000100074,1000,E02,201,PD,E,13,321,100,B,,
000000000000100075,1000,E10,101,VB,F,2,279,50,B,,
000000000000100076,1000,E10,102,VB,F,19,346,100,A,,
000000000000100078,1000,E10,101,ND,F,2,28,250,A,,
000000000000100078,2000,E10,101,PD,F,20,72,100,A,,
000000000000100079,3000,E01,101,VB,F,4,95,100,A,,
000000000000100080,1000,E03,201,PD,F,15,350,0,B,,
000000000000100080,2000,E10,101,VB,F,17,82,250,B,,
000000000000100081,2000,E02,201,VB,F,2,350,0,C,,
000000000000100082,3000,,101,PD,E,0,304,100,C,,
000000000000100083,1000,E10,201,PD,F,17,350,0,B,,
000000000000100083,2000,E03,201,VB,F,5,337,100,C,,
000000000000100084,1000,E03,102,ND,F,4,199,0,B,,
000000000000100084,2000,E10,102,PD,F,7,360,100,C,,
000000000000100085,1000,E03,102,PD,F,12,357,250,A,,
000000000000100085,2000,E01,101,PD,F,7,269,50,A,,
000000000000100086,1000,E10,301,VB,F,13,168,50,A,,
000000000000100086,2000,E02,301,PD,F,13,23,50,B,,
000000000000100087,1000,E02,101,PD,F,19,56,0,A,,
