MATNR,WERKS,LGORT,LABST,INSME,SPEME,LGPBE,LVORM
000000000000100001,3000,0001,149,0,0,C-17-3,
000000000000100001,3000,0002,682,25,0,C-15-1,
000000000000100002,1000,0001,315,0,0,A-29-7,
000000000000100002,1000,0002,325,25,0,D-03-1,
000000000000100003,2000,0002,531,0,0,B-18-3,
000000000000100004,2000,0001,47,25,0,D-08-1,
000000000000100004,2000,0002,32,0,40,C-24-1,
000000000000100005,3000,0002,183,25,0,A-17-5,
000000000000100006,1000,0002,409,0,0,A-15-2,
000000000000100007,1000,0001,885,0,0,C-09-7,
000000000000100007,2000,0001,836,0,0,B-26-9,
000000000000100009,1000,0001,304,0,0,C-04-8,
000000000000100009,2000,0001,287,0,0,B-24-8,
000000000000100010,2000,0001,380,25,40,D-29-8,
000000000000100010,2000,0002,166,25,0,B-18-2,
000000000000100011,2000,0001,210,25,0,C-14-2,
000000000000100011,2000,0002,636,0,40,B-11-2,
000000000000100012,3000,0001,90,0,0,C-16-2,
000000000000100013,1000,0002,692,25,0,B-10-9,
000000000000100014,3000,0002,696,25,0,C-02-4,
000000000000100015,2000,0001,416,25,0,A-07-8,
000000000000100015,2000,0002,78,0,0,A-04-5,
000000000000100017,1000,0001,552,25,40,B-04-3,
000000000000100017,1000,0002,546,25,0,C-24-7,
000000000000100017,3000,0001,522,0,0,B-14-8,
000000000000100018,1000,0002,202,0,0,A-13-2,
000000000000100018,2000,0002,53,0,0,B-21-1,
000000000000100019,1000,0002,301,25,40,D-26-8,
000000000000100020,1000,0001,824,0,0,C-11-7,
000000000000100020,1000,0002,3,0,0,A-15-4,
000000000000100021,1000,0002,275,0,0,A-28-3,
000000000000100022,2000,0001,70,25,0,C-16-4,
000000000000100024,1000,0001,508,0,0,B-09-8,
000000000000100024,1000,0002,404,0,40,A-24-8,
000000000000100024,2000,0002,342,0,0,B-27-2,
000000000000100026,1000,0002,762,0,0,C-24-6,
000000000000100026,2000,0001,820,25,40,A-23-9,
000000000000100027,1000,0001,729,0,0,A-12-4,
000000000000100027,1000,0002,609,0,0,D-01-5,
000000000000100029,1000,0001,296,25,0,C-23-9,
000000000000100029,3000,0002,719,0,0,B-22-7,
000000000000100030,1000,0001,326,0,40,B-14-1,
000000000000100030,1000,0002,867,25,0,D-13-4,
000000000000100031,2000,0001,187,25,0,B-19-6,
000000000000100031,2000,0002,32,0,0,C-15-1,
000000000000100032,1000,0001,256,0,0,B-19-3,
000000000000100032,3000,0002,881,0,40,B-11-9,
000000000000100033,1000,0002,757,0,0,B-25-2,
000000000000100034,1000,0001,154,25,40,A-13-4,
000000000000100034,2000,0002,528,25,0,B-14-1,
000000000000100035,1000,0001,332,0,0,B-21-5,
000000000000100035,1000,0002,12,25,0,A-29-9,
000000000000100035,2000,0002,432,0,0,B-13-3,
000000000000100038,1000,0001,447,0,0,C-25-8,
000000000000100038,1000,0002,226,0,0,D-28-4,
000000000000100039,1000,0001,655,0,0,B-18-8,
000000000000100039,1000,0002,530,0,0,C-16-3,
000000000000100040,2000,0002,851,0,0,D-07-1,
000000000000100041,1000,0001,179,25,0,B-10-6,
000000000000100041,2000,0001,346,0,0,D-01-6,
000000000000100041,2000,0002,900,0,40,B-22-8,
000000000000100043,1000,0002,843,0,40,A-25-5,
000000000000100043,2000,0001,275,0,0,D-10-4,
000000000000100044,1000,0001,253,0,40,C-11-4,
000000000000100045,2000,0001,788,25,0,A-12-4,
000000000000100046,1000,0001,665,0,0,D-29-6,
000000000000100046,2000,0001,184,0,0,A-19-5,
000000000000100047,1000,0002,117,0,0,A-25-7,
000000000000100048,2000,0001,316,25,0,D-15-9,
000000000000100049,1000,0002,96,0,40,D-01-1,
000000000000100049,2000,0001,722,0,40,D-19-8,
000000000000100050,1000,0002,123,0,0,C-02-6,
000000000000100050,2000,0001,491,0,0,B-15-5,
000000000000100051,1000,0002,-42,0,0,C-27-7,
000000000000100051,2000,0001,810,0,0,A-28-9,
000000000000100052,1000,0001,816,0,0,C-17-9,
000000000000100052,1000,0002,590,25,40,A-05-4,
000000000000100052,2000,0001,721,0,0,A-29-4,
000000000000100053,1000,0001,517,0,40,C-15-8,
000000000000100053,1000,0002,119,0,40,C-11-8,
000000000000100054,1000,0001,187,0,0,D-05-9,
000000000000100055,2000,0001,835,0,0,A-23-1,
000000000000100055,2000,0002,170,0,0,D-23-6,
000000000000100056,2000,0001,756,0,0,B-08-2,
