MATNR,BWKEY,VPRSV,BKLAS,VERPR,STPRS,PEINH,LBKUM,SALK3
000000000000100001,3000,S,7920,0.00,14.96,1,3488,52180.48
000000000000100002,1000,V,3100,19.63,0.00,1,2903,56985.89
000000000000100003,2000,V,3100,16.33,0.00,1,579,9455.07
000000000000100004,2000,V,3100,0.81,0.00,1,3693,2991.33
000000000000100005,3000,S,7900,0.00,6.48,1,1282,8307.36
000000000000100006,1000,V,3100,5.92,0.00,1,3492,20672.64
000000000000100007,1000,V,3100,11.82,0.00,1,851,10058.82
000000000000100007,2000,V,3100,15.46,0.00,1,165,2550.90
000000000000100009,1000,V,3100,21.26,0.00,1,1911,40627.86
000000000000100009,2000,V,3100,21.52,0.00,1,2334,50227.68
000000000000100010,2000,V,3030,1.09,0.00,1,59,64.31
000000000000100011,2000,V,3030,18.17,0.00,1,2623,47659.91
000000000000100012,3000,S,7900,0.00,4.15,1,1381,5731.15
000000000000100013,1000,V,3100,18.26,0.00,1,2736,49959.36
000000000000100014,3000,V,3000,22.44,0.00,1,146,3276.24
000000000000100015,2000,V,3100,13.67,0.00,1,985,13464.95
000000000000100016,2000,V,3100,8.66,0.00,1,0,0.00
000000000000100017,1000,S,7920,0.00,9.60,1,1603,15388.80
000000000000100017,3000,S,7920,0.00,5.50,1,923,5076.50
000000000000100018,1000,V,3100,16.40,0.00,1,63,1033.20
000000000000100018,2000,V,3100,15.39,0.00,1,93,1431.27
000000000000100019,1000,V,3100,19.85,0.00,1,1377,27333.45
000000000000100020,1000,V,3030,9.70,0.00,1,2604,25258.80
000000000000100021,1000,V,3100,7.63,0.00,1,1502,11460.26
000000000000100022,2000,V,3100,21.38,0.00,1,1420,30359.60
000000000000100023,1000,V,3100,7.85,0.00,1,0,0.00
000000000000100023,2000,V,3100,17.34,0.00,1,0,0.00
000000000000100024,1000,V,3100,17.90,0.00,1,1245,22285.50
000000000000100024,2000,V,3100,5.51,0.00,1,3209,17681.59
000000000000100025,1000,V,3100,5.57,0.00,1,0,0.00
000000000000100026,1000,V,3100,19.73,0.00,1,2790,55046.70
000000000000100026,2000,V,3100,4.20,0.00,1,3439,14443.80
000000000000100027,1000,V,3100,8.47,0.00,1,1129,9562.63
000000000000100028,2000,V,3100,21.92,0.00,1,0,0.00
000000000000100029,1000,S,7920,0.00,3.97,1,2776,11020.72
000000000000100029,3000,S,7920,0.00,1.41,1,1886,2659.26
000000000000100030,1000,V,3030,20.11,0.00,1,2506,50395.66
000000000000100031,2000,V,3100,15.21,0.00,1,2953,44915.13
000000000000100033,1000,V,3030,19.43,0.00,1,252,4896.36
000000000000100034,1000,V,3100,3.98,0.00,1,1662,6614.76
000000000000100034,2000,V,3100,4.17,0.00,1,354,1476.18
000000000000100035,1000,V,3100,1.28,0.00,1,3114,3985.92
000000000000100035,2000,V,3100,0.50,0.00,1,3317,1658.50
000000000000100038,1000,V,3100,7.30,0.00,1,52,379.60
000000000000100039,1000,V,3100,3.36,0.00,1,2526,8487.36
000000000000100040,2000,V,3100,8.88,0.00,1,431,3827.28
000000000000100041,1000,V,3100,19.24,0.00,1,1356,26089.44
000000000000100041,2000,V,3100,16.66,0.00,1,425,7080.50
000000000000100044,1000,V,3100,20.82,0.00,1,1084,22568.88
000000000000100045,2000,V,3100,13.86,0.00,1,1735,24047.10
000000000000100046,1000,V,3030,15.21,0.00,1,1102,16761.42
000000000000100046,2000,V,3030,7.93,0.00,1,1376,10911.68
000000000000100047,1000,V,3100,0.00,0.00,1,367,7839.12
000000000000100048,2000,V,3030,2.87,0.00,1,1467,4210.29
000000000000100049,1000,V,3100,23.39,0.00,1,932,21799.48
000000000000100049,2000,V,3100,7.61,0.00,1,2480,18872.80
000000000000100050,1000,V,3100,16.02,0.00,1,125,2002.50
000000000000100050,2000,V,7900,21.93,0.00,1,2766,60658.38
000000000000100051,1000,V,3100,18.31,0.00,1,1069,19573.39
000000000000100051,2000,V,3100,16.24,0.00,1,1518,24652.32
000000000000100052,1000,V,3100,9.79,0.00,1,664,6500.56
000000000000100052,2000,V,3100,13.64,0.00,1,2350,32054.00
000000000000100053,1000,V,3100,18.69,0.00,1,2742,51247.98
000000000000100054,1000,V,3100,21.87,0.00,1,2575,56315.25
000000000000100055,2000,V,3030,24.47,0.00,1,1393,34086.71
000000000000100056,2000,V,3030,13.53,0.00,1,1521,20579.13
000000000000100057,1000,V,3100,13.96,0.00,1,0,0.00
000000000000100057,2000,V,3100,15.79,0.00,1,0,0.00
000000000000100058,1000,V,3100,21.24,0.00,1,2309,49043.16
000000000000100058,2000,V,3100,21.08,0.00,1,3495,73674.60
000000000000100059,1000,V,3100,23.29,0.00,1,1479,34445.91
000000000000100060,1000,V,3100,1.33,0.00,1,1378,1832.74
000000000000100061,3000,S,7920,0.00,22.24,1,1320,29356.80
000000000000100062,3000,S,7920,0.00,15.20,1,3492,53078.40
000000000000100063,1000,V,3100,17.65,0.00,1,3529,62286.85
000000000000100063,2000,V,3100,23.40,0.00,1,139,3252.60
000000000000100064,1000,V,3100,21.23,0.00,1,3630,0.00
000000000000100065,1000,V,3100,14.93,0.00,1,848,12660.64
000000000000100065,2000,V,3100,4.88,0.00,1,11,53.68
000000000000100066,3000,V,3000,4.62,0.00,1,2592,11975.04
000000000000100067,2000,V,3100,22.76,0.00,1,3821,86965.96
000000000000100068,2000,V,3100,2.70,0.00,1,2391,6455.70
000000000000100069,1000,V,3100,13.41,0.00,1,2995,40162.95
000000000000100070,3000,S,7920,0.00,21.24,1,2142,45496.08
000000000000100071,2000,V,3100,13.39,0.00,1,1774,23753.86
000000000000100072,2000,V,3100,13.50,0.00,1,3293,44455.50
000000000000100073,1000,S,3030,13.68,0.00,1,2595,35499.60
000000000000100074,1000,V,3100,1.60,0.00,1,357,571.20
000000000000100075,1000,V,3100,13.89,0.00,1,2649,36794.61
000000000000100076,1000,V,3100,10.50,0.00,1,1075,11287.50
000000000000100078,1000,V,3100,14.07,0.00,1,1516,21330.12
000000000000100078,2000,V,3100,22.58,0.00,1,2018,45566.44
000000000000100079,3000,V,7900,8.34,0.00,1,630,5254.20
000000000000100080,1000,V,3100,13.62,0.00,1,0,0.00
000000000000100080,2000,V,3100,22.53,0.00,1,0,0.00
000000000000100081,2000,V,3100,13.22,0.00,1,2831,37425.82
000000000000100082,3000,S,7900,0.00,23.81,1,1825,43453.25
000000000000100083,1000,V,3100,5.23,0.00,1,3641,19042.43
000000000000100083,2000,V,3100,1.21,0.00,1,2522,3051.62
000000000000100084,1000,V,3100,19.17,0.00,1,2188,41943.96
000000000000100084,2000,V,3100,23.35,0.00,1,539,12585.65
000000000000100085,1000,V,3100,15.53,0.00,1,448,6957.44
000000000000100085,2000,V,3100,2.26,0.00,1,1130,2553.80
000000000000100086,1000,V,3100,9.94,0.00,1,3157,31380.58
000000000000100086,2000,V,3100,5.56,0.00,1,3106,17269.36
000000000000100087,1000,V,3100,15.41,0.00,1,721,11110.61
000000000000100088,1000,V,3030,6.94,0.00,1,2133,14803.02
000000000000100089,2000,V,3100,21.50,0.00,1,2717,58415.50
