MATNR,VKORG,VTWEG,DWERK,VERSG,KONDM,KTGRM,MTPOS,MVGR1,LVORM
000000000000100001,S200,10,3000,1,01,01,NORM,A2,
000000000000100002,S200,10,1000,1,01,03,NORM,B1,
000000000000100003,S300,20,2000,1,01,03,NORM,,
000000000000100004,S100,10,2000,1,01,01,NORM,A1,
000000000000100006,S300,20,1000,1,01,03,NORM,A2,
000000000000100007,S200,20,2000,1,01,03,NORM,A1,
000000000000100008,S100,20,2000,1,01,01,NORM,A1,
000000000000100008,S200,20,2000,1,01,01,NORM,B1,
000000000000100009,S200,20,2000,1,01,01,NORM,B1,
000000000000100013,S300,10,1000,1,01,01,NORM,B1,
000000000000100015,S300,10,2000,1,01,01,NORM,,
000000000000100016,S200,20,2000,1,01,,NORM,A1,
000000000000100017,S100,20,3000,1,01,03,NORM,A1,
000000000000100018,S300,10,1000,1,01,01,NORM,B1,
000000000000100019,S100,20,1000,1,01,03,NORM,A2,
000000000000100019,S300,10,1000,1,01,01,NORM,A1,
000000000000100021,S300,20,1000,1,01,03,NORM,A1,
000000000000100022,S200,10,2000,1,01,01,NORM,B1,
000000000000100023,S300,10,2000,1,01,01,NORM,A1,
000000000000100024,S300,20,1000,1,01,,NORM,A2,
000000000000100025,S100,10,1000,1,01,01,NORM,A2,
000000000000100025,S200,10,1000,1,01,03,NORM,B1,
000000000000100026,S100,10,2000,1,01,01,NORM,,
000000000000100027,S100,20,1000,1,01,01,NORM,A2,
000000000000100027,S200,20,1000,1,01,01,NORM,,
000000000000100028,S100,20,2000,1,01,01,NORM,A2,
000000000000100028,S200,20,2000,1,01,03,NORM,B1,
000000000000100029,S100,20,3000,1,01,01,NORM,,
000000000000100031,S100,10,2000,1,01,03,NORM,,
000000000000100031,S200,20,2000,1,01,01,NORM,,
000000000000100032,S200,10,3000,1,01,03,NORM,A2,
000000000000100034,S300,10,2000,1,01,01,NORM,A2,
000000000000100035,S200,20,2000,1,01,01,NORM,B1,
000000000000100035,S300,10,2000,1,01,01,NORM,B1,
000000000000100036,S100,10,,1,01,03,DIEN,,
000000000000100037,S300,10,,1,01,03,DIEN,,
000000000000100038,S200,20,9999,1,01,01,,,
000000000000100039,S100,20,1000,1,01,03,NORM,B1,
000000000000100040,S100,10,2000,1,01,01,NORM,A1,
000000000000100040,S200,20,2000,1,01,01,NORM,B1,
000000000000100041,S100,10,1000,1,01,03,NORM,A2,
000000000000100041,S200,10,1000,1,01,01,,A2,
000000000000100042,S100,10,,1,01,03,DIEN,,
000000000000100043,S100,20,1000,1,01,01,NORM,A2,
000000000000100044,S200,10,1000,1,01,03,NORM,,
000000000000100045,S100,10,2000,1,01,01,NORM,A2,
000000000000100047,S200,10,1000,1,01,03,NORM,A1,
000000000000100049,S200,20,2000,1,01,01,NORM,B1,
000000000000100049,S300,20,2000,1,01,03,NORM,,
000000000000100050,S100,10,2000,1,01,03,NORM,B1,
000000000000100050,S300,20,2000,1,01,01,NORM,,
