ASNUM,ASTYP,MATKL,MEINS,BKLAS,TAXIM,LOEKZ,ERNAM,ERDAT
0000500001,SERV,,M2,3220,V1,,M.HOFFMANN,2011-09-03
0000500002,SERV,SRV-CLEAN,M2,3200,V1,,BATCHUSER,2025-11-14
0000500003,SERV,SRV-CLEAN,M2,3220,V1,,S.KELLER,2014-09-22
0000500004,SERV,SRV-CLEAN,M2,3200,V1,,A.NOWAK,2020-08-07
0000500005,SERV,SRV-CLEAN,M2,3210,V1,,S.KELLER,2015-12-20
0000500006,SERV,SRV-CLEAN,M2,3200,V1,,S.KELLER,2012-11-26
0000500007,SERV,SRV-CLEAN,M2,3200,V1,,M.HOFFMANN,2019-02-28
0000500008,SERV,SRV-CLEAN,M2,3210,V1,,M.HOFFMANN,2017-10-19
0000500009,SERV,SRV-CLEAN,M2,3200,V1,,M.HOFFMANN,2022-03-17
0000500010,SERV,SRV-CLEAN,M2,3200,V1,,J.WEBER,2026-10-17
0000500011,SERV,SRV-CLEAN,M2,3220,V1,,T.BRANDT,2021-06-11
0000500012,SERV,SRV-CLEAN,M2,3200,V1,,J.WEBER,2027-08-10
0000500013,SERV,SRV-CLEAN,M2,3210,V0,,S.KELLER,2014-06-12
0000500014,SERV,SRV-CLEAN,M2,3210,V0,,A.NOWAK,2025-07-08
0000500015,SERV,SRV-CLEAN,M2,3210,V1,,T.BRANDT,2025-12-28
0000500016,SERV,SRV-CLEAN,STD,3220,V1,,S.KELLER,2023-04-19
0000500017,SERV,,STD,3220,V1,,A.NOWAK,2015-03-17
0000500018,SERV,SRV-CLEAN,STD,3220,V1,,J.WEBER,2025-12-17
0000500019,SERV,SRV-CLEAN,STD,3220,V1,,A.NOWAK,2016-06-10
0000500020,SERV,SRV-CLEAN,STD,3220,V1,,J.WEBER,2024-11-15
0000500021,SERV,SRV-MAINT,STD,3220,V1,,T.BRANDT,2022-12-13
0000500022,SERV,SRV-MAINT,STD,3210,V1,,T.BRANDT,2016-08-05
0000500023,SERV,SRV-MAINT,STD,3200,V0,,M.HOFFMANN,2025-04-06
0000500024,SERV,SRV-MAINT,STD,3220,V1,,S.KELLER,2019-08-04
0000500025,SERV,SRV-MAINT,STD,3210,V1,,T.BRANDT,2020-06-08
0000500026,SERV,SRV-MAINT,STD,3220,V1,,A.NOWAK,2022-04-06
0000500027,SERV,SRV-MAINT,STD,3210,V1,X,T.BRANDT,2026-06-02
0000500028,SERV,SRV-MAINT,STD,3220,V1,,S.KELLER,2025-04-23
0000500029,SERV,SRV-MAINT,STD,3210,V1,,A.NOWAK,2025-08-08
0000500030,SERV,,STD,3210,V0,,BATCHUSER,2025-05-19
0000500031,SERV,SRV-MAINT,STD,3220,V1,,S.KELLER,2011-04-15
0000500032,SERV,SRV-MAINT,,3220,V1,,M.HOFFMANN,2024-09-20
0000500033,SERV,SRV-MAINT,m2,3220,V1,,BATCHUSER,2015-12-11
0000500034,SERV,SRV-MAINT,STD,3210,V1,,T.BRANDT,2026-10-07
0000500035,SERV,SRV-MAINT,STD,3220,V1,,M.HOFFMANN,2027-06-04
0000500036,SERV,SRV-MAINT,ST,3220,V1,,BATCHUSER,2018-01-22
0000500037,SERV,SRV-MAINT,ST,3210,V1,,T.BRANDT,2026-05-16
0000500038,SERV,SRV-MAINT,ST,3220,V1,,M.HOFFMANN,2021-05-12
0000500039,SERV,SRV-MAINT,ST,3220,V1,,S.KELLER,2017-05-13
0000500040,SERV,SRV-MAINT,ST,3220,V0,,A.NOWAK,2020-12-06
0000500041,SERV,SRV-OLD,ST,3200,V0,,A.NOWAK,2020-02-25
0000500042,SERV,SRV-MAINT,STD,3210,V1,,BATCHUSER,2013-05-15
0000500043,SERV,SRV-MAINT,STD,3200,V1,,S.KELLER,2022-03-10
0000500044,SERV,SRV-MAINT,STD,3220,V1,,J.WEBER,2013-05-11
0000500045,SERV,SRV-MAINT,STD,3200,V1,,BATCHUSER,2021-03-12
0000500046,SERV,SRV-MAINT,STD,3220,V1,,BATCHUSER,2020-02-25
0000500047,SERV,SRV-MAINT,ST,3220,V1,,T.BRANDT,2024-08-13
0000500048,SERV,,ST,3200,V1,,BATCHUSER,2026-12-21
0000500049,SERV,SRV-MAINT,ST,3210,V1,,T.BRANDT,2017-04-10
0000500050,SERV,SRV-MAINT,,3210,V1,,T.BRANDT,2025-06-16
0000500051,SERV,SRV-MAINT,ST,3210,V1,X,A.NOWAK,2021-06-16
0000500052,SERV,SRV-MAINT,,3210,V1,,T.BRANDT,2026-07-19
0000500053,SERV,SRV-MAINT,ST,3200,V1,,S.KELLER,2026-02-12
0000500054,SERV,SRV-MAINT,ST,3220,V1,,S.KELLER,2016-08-17
0000500055,SERV,SRV-MAINT,ST,3220,V1,,M.HOFFMANN,2025-03-27
0000500056,SERV,SRV-MAINT,ST,3200,V1,,A.NOWAK,2013-12-02
0000500057,SERV,SRV-MAINT,EA,3220,V0,,S.KELLER,2026-03-01
0000500058,SERV,SRV-MAINT,ST,3200,V1,,M.HOFFMANN,2021-05-18
0000500059,SERV,SRV-MAINT,ST,3220,V1,,T.BRANDT,2026-01-03
0000500060,SERV,SRV-MAINT,,3210,V0,,BATCHUSER,2023-07-15
0000500061,SERV,SRV-MAINT,ST,3210,V1,,M.HOFFMANN,2013-12-06
0000500062,SERV,SRV-LOG,ST,9999,V1,,J.WEBER,2017-06-03
0000500063,SERV,SRV-LOG,ST,3220,V1,,A.NOWAK,2027-12-24
0000500064,SERV,SRV-LOG,ST,3200,V1,,BATCHUSER,2021-02-26
0000500065,SERV,SRV-LOG,ST,3200,V0,,S.KELLER,2025-03-03
0000500066,SERV,SRV-LOG,,3210,V0,,J.WEBER,2020-09-13
0000500067,SERV,SRV-LOG,ST,3220,V1,,J.WEBER,2020-06-13
0000500068,SERV,SRV-LOG,ST,3200,V1,,BATCHUSER,2017-06-11
0000500069,SERV,SRV-LOG,ST,3210,V0,,BATCHUSER,2022-09-16
0000500070,SERV,SRV-LOG,ST,3200,V1,,T.BRANDT,2013-06-19
0000500071,SERV,,KM,3220,V1,,A.NOWAK,2025-02-20
0000500072,SERV,SRV-LOG,KM,3220,V1,,A.NOWAK,2021-01-28
0000500073,SERV,SRV-LOG,KM,3200,V0,,A.NOWAK,2014-05-06
0000500074,SERV,SRV-LOG,KM,3200,V1,,M.HOFFMANN,2012-03-28
0000500075,SERV,SRV-LOG,KM,3200,V1,,BATCHUSER,2012-02-12
0000500076,XX,SRV-LOG,KM,3220,V1,,M.HOFFMANN,2017-10-03
0000500077,SERV,SRV-LOG,KM,3210,V1,,A.NOWAK,2015-05-14
0000500078,SERV,SRV-LOG,KM,3210,V1,,J.WEBER,2020-06-17
0000500079,SERV,SRV-LOG,KM,3210,V0,,BATCHUSER,2025-01-06
0000500080,SERV,SRV-LOG,ST,3210,V1,,A.NOWAK,2026-07-10
0000500081,SERV,SRV-LOG,ST,3200,V1,,A.NOWAK,2022-05-09
0000500082,SERV,SRV-LOG,ST,3210,V0,,A.NOWAK,2017-05-23
0000500083,SERV,SRV-LOG,ST,3220,V1,X,S.KELLER,2015-04-09
0000500084,SERV,SRV-LOG,ST,3220,V1,,T.BRANDT,2018-01-18
0000500085,SERV,SRV-LOG,ST,3200,V1,,J.WEBER,2021-02-24
0000500086,SERV,SRV-LOG,ST,3220,V0,,A.NOWAK,2025-06-25
