ASNUM,SPRAS,ASKTX
0000500001,DE,Reinigung Verkaufsfläche
0000500001,EN,Sales floor cleaning
0000500002,DE,Reinigung Verkaufsfläche monatlich
0000500003,DE,Reinigung Verkaufsfläche quartalsweise
0000500004,DE,Reinigung Verkaufsfläche Rufbereitschaft
0000500004,EN,Sales floor cleaning on call
0000500005,DE,TEST
0000500006,DE,Reinigung Verkaufsfläche Sonderaktion
0000500006,EN,Sales floor cleaning special campaign
0000500007,DE,Reinigung Lagerhalle
0000500007,EN,Warehouse cleaning
0000500008,DE,  Reinigung Lagerhalle Filiale Nord 
0000500008,EN,Warehouse cleaning Branch North
0000500009,DE,Reinigung Lagerhalle Zentrallager
0000500009,EN,Warehouse cleaning Central warehouse
0000500010,DE,Reinigung Lagerhalle Pauschale
0000500010,EN,Warehouse cleaning flat rate
0000500011,DE,Fensterreinigung
0000500011,EN,Window cleaning
0000500012,DE,Fensterreinigung quartalsweise
0000500012,EN,Window cleaning quarterly
0000500013,DE,FENSTERREINIGUNG ZENTRALLAGER
0000500013,EN,Window cleaning Central warehouse
0000500014,DE,Fensterreinigung nach Aufwand
0000500014,EN,Window cleaning time and material
0000500015,DE,Fensterreinigung Pauschale
0000500015,EN,Window cleaning flat rate
0000500016,DE,Grundreinigung Sozialräume
0000500016,EN,Deep cleaning staff rooms
0000500017,DE,Grundreinigung Sozialräume Filiale Süd
0000500018,DE,Grundreinigung Sozialräume nach Aufwand
0000500018,EN,Deep cleaning staff rooms time and material
0000500020,DE,Grundreinigung Sozialräume Sonderaktion
0000500020,EN,Deep cleaning staff rooms special campaign
0000500021,DE,Wartung Kühlanlage
0000500021,EN,Refrigeration maintenance
0000500022,DE,Wartung Kühlanlage monatlich
0000500022,EN,Refrigeration maintenance monthly
0000500023,DE,Wartung Kühlanlage quartalsweise
0000500023,EN,Refrigeration maintenance quarterly
0000500024,DE,Wartung Kühlanlage jährlich
0000500025,DE,Wartung Kühlanlage Filiale Süd
0000500025,EN,Refrigeration maintenance Branch South
0000500026,DE,Wartung Kühlanlage nach Aufwand
0000500027,DE,Wartung Kühlanlage Pauschale
0000500028,DE,Wartung Kühlanlage Rufbereitschaft
0000500029,DE,Wartung Kühlanlage Wochenende
0000500030,DE,  Wartung Klimaanlage 
0000500031,DE,Wartung Klimaanlage quartalsweise
0000500031,EN,Air conditioning maintenance quarterly
0000500032,DE,Wartung Klimaanlage jährlich
0000500033,DE,Wartung Klimaanlage Filiale Nord
0000500033,EN,Air conditioning maintenance Branch North
0000500034,DE,Wartung Klimaanlage nach Aufwand
0000500034,EN,Air conditioning maintenance time and material
0000500035,DE,Wartung Klimaanlage Sonderaktion
0000500035,EN,Air conditioning maintenance special campaign
0000500036,DE,Wartung Rolltor
0000500037,DE,Wartung Rolltor monatlich
0000500037,EN,Roller door maintenance monthly
0000500038,DE,Wartung Rolltor nach Aufwand
0000500039,DE,Wartung Rolltor Pauschale
0000500039,EN,Roller door maintenance flat rate
0000500040,DE,Wartung Rolltor Wochenende
0000500040,EN,Roller door maintenance weekend
0000500041,DE,WARTUNG ROLLTOR SONDERAKTION
0000500042,DE,Wartung Förderband
0000500043,DE,Wartung Förderband quartalsweise
0000500043,EN,Conveyor belt maintenance quarterly
0000500044,DE,Wartung Förderband nach Aufwand
0000500044,EN,Conveyor belt maintenance time and material
0000500045,DE,Wartung Förderband Pauschale
0000500046,DE,Wartung Förderband Rufbereitschaft
0000500047,DE,Prüfung Brandmeldeanlage
0000500047,EN,Fire alarm inspection
0000500048,DE,Prüfung Brandmeldeanlage quartalsweise
0000500048,EN,Fire alarm inspection quarterly
0000500049,DE,Prüfung Brandmeldeanlage Zentrallager
0000500050,DE,Prüfung Brandmeldeanlage nach Aufwand
0000500051,DE,Prüfung Brandmeldeanlage Pauschale
0000500051,EN,Fire alarm inspection flat rate
0000500052,DE,Prüfung Brandmeldeanlage Rufbereitschaft
