LIFNR,KTOKK,NAME1,NAME2,SORTL,STRAS,ORT01,PSTLZ,LAND1,SPRAS,TELF1,SMTP_ADDR,STCD1,LOEVM,SPERM,ERDAT
0000000001,ZSRV,Spirax Sarco Clean Steam Systems,Plant Operations,SPIRAXSAR,251 Central Way,Stuttgart,70173,DE,DE,+95-658-2458591,contact@spirax.sarco.clean.steam..com,DE826600539,,,2022-08-15
0000000002,ZSRV,Nutra-Blend Contract Manufacturing,,NUTRA-BLEN,224 Central Way,Hamburg,20095,DE,DE,+72-303-8038374,contact@nutra-blend.contract.manu.com,DE128492780,,,2018-06-21
0000000003,ZSRV,TreeHouse Private Brands Co-Packing,,TREEHOUSE,778 Agri Park Road,London,EC1A 1BB,GB,EN,+36-259-4612365,contact@treehouse.private.brands..com,GB465341213,,,2019-10-10
0000000004,ZPKG,Sonoco Products Industrial,,SONOCOPRO,368 Gewerbestraße,Hamburg,20095,DE,DE,+6-847-8707870,contact@sonoco.products.industria.com,DE966647391,,,2022-01-05
0000000005,ZPKG,Graphic Packaging International,,GRAPHICPA,81 Freight Terminal Drive,Lausanne,1003,CH,DE,+47-691-4226067,contact@graphic.packaging.interna.com,CH93016315,,,2023-11-25
0000000006,ZPKG,Huhtamaki Foodservice Packaging,,HUHTAMAKI,792 Freight Terminal Drive,Düsseldorf,40213,DE,DE,+13-489-5663623,contact@huhtamaki.foodservice.pac.com,DE349957310,,,2021-01-31
0000000007,ZSRV,Spirax Sarco Clean Steam Systems,Specialty Ingredients Div,SPIRAXSAR,380 Gewerbestraße,Rio de Janeiro,20000-000,BR,PT,+78-750-3871230,contact@spirax.sarco.clean.steam..com,99.799.763/0001-19,,,2021-12-27
0000000008,ZRAW,Roquette Frères Plant Proteins,,ROQUETTEF,277 Central Way,Berlin,10117,DE,DE,+8-334-1538552,contact@roquette.frères.plant.pro.com,DE924970419,,,2019-07-16
0000000009,ZSRV,Hearthside Food Solutions Co-Packin,Logistics Terminal,HEARTHSIDE,936 Harbor Road,Düsseldorf,40213,DE,DE,+83-569-3396987,contact@hearthside.food.solutions.com,DE524806516,,,2018-12-20
0000000010,ZPKG,Klöckner Pentaplast Food Films,,KLÖCKNERP,552 Supply Chain Park,Hanover,30159,DE,DE,+75-508-7073292,contact@klöckner.pentaplast.food..com,DE560027313,,,2018-06-17
0000000011,ZPKG,Klöckner Pentaplast Food Films,,KLÖCKNERP,774 Logistics Boulevard,Atlanta,30303,US,EN,+88-532-2065818,contact@klöckner.pentaplast.food..com,29-3684052,,,2020-04-25
0000000012,ZRAW,Lactalis Food Ingredients,,LACTALISF,542 Supply Chain Park,Leeds,LS1 1BA,GB,EN,+88-838-2921859,contact@lactalis.food.ingredients.com,GB112327652,,,2023-08-24
0000000013,ZSRV,DB Schenker Dedicated Fleet Logisti,,DBSCHENKE,349 Packaging Avenue,Ahmedabad,380001,IN,EN,+93-996-5418934,contact@db.schenker.dedicated.fle.com,27F8433A1Z5,,,2021-08-12
0000000014,ZPKG,Novelis Aluminum Can Sheet,,NOVELISAL,892 Freight Terminal Drive,Atlanta,30303,US,EN,+20-482-3710343,contact@novelis.aluminum.can.shee.com,74-4337174,,,2022-01-18
0000000015,ZSRV,XPO Logistics Ambient & Reefer,Specialty Ingredients Div,XPOLOGIST,501 Industrial Park West,Marseille,13001,FR,FR,+31-159-5041154,contact@xpo.logistics.ambient.and.com,FR51273847,X,,2022-05-12
0000000016,ZPKG,Avery Dennison Label Solutions,,AVERYDENN,836 Factory Lane,Nuremberg,90402,DE,DE,+99-228-3154051,contact@avery.dennison.label.solu.com,DE671988889,X,,2023-05-26
0000000017,ZSRV,KDC/One FMCG Custom Manufacturing,,KDC/ONEFM,272 Route Nationale,Amsterdam,1012,NL,FR,+97-847-4374754,contact@kdc.one.fmcg.custom.manuf.com,NL82383095,X,,2023-12-30
0000000018,ZRAW,Ingredion Modified Food Starches,Distribution Hub,INGREDION,449 Zone Industrielle,New York,10001,US,EN,+3-702-4860684,contact@ingredion.modified.food.s.com,18-6672134,X,,2022-08-07
0000000019,ZRAW,Symrise Taste & Nutrition Solutions,,SYMRISETA,235 Factory Lane,Frankfurt,60311,DE,DE,+10-626-4993055,contact@symrise.taste.and.nutriti.com,DE454794895,X,,2019-02-14
0000000020,ZSRV,Krones Bottling & Canning Machinery,Logistics Terminal,KRONESBOT,136 Avenida Industrial,Philadelphia,19102,US,EN,+13-199-8231838,contact@krones.bottling.and.canni.com,62-4194548,X,,2019-12-22
0000000021,ZSRV,Nutra-Blend Contract Manufacturing,Specialty Ingredients Div,NUTRA-BLEN,690 Packaging Avenue,Chicago,60601,US,EN,+25-294-9997381,contact@nutra-blend.contract.manu.com,23-5171761,X,,2021-01-11
0000000022,ZPKG,Klöckner Pentaplast Food Films,,KLÖCKNERP,474 Central Way,Minneapolis,55401,US,EN,+71-200-1848731,contact@klöckner.pentaplast.food..com,19-8434500,X,,2023-04-25
0000000023,ZSRV,Americold Temperature-Controlled,Logistics Terminal,AMERICOLD,949 Central Way,São Paulo,01000-000,BR,PT,+8-268-7358113,contact@americold.temperature-con.com,71.318.985/0001-61,X,,2016-01-09
0000000024,ZRAW,Fonterra Dairy Commodities,,FONTERRAD,293 Route Nationale,Nuremberg,90402,DE,DE,+72-777-9164991,contact@fonterra.dairy.commoditie.com,DE884374109,X,,2017-09-26
0000000025,ZPKG,Gerresheimer Glass Packaging,,GERRESHEIM,594 Logistics Boulevard,Frankfurt,60311,DE,DE,+7-698-8999183,contact@gerresheimer.glass.packag.com,DE161380746,X,,2021-08-21
0000000026,ZSRV,XPO Logistics Ambient & Reefer,Plant Operations,XPOLOGIST,83 Agri Park Road,Hanover,30159,DE,DE,+31-513-3011363,contact@xpo.logistics.ambient.and.com,DE825003955,X,,2022-05-22
0000000027,ZRAW,Roquette Frères Plant Proteins,,ROQUETTEF,635 Factory Lane,London,EC1A 1BB,GB,EN,+73-635-6307805,contact@roquette.frères.plant.pro.com,GB726713347,X,,2018-12-04
0000000028,ZRAW,Archer Daniels Midland Nutrition,,ARCHERDAN,245 Supply Chain Park,Birmingham,B1 1AA,GB,EN,+83-407-8670955,contact@archer.daniels.midland.nu.com,GB821221887,X,,2019-07-19
0000000029,ZPKG,Alpla Plastic Technologies,,ALPLAPLAS,76 Brewery Street,Hamburg,20095,DE,DE,+45-170-5098412,contact@alpla.plastic.technologie.com,DE242224154,X,,2020-02-22
0000000030,ZRAW,Barentz Food & Nutrition Distributi,,BARENTZFO,721 Freight Terminal Drive,Hanover,30159,DE,DE,+84-641-1131249,contact@barentz.food.and.nutritio.com,DE966616964,X,,2023-06-28
0000000031,ZSRV,HAVI Global Logistics & Supply Chai,,HAVIGLOBA,962 Commerce Way,Hamburg,20095,DE,DE,+96-666-3607983,contact@havi.global.logistics.and.com,DE214929002,X,,2019-01-20
0000000032,ZRAW,Barentz Food & Nutrition Distributi,,BARENTZFO,352 Brewery Street,Glasgow,G1 1AA,GB,EN,+65-600-5213115,contact@barentz.food.and.nutritio.com,GB383450553,X,,2016-07-27
