LIFNR,BUKRS,AKONT,ZTERM,ZWELS,HBKID,SPERR,LOEVM
0000000001,1000,,0014,T,HSBC,,
0000000002,1000,,Z030,T,BNP1,,
0000000003,3000,,0090,C,BK02,,
0000000004,1000,,0060,C,HSBC,,
0000000005,1000,,0060,T,BK03,,
0000000006,1000,,0001,B,DB01,,
0000000007,5000,,0007,T,BK02,,
0000000007,1000,,0060,C,BK01,,
0000000008,1000,,0030,E,BK01,,
0000000009,1000,,Z030,T,CITI,,
0000000010,1000,,0030,E,CITI,,
0000000011,2000,,0014,C,BK03,,
0000000012,3000,,0001,T,BK03,,
0000000012,1000,,Z060,B,HSBC,,
0000000013,4000,,Z090,U,BK01,,
0000000014,2000,,Z090,T,HSBC,,
0000000014,1000,,0014,C,DB01,,
0000000015,1000,,0001,U,BK02,,
0000000016,1000,,0060,U,CITI,,
0000000017,1000,,0090,B,BNP1,,
0000000018,2000,,Z030,B,CITI,,
0000000019,1000,,0014,C,BNP1,,
0000000020,2000,,Z030,T,HSBC,,
0000000021,2000,,0060,C,DB01,,
0000000022,2000,,Z030,E,CITI,,
0000000023,5000,,0090,B,BK01,,
0000000024,1000,,0030,B,BK03,,
0000000025,1000,,Z060,C,BK01,,
0000000026,1000,,Z030,U,HSBC,,
0000000027,3000,,0090,E,BK01,,
0000000028,3000,,Z030,C,BK03,,
0000000028,1000,,0007,C,BNP1,,
0000000029,1000,,0090,T,BK01,,
0000000030,1000,,0090,C,CITI,,
0000000031,1000,,0030,B,BK01,,
0000000032,3000,211200,0030,B,BK02,,
0000000033,3000,160200,,B,BNP1,,
0000000033,1000,211000,,U,DB01,,
0000000034,4000,160100,,E,CITI,,
0000000035,1000,160200,,T,BK01,,
0000000036,5000,211200,,B,CITI,,
0000000037,4000,160000,,T,BNP1,,
0000000038,4000,211200,,E,BK03,,
0000000039,5000,211000,,B,HSBC,,
0000000039,1000,160000,,T,BK01,,
0000000040,3000,211000,,U,BK03,,
0000000041,4000,211000,,B,DB01,,
0000000042,2000,211200,,E,BK03,,
0000000043,3000,211000,,T,DB01,,
0000000044,2000,211200,,T,BK02,,
0000000045,3000,160000,,T,BK03,,
0000000045,1000,211000,,C,BK01,,
0000000046,5000,160200,,T,BNP1,,
0000000046,1000,160000,,T,BK01,,
0000000047,1000,160200,,U,BK03,,
0000000048,1000,211000,,C,BK02,,
0000000049,2000,160000,,U,DB01,,
0000000050,4000,211200,,E,BNP1,,
0000000050,1000,160000,,B,BK02,,
0000000051,4000,211000,,U,DB01,,
0000000052,1000,160100,,U,DB01,,
0000000053,4000,160000,,B,DB01,,
0000000054,4000,160100,,T,CITI,,
0000000055,2000,160000,,E,DB01,,
0000000055,1000,211000,,E,BK01,,
0000000056,4000,211200,Z090,B,DB01,,
0000000057,4000,160200,Z060,C,DB01,,
0000000058,1000,160100,0030,U,CITI,,
0000000059,3000,211200,Z090,C,DB01,,
0000000060,4000,160000,0060,E,BK02,,
0000000061,5000,211200,0007,C,CITI,,
0000000062,3000,160000,0030,T,CITI,,
0000000063,5000,160000,Z060,B,CITI,,
0000000063,1000,160200,0060,T,HSBC,,
0000000064,2000,211000,0030,C,CITI,,
0000000064,1000,211200,Z030,B,BK03,,
0000000065,1000,160200,0090,T,BK01,,
0000000066,1000,211000,0030,U,BK02,,
0000000067,1000,211200,0060,B,HSBC,,
0000000068,4000,211000,0007,T,BNP1,,
0000000069,2000,160000,0030,T,BK01,,
0000000070,3000,211200,0060,C,BK01,,
0000000071,2000,160200,0030,B,BNP1,,
0000000072,4000,211000,Z030,T,BK02,,
0000000073,1000,160200,Z060,C,BK02,,
0000000074,1000,160200,0060,B,BK03,,
0000000075,1000,160000,0014,B,BNP1,,
0000000076,2000,160200,0030,C,BK03,,
0000000077,1000,160100,0014,U,CITI,,
0000000078,3000,160000,Z060,E,BK03,,
0000000078,1000,160000,0014,U,BK01,,
0000000079,3000,160000,0090,E,HSBC,,
0000000079,1000,160000,Z060,C,CITI,,
0000000080,2000,160000,0060,C,HSBC,,
0000000080,1000,211200,0014,C,DB01,,
0000000081,4000,160200,0090,E,CITI,,
0000000081,1000,160200,Z090,U,BNP1,,
0000000082,5000,160200,Z060,T,DB01,,
0000000083,2000,160200,Z090,B,CITI,,
0000000084,1000,211200,0001,C,CITI,,
0000000085,1000,160100,0090,E,BK01,,
0000000086,1000,211000,0090,C,BNP1,,
0000000087,2000,211000,0007,U,BNP1,,
0000000087,1000,211200,Z060,B,BK02,,
0000000088,1000,160200,0090,E,HSBC,,
0000000089,2000,160200,0060,C,BK01,,
0000000090,2000,160200,0007,E,DB01,,
0000000091,5000,160200,0060,T,BK01,,
0000000092,1000,160100,Z060,C,HSBC,,
0000000093,3000,211200,Z090,C,BK03,,
0000000094,2000,160000,0060,T,CITI,,
0000000095,3000,160200,0007,T,CITI,,
0000000095,1000,160200,0001,E,BK03,,
0000000096,1000,160000,0001,U,BK02,,
0000000097,1000,160200,Z090,B,BK02,,
0000000098,3000,160200,0014,C,CITI,,
0000000099,4000,160000,0060,C,BK01,,
0000000100,1000,160200,0030,E,CITI,,
0000000101,4000,160000,0060,U,HSBC,,
0000000102,4000,211200,Z030,U,DB01,,
0000000103,1000,160100,0060,C,CITI,,
0000000104,1000,160200,0060,T,BK03,,
0000000105,3000,211000,Z090,C,CITI,,
0000000106,3000,211000,0007,C,HSBC,,
0000000107,5000,160200,Z090,U,CITI,,
0000000108,5000,211000,Z030,E,CITI,,
0000000109,1000,211200,0001,E,BK01,,
0000000110,1000,211200,0060,C,HSBC,,
0000000111,1000,160100,Z090,B,BK03,,
0000000112,1000,211000,0014,E,BNP1,,
0000000113,3000,211200,Z060,T,BK01,,
0000000113,1000,160000,0060,T,BK03,,
0000000114,3000,160200,Z060,U,DB01,,
0000000115,1000,211200,Z090,T,BNP1,,
0000000116,1000,160100,Z090,E,BK02,,
0000000117,5000,160100,0060,U,BNP1,,
0000000118,5000,160000,Z060,B,BNP1,,
0000000119,2000,160000,0001,C,HSBC,,
0000000120,2000,211200,0007,C,BK02,,
0000000121,2000,160000,Z090,E,CITI,,
0000000121,1000,160000,0007,U,CITI,,
0000000122,1000,160100,0030,B,BK03,,
0000000123,1000,211000,0007,E,BK02,,
0000000124,2000,160100,0014,C,BK02,,
0000000125,2000,211200,0030,E,CITI,,
0000000126,1000,160000,Z060,U,BNP1,,
0000000127,1000,211000,0007,E,CITI,,
0000000128,2000,160100,0001,U,CITI,,
0000000129,2000,211000,0001,B,BK03,,
0000000129,1000,160000,Z060,T,BK03,,
0000000130,3000,211000,Z060,U,BK01,,
0000000131,3000,160200,Z090,B,BK02,,
0000000132,1000,211200,Z030,B,BK01,,
0000000133,1000,160100,0090,B,BK03,,
0000000134,1000,160100,0060,U,CITI,,
0000000135,1000,211000,Z030,E,HSBC,,
0000000136,3000,211200,Z090,B,BK03,,
0000000137,2000,160200,0090,B,HSBC,,
0000000137,1000,211000,0007,T,BK01,,
0000000138,1000,160100,0030,T,BNP1,,
0000000139,1000,211000,0090,C,DB01,,
0000000140,3000,160100,0007,C,BNP1,,
0000000141,4000,211000,0007,T,HSBC,,
0000000142,3000,160000,0007,E,DB01,,
0000000143,1000,160000,0014,U,BK01,,
0000000144,2000,211000,0014,B,HSBC,,
0000000145,3000,160200,Z060,E,BNP1,,
0000000145,1000,160200,0030,C,BNP1,,
0000000146,1000,211200,0030,T,HSBC,,
0000000147,2000,160000,0030,T,DB01,,
0000000147,1000,160100,0001,U,DB01,,
0000000148,1000,211200,0007,U,BK02,,
0000000149,1000,211200,Z060,C,DB01,,
0000000150,1000,211000,Z090,U,BK03,,
0000000151,1000,211200,0014,T,CITI,,
0000000152,1000,211000,0007,B,BK01,,
0000000153,3000,211200,0060,T,BK01,,
0000000153,1000,211000,0030,T,HSBC,,
0000000154,4000,160000,0030,U,DB01,,
0000000155,1000,160200,0007,C,BK03,,
