LIFNR,BANKS,BANKL,BANKN,BKONT,KOINH,IBAN
0000000001,DE,43083240,991706020898,01,Spirax Sarco Clean Steam Systems,DE57972781995106913770
0000000002,DE,35292050,40398878896,01,Nutra-Blend Contract Manufacturing,DE82569855532773516308
0000000003,GB,15427468,19047431965,01,TreeHouse Private Brands Co-Packing,GB23968851081278801577
0000000004,DE,88769634,386470215047,01,Sonoco Products Industrial,DE60128508959064613671
0000000005,CH,31126481,950694918755,01,Graphic Packaging International,CH6744606701411174769
0000000006,DE,68738639,275587577529,01,Huhtamaki Foodservice Packaging,DE16705435648871721276
0000000007,BR,93932840,153577924557,01,Spirax Sarco Clean Steam Systems,BR985315308189337870975375872
0000000008,DE,70899191,156128421976,01,Roquette Frères Plant Proteins,DE24333392098709943124
0000000009,DE,18094532,658844471997,01,Hearthside Food Solutions Co-Packin,DE64704541859139186078
0000000010,DE,14346370,66496951802,01,Klöckner Pentaplast Food Films,DE16944963830469341241
0000000011,US,43702011,479724553288,01,Klöckner Pentaplast Food Films,US000171287424294400
0000000012,GB,23076608,803352874327,01,Lactalis Food Ingredients,GB64107974104242008352
0000000013,IN,50297070,882325118161,01,DB Schenker Dedicated Fleet Logisti,IN411043864754253987
0000000014,US,91465153,174527759137,01,Novelis Aluminum Can Sheet,US894243805586409443
0000000015,FR,54336376,647937341583,01,XPO Logistics Ambient & Reefer,FR0014449072275856765367312
0000000016,DE,,41810075025,01,Avery Dennison Label Solutions,DE82889369661568352430
0000000017,NL,,316615480289,01,KDC/One FMCG Custom Manufacturing,NL9452874265525168
0000000018,US,,905998945082,01,Ingredion Modified Food Starches,US914960458510016086
0000000019,DE,,881353360188,01,Symrise Taste & Nutrition Solutions,DE03765595980408552608
0000000020,US,,602168755148,01,Krones Bottling & Canning Machinery,US983174835954540182
0000000021,US,,522489721785,01,Nutra-Blend Contract Manufacturing,US368115247695482165
0000000022,US,,508452262988,01,Klöckner Pentaplast Food Films,US739686003727743086
0000000023,BR,,312331471030,01,Americold Temperature-Controlled,BR685273747863206468357942514
0000000024,DE,,372775947459,01,Fonterra Dairy Commodities,DE11937845155725556812
0000000025,DE,,829875100086,01,Gerresheimer Glass Packaging,DE56008009189269618242
0000000026,DE,,450767748810,01,XPO Logistics Ambient & Reefer,DE83902503801923110301
0000000027,GB,,32239874553,01,Roquette Frères Plant Proteins,GB74847890575550590481
0000000028,GB,,486673267416,01,Archer Daniels Midland Nutrition,GB25978696956582936493
0000000029,DE,,983210440825,01,Alpla Plastic Technologies,DE83598011518792980144
0000000030,DE,,916803288940,01,Barentz Food & Nutrition Distributi,DE57534296153530065829
0000000031,DE,,53308095495,01,HAVI Global Logistics & Supply Chai,DE23387754407207343738
0000000032,GB,,861928862867,01,Barentz Food & Nutrition Distributi,GB97915642724316732166
0000000033,GB,,9820570349,01,Sealed Air Protective Packaging,GB66111297486447631170
0000000034,IN,,554414210499,01,HAVI Global Logistics & Supply Chai,IN827690951594451058
0000000035,DE,,987921609059,01,SIG Combibloc Aseptic Systems,DE08494218079052742353
0000000036,BR,81442747,508012701742,01,NFI Dedicated Fleet & Crossdock,BR596325315758379064336311819
0000000037,IN,30691518,786698359491,01,Cott Bottling & Beverage Services,IN925774979493266611
0000000038,IN,35719895,919554389904,01,Cargill Food Ingredients & Starches,IN531047608632036067
0000000039,BR,40808928,792669845597,01,Olam Agri Commodities & Nuts,BR582832309761084550492263205
0000000040,GB,81817250,399912302642,01,Sonoco Products Industrial,GB64647166973615952536
0000000041,IN,87749608,583338835286,01,,IN518609351424130075
0000000042,US,61182388,278929363537,01,,US112524527116509182
0000000043,GB,33139468,952408618845,01,,GB50591180280634195665
0000000044,US,74538117,424977120901,01,,US158130078232957727
0000000045,GB,83864238,154079139293,01,,GB13858701708413899540
0000000046,BR,12623306,760792339209,01,,BR048320933877899043389260635
0000000047,DE,36125123,462407892117,01,,DE52155616755556156670
0000000048,CH,14111743,883061710275,01,,CH5140436200479495583
0000000049,US,50631151,91098869868,01,,US509831043394476126
0000000050,IN,20016439,594120260400,01,,IN685265941193548892
0000000051,IN,59182925,113235614434,01,,IN832483718183870703
0000000052,NL,55925432,303408684888,01,,NL9421841153770059
0000000053,IN,79351663,177878642678,01,,IN672143997340356905
0000000054,IN,10137666,196895255444,01,,IN881801087287051004
0000000055,US,52132300,16807564564,01,,US049868537626754528
0000000056,IN,56253278,654399838941,01,,IN297479751488097020
0000000057,IN,57217126,618507562319,01,,IN646082873278394089
0000000058,DE,68441314,817210936889,01,,DE41599895593297684103
0000000059,GB,69796155,489837305152,01,,GB97343091570099306309
0000000060,IN,23652183,258223371805,01,,IN001790903296071073
0000000061,BR,41381157,900001625197,01,Fuchs Food Technology & Blending,BR929698619793908760338993765
0000000062,GB,69076543,978679367895,01,DSM-Firmenich Nutritional Products,GB60294778459753027003
0000000063,BR,93488889,848414495604,01,Roquette Frères Plant Proteins,BR728121020692026026861537963
0000000064,US,16134368,427753731501,01,Mauser Packaging Solutions,US009556349805740624
0000000065,DE,45843633,751306684083,01,Avery Dennison Label Solutions,DE18218369803478301304
0000000066,DE,60933338,281517643970,01,Sealed Air Protective Packaging,DE13242566572230075688
0000000067,CH,16227011,268817708684,01,Nutra-Blend Contract Manufacturing,CH0759521903219269947
0000000068,IN,85507244,870973472445,01,Graphic Packaging International,IN948805541092687813
0000000069,US,79881903,83405555868,01,Kerry Taste & Nutrition Ingredients,US298619188270171666
0000000070,GB,19063074,998946696338,01,Amcor Flexibles Packaging,GB97597654752350537647
0000000071,US,22642823,612524829874,01,Huhtamaki Foodservice Packaging,DE12345
0000000072,IN,51740604,60555015738,01,Festo Pneumatics & Factory Automati,GB99MIDL40051512345678INVALID
0000000073,NL,97890289,805066937124,01,Constantia Flexibles Food Pkg,de89370400440532013000
0000000074,DE,30034371,938243543592,01,Alpla Plastic Technologies,99370400440532013000
0000000075,DE,40978675,915548443362,01,Del Monte Toll Manufacturing,FR76
0000000076,US,81254303,130786050890,01,Silgan Closures & Metal Containers,US902952631089400489
0000000077,FR,66060603,434394030912,01,Bollore Logistics Food Cargo,FR4783790533327264496612406
0000000078,GB,60590529,499934646257,01,Avery Dennison Label Solutions,GB18348092769795361558
0000000079,GB,15273520,810746509217,01,DSM-Firmenich Nutritional Products,GB49967912380662232199
0000000080,US,71865387,976759270448,01,KDC/One FMCG Custom Manufacturing,US305222882088543734
0000000081,CH,62399178,760849025149,01,Hearthside Food Solutions Co-Packin,IN523458727969323483
0000000082,CH,89812200,554092663085,01,Bühler Food Processing Machinery,BR384911206038695813173334190
0000000083,CH,47068773,263580165168,01,DSM-Firmenich Nutritional Products,US379239299652898333
0000000084,CH,17494253,625715041358,01,Cott Bottling & Beverage Services,DE46419906745319074953
0000000085,CH,38066975,895911188805,01,Menasha In-Store Merchandising,DE92849728660461680578
0000000086,CH,29808913,994093352173,01,Huhtamaki Foodservice Packaging,DE44543141960778890936
0000000087,CH,98353556,52471246805,01,TreeHouse Private Brands Co-Packing,US094670148146257723
0000000088,CH,94227868,98470536560,01,Cott Bottling & Beverage Services,DE41013375390656421368
0000000089,CH,98486242,235861204937,01,SIG Combibloc Aseptic Systems,US911682686128687231
0000000090,CH,66804545,97322464831,01,DS Smith Corrugated Packaging,US594009016715183041
0000000091,CH,23391799,711190970429,01,Avery Dennison Label Solutions,BR885855979476975242421999911
0000000092,CH,78230692,696857232465,01,Stora Enso Brand Activation Display,FR1621567189617301893303867
0000000093,CH,42835306,937589212097,01,Greif Industrial Drum Packaging 93,GB65264124389763062340
0000000094,CH,48496836,441938394476,01,Roquette Frères Plant Proteins 94,US284307703579634705
0000000095,CH,55932113,470568552497,01,Crest Foods Contract Blending 95,GB25653954480880196084
0000000096,NL,28247605,729980350164,01,Pacmoore Dry Blending & Sifting 96,NL0395749456455214
0000000097,DE,74944298,87892875819,01,Sonoco Products Industrial 97,DE79143743556642626596
0000000098,GB,37248252,662920122355,01,Amcor Flexibles Packaging 98,GB07319676110108743954
0000000099,IN,48130237,7356285077,01,SKF Food Line Bearings & Lubricatio,IN704533644559808336
0000000100,DE,14533166,942701350475,01,Pacmoore Dry Blending & Sifting 100,DE30232153241408535330
0000000101,IN,37040044,0532013000,01,Tetra Pak Processing & Packaging Sy,DE89370400440532013000
0000000102,IN,37040044,0532013000,01,Tetra Pak Packaging GmbH,DE89370400440532013000
0000000103,DE,12000000,1234567890,01,Amcor Flexibles Packaging NA,US120000001234567890
0000000104,DE,12000000,1234567890,01,Amcor Packaging Solutions,US120000001234567890
0000000105,GB,601613,31926819,01,Cargill Food Ingredients UK,GB29NWBK60161331926819
0000000106,GB,601613,31926819,01,Cargill Agricultural Starches,GB29NWBK60161331926819
0000000107,BR,83917738,54132982939,01,Kerry Ingredients India Pvt,BR821816181414602455683880796
0000000108,BR,28907022,948336988818,01,Kerry Taste & Flavours India,BR279180648029380278918623177
0000000109,DE,31405453,220897903165,01,Roquette Freres Nutrition,DE19621149282224066449
0000000110,DE,11436957,943477056049,01,Roquette Frères Ingrédients,DE47638271620997524227
0000000111,DE,30006,12345678901,01,Ball Beverage Packaging Corp,FR7630006000011234567890189
0000000112,DE,30006,12345678901,01,Ball Beverage Can Division,FR7630006000011234567890189
0000000113,GB,50010517,5407324931,01,Symrise Taste & Nutrition Solutions,DE44500105175407324931
0000000114,GB,50010517,5407324931,01,Symrise Flavourings GmbH,DE44500105175407324931
0000000115,DE,93137998,278528977754,01,Refresco Beverages Bottling,DE61387411432241321333
0000000116,DE,44986948,969906407951,01,Refresco Bottling Europe BV,DE68117682238838459048
0000000117,BR,11385716,412716344102,01,Sensient Technologies Flavors 117,BR635368164693629532194713148
0000000118,BR,56880867,93525350668,01,Sealed Air Protective Packaging 118,BR160371513894053652268616271
0000000119,US,67910178,84223509214,01,Graphic Packaging International 119,US325650216702587180
0000000120,US,30379621,193538383228,01,Ecolab Food & Beverage Hygiene,US732687585592071350
0000000121,US,51514064,340254406440,01,Ecolab F&B Hygiene Inc,US786035594523373493
0000000122,DE,51713824,820372689921,01,Smurfit Kappa Corrugated PKG,DE14121674101302657179
0000000123,DE,86282908,949210605531,01,Smurfit Kappa Corrugated BV,DE71461755655651702447
0000000124,US,32560859,4033236374,01,Lineage Logistics Refrigerated,US031135103082885036
0000000125,US,66093594,893676530975,01,Lineage Cold Storage Logistics,US665603614422892863
0000000126,CH,37359832,895274425789,01,Givaudan Fragrances & Flavours,CH4903165884314370015
0000000127,CH,31052222,989706303728,01,Givaudan Flavours & Fragrances,CH2605593177047790943
0000000128,US,97327774,465043078950,01,Berry Global Consumer Packaging,US778169588201691963
0000000129,US,89647594,638454747893,01,Berry Global Consumer Pkg Corp,US865261698133933185
0000000130,GB,22643416,353781594924,01,Diversey Hygiene Solutions Ltd,GB43559322467785646164
0000000131,GB,50871016,838788901280,01,Diversey Hygiene CIP Solutions,GB46455536236540588814
0000000132,DE,48785602,507114203223,01,Huhtamaki Foodservice Pkg,DE56275592502066530918
0000000133,DE,14214307,439791152214,01,Huhtamaki Foodservice Packaging,DE14326081525708516046
0000000134,NL,82592611,261064844908,01,Refresco Bottling Europe BV,NL6728954809430003
0000000135,NL,62395558,747292539349,01,Refresco Beverages Bottling BV,NL4585609325714589
0000000136,GB,67981146,625697948775,01,Geodis Contract Logistics & Haulage,GB07996518806236022926
0000000137,US,15807045,530970594608,01,Avery Dennison Label Solutions 137,US234949193713358197
0000000138,FR,34727844,941335590167,01,Agrana Fruit Preparations 138,FR1632664044356356308220892
0000000139,DE,56667256,113606145624,01,Kalsec Natural Herb Extracts & Colo,DE18807369907496641755
0000000140,GB,43068667,381609202096,01,Avery Dennison Label Solutions 140,GB57331618181154640956
0000000141,IN,58757651,659455053058,01,Festo Pneumatics & Factory Automati,IN043476314577174338
0000000142,GB,86648532,222016707785,01,Endress+Hauser Sanitary Instrumenta,GB28602501548028561955
0000000143,CH,33499185,76405952235,01,Symrise Taste & Nutrition Solutions,CH3151251631648232870
0000000144,US,78703915,952612389086,01,Bühler Food Processing Machinery 14,US144284743185032355
0000000145,GB,60475340,875580346403,01,Sudzucker Industrial Sugars 145,GB49365761554552971754
0000000146,DE,80070676,994385173639,01,DB Schenker Dedicated Fleet Logisti,DE26375569864319374657
0000000147,US,26967591,571996350701,01,Lineage Logistics Refrigerated Ware,US780145768888256940
0000000148,FR,11931219,365755381543,01,HAVI Global Logistics & Supply Chai,FR7592302947199112053457569
0000000149,NL,82312564,301990390576,01,Sealed Air Protective Packaging 149,NL9308769976114035
0000000150,DE,67072792,468827644863,01,Agrana Fruit Preparations 150,DE52708357747761607125
0000000151,DE,11400593,588799126680,01,Berry Global Consumer Packaging 151,DE15418324563515120124
0000000152,DE,63748955,993436713504,01,Smurfit Kappa Corrugated 152,DE36743490655522676599
0000000153,GB,67740709,400819998411,01,Fuchs Food Technology & Blending 15,GB62603335537132966894
0000000154,IN,34388806,33027295120,01,Bunge Refined Edible Oils 154,IN854730925320740194
0000000155,DE,53396592,982978155469,01,Sudzucker Industrial Sugars 155,DE25894299065190144951
0000000156,IN,95061828,745142439051,01,Tate & Lyle Sweeteners & Starches 1,IN217232047446866995
0000000157,US,33237546,591582296891,01,Ball Beverage Packaging Corp 157,US726423917875814480
0000000158,IN,67018138,610052321788,01,Huhtamaki Foodservice Packaging 158,IN997788770325504547
0000000159,IN,78715354,805114277049,01,Berry Global Consumer Packaging 159,IN247480766191889111
0000000160,IN,45501578,184771017575,01,Hearthside Food Solutions Co-Packin,IN990882006412207457
0000000161,DE,23382149,239649970134,01,Nutra-Blend Contract Manufacturing ,DE13786046061754574798
0000000162,GB,87086107,226085809244,01,TreeHouse Private Brands Co-Packing,GB13987108661056035030
0000000163,DE,11610506,598641732641,01,De-Roose Private Label Co-Packing 1,DE36191057284151950460
0000000164,BR,22855332,269413692647,01,DS Smith Corrugated Packaging 164,BR195072417610285740311828724
0000000165,US,25015562,546455665191,01,Agrana Fruit Preparations 165,US118940220987279116
0000000166,IN,12066517,375280933849,01,Mondi Industrial Bags & Films 166,IN192099602748830646
0000000167,DE,52386800,246218466447,01,Pall Food & Beverage Sterile Filter,DE94048709198351015195
0000000168,NL,22202914,886496540728,01,Stora Enso Brand Activation Display,NL4897788257954230
0000000169,FR,11298102,578673959822,01,Menasha In-Store Merchandising 169,FR2407469910281404779792671
0000000170,DE,36491961,360855651879,01,DHL Supply Chain Cold-Chain 170,DE92244951553418191767
0000000171,US,11952172,994680539565,01,Ingredion Modified Food Starches 17,US387005377945605750
0000000172,GB,43839318,443893209133,01,Crest Foods Contract Blending 172,GB70983768149755777635
0000000173,DE,55209685,599289810058,01,DSV Road Freight & FMCG Logistics 1,DE99985422098956210890
0000000174,DE,22901181,969615590424,01,Tate & Lyle Sweeteners & Starches 1,DE00666315810686027244
0000000175,GB,60339944,636412277884,01,Greif Industrial Drum Packaging 175,GB62578410018787505965
0000000176,DE,90055976,846775450362,01,Avery Dennison Label Solutions 176,DE20930384694739419340
0000000177,US,21702433,680289752739,01,Klüber Food-Grade Lubricants 177,US079535696793068104
0000000178,DE,33205311,62070411738,01,Ardagh Glass Packaging 178,DE24012100892959600099
0000000179,DE,60232496,546510360467,01,Hearthside Food Solutions Co-Packin,DE74397792308689426391
0000000180,DE,21826271,260127816457,01,DS Smith Corrugated Packaging 180,DE04762741254441977149
0000000181,IN,62914143,559362040798,01,Geodis Contract Logistics & Haulage,IN348997982098845587
0000000182,US,49386435,514133937652,01,Refresco Beverages Bottling 182,US865630915543128833
0000000183,DE,66274290,816522828764,01,De-Roose Private Label Co-Packing 1,DE75913686712703686016
0000000184,DE,92202870,853521190968,01,NFI Dedicated Fleet & Crossdock 184,DE15540622675887528594
0000000185,GB,12454378,930204649784,01,Stora Enso Brand Activation Display,GB01008317072070694821
0000000186,GB,96148994,558797259921,01,Cargill Food Ingredients & Starches,GB39206148690029294116
0000000187,DE,23274325,905475848609,01,Del Monte Toll Manufacturing 187,DE46471639796670506868
0000000188,US,54111562,404157137000,01,Sensient Technologies Flavors 188,US960933114158474750
0000000189,CH,40426837,123268906781,01,Silgan Closures & Metal Containers ,CH9106169186859241132
0000000190,GB,70050178,464333799058,01,Crown Cork & Seal Europe 190,GB51912075749012817231
0000000191,US,26313047,642628184024,01,Smurfit Kappa Corrugated 191,US096758260863462893
