LIFNR,EKORG,WAERS,ZTERM,INCO1,MINBW,SPERM,LOEVM
0000000001,EK01,EUR,0060,FCA,2500,,
0000000002,EK01,EUR,0060,FCA,500,,
0000000003,EK03,GBP,Z060,EXW,2500,,
0000000004,EK01,EUR,0030,DAP,2500,,
0000000005,EK01,EUR,0007,CIF,2500,,
0000000006,EK01,EUR,0001,CIF,1000,,
0000000007,EK04,INR,0090,FOB,500,,
0000000008,EK01,EUR,0001,CIF,500,,
0000000009,EK01,EUR,Z060,CIF,0,,
0000000010,EK01,EUR,Z030,FOB,250,,
0000000011,,USD,0030,FOB,250,,
0000000012,,GBP,0060,CIF,100,,
0000000013,,INR,0014,FCA,1000,,
0000000014,,USD,Z090,CIP,1000,,
0000000015,,EUR,0030,DDP,0,,
0000000016,,EUR,Z030,FOB,0,,
0000000017,,EUR,0030,EXW,2500,,
0000000018,,USD,0014,EXW,1000,,
0000000019,,EUR,Z090,EXW,250,,
0000000020,,USD,0007,CIP,250,,
0000000021,,USD,Z060,FCA,250,,
0000000022,,USD,0014,DDP,500,,
0000000023,,INR,0060,DDP,100,,
0000000024,,EUR,0030,CIF,250,,
0000000025,,EUR,0014,CIP,0,,
0000000026,EK01,EUR,0030,DDP,0,,
0000000027,EK03,GBP,0001,CIP,2500,,
0000000028,EK03,GBP,0014,FOB,1000,,
0000000029,EK01,EUR,Z060,CIF,100,,
0000000030,EK01,EUR,0030,EXW,100,,
0000000031,EK01,,0007,EXW,0,,
0000000032,EK03,,0060,DDP,100,,
0000000033,EK03,,Z090,EXW,500,,
0000000034,EK04,,Z090,DDP,250,,
0000000035,EK01,,0014,FCA,1000,,
0000000036,EK04,,0014,FCA,0,,
0000000037,EK04,,0090,DDP,100,,
0000000038,EK04,,0060,CIP,0,,
0000000039,EK04,,Z090,CIP,0,,
0000000040,EK03,,Z030,FCA,100,,
0000000041,EK04,,0001,CIF,100,,
0000000042,EK02,,0014,FCA,1000,,
0000000043,EK03,,0090,CIP,250,,
0000000044,EK02,,Z060,FCA,500,,
0000000045,EK03,,0014,DAP,0,,
0000000046,EK04,,0030,FCA,2500,,
0000000047,EK01,,0001,EXW,500,,
0000000048,EK01,,0014,EXW,250,,
0000000049,EK02,,Z060,CIP,500,,
0000000050,EK04,,Z030,CIP,1000,,
0000000051,EK04,INR,Z030,CIP,500,,
0000000052,EK01,EUR,Z090,FOB,1000,,
0000000053,EK04,INR,Z030,DDP,250,,
