LIFNR,KTOKK,NAME1,NAME2,SORTL,STRAS,ORT01,PSTLZ,LAND1,SPRAS,TELF1,SMTP_ADDR,STCD1,LOEVM,SPERM,ERDAT
0000000001,ZCRO,Wuxi AppTec Laboratory Testing Divi,,WUXIAPPTE,102 Pharma City Industrial Zone,Boston,02210,US,EN,+57-971-8571418,regulatory@wuxi.apptec.laboratory.te.com,17-8176405,,,2016-05-27
0000000002,ZCLD,World Courier Biopharma Cold-Chain,,WORLDCOUR,254 Bio-Campus Drive,Hyderabad,500072,IN,EN,+42-587-3154360,regulatory@world.courier.biopharma.c.com,36AAACD9568G1Z7,,,2020-10-09
0000000003,ZMRO,Steris Life Sciences GMP Decontamin,,STERISLIF,337 Genome Valley Phase 2,San Diego,92121,US,EN,+61-994-9259573,regulatory@steris.life.sciences.gmp..com,42-8498308,,,2019-01-14
0000000004,ZAPI,Evonik Health Care Biomaterials,API Custom Synthesis Wing,EVONIKHEA,321 Pashamylaram Industrial Area,London,WC1E 6BT,GB,EN,+23-318-4383470,regulatory@evonik.health.care.biomat.com,GB112477920,,,2017-05-26
0000000005,ZCRO,Charles River Laboratories Preclini,,CHARLESRI,335 Pharma City Industrial Zone,Hyderabad,500072,IN,EN,+25-405-5899881,regulatory@charles.river.laboratorie.com,36AAACD4895J1Z6,,,2019-10-09
0000000006,ZMRO,Pall Medical Biopharmaceutical Filt,,PALLMEDIC,179 Genome Valley Phase 2,Milan,20121,IT,IT,+51-633-6808054,regulatory@pall.medical.biopharmaceu.com,IT61534438,,,2019-12-02
0000000007,ZCRO,WuXi Biologics Contract Development,Sterile Fill-Finish Unit,WUXIBIOLO,179 Life Sciences Way,Visakhapatnam,530017,IN,EN,+86-616-7541735,regulatory@wuxi.biologics.contract.d.com,36AAACD6314A1Z2,,,2022-05-24
0000000008,ZPKG,SGD Pharma Type I Molded Vials,,SGDPHARMA,129 Bio-Campus Drive,Hyderabad,500090,IN,EN,+72-289-8831131,regulatory@sgd.pharma.type.i.molded..com,36AAACD5952U1Z3,,,2017-07-01
0000000009,ZCRO,Medpace Clinical Pharmacology Unit,,MEDPACECL,89 Life Sciences Way,Hyderabad,500078,IN,EN,+4-611-2698653,regulatory@medpace.clinical.pharmaco.com,36AAACD8279O1Z3,,,2018-02-08
0000000010,ZCLD,DHL LifeConEx Validated Temperature,,DHLLIFECO,7 Genome Valley Phase 2,Darmstadt,64293,DE,DE,+64-492-1105515,regulatory@dhl.lifeconex.validated.t.com,DE193928272,,,2020-02-12
0000000011,ZEXC,FMC BioPolymer Microcrystalline Cel,,FMCBIOPOL,106 Innovation Parkway,Basel,4058,CH,DE,+97-537-9381797,regulatory@fmc.biopolymer.microcryst.com,CHE-137.653.360,,,2018-09-24
0000000012,ZPKG,Schott Pharma Borosilicate Glass Vi,Clinical Trial Packaging Hub,SCHOTTPHA,310 Jeedimetla Industrial Estate,Leverkusen,51373,DE,DE,+80-908-4928756,regulatory@schott.pharma.borosilicat.com,DE604409917,,,2016-12-05
0000000013,ZCLD,Cryoport Systems Liquid Nitrogen Co,,CRYOPORTS,214 Genome Valley Phase 2,Hyderabad,500078,IN,EN,+83-484-7596549,regulatory@cryoport.systems.liquid.n.com,36AAACD9292U1Z9,,,2022-04-30
0000000014,ZMRO,Syntegon Pharma Technology Packagin,Quality Control Testing Lab,SYNTEGONP,79 Novartis Campus Basel,Oxford,OX4 4GA,GB,EN,+69-852-8534826,regulatory@syntegon.pharma.technolog.com,GB691898399,,,2021-07-24
0000000015,ZCRO,Wuxi AppTec Laboratory Testing Divi,,WUXIAPPTE,129 Novartis Campus Basel,Basel,4058,CH,DE,+71-960-3014664,regulatory@wuxi.apptec.laboratory.te.com,CHE-407.777.603,,,2022-11-19
0000000016,ZPKG,Constantia Flexibles Coldform Foils,,CONSTANTIA,311 Innovation Parkway,Ingelheim,55218,DE,DE,+7-705-4369160,regulatory@constantia.flexibles.cold.com,DE259421824,,,2021-04-23
