LIFNR,BUKRS,AKONT,ZTERM,ZWELS,HBKID,SPERR,LOEVM
0000000001,3000,,0060,C,CS01,,
0000000001,1000,,0001,B,BARC,,
0000000002,2000,,Z090,T,CS01,,
0000000002,1000,,0045,B,HDFC,,
0000000003,3000,,0060,C,HDFC,,
0000000004,5000,,Z030,B,CITI,,
0000000005,2000,,0030,T,UBS1,,
0000000006,1000,,0001,E,UBS1,,
0000000007,2000,,0060,E,DB01,,
0000000008,2000,,0001,T,HDFC,,
0000000008,1000,,0090,C,HDFC,,
0000000009,2000,,0045,C,HDFC,,
0000000010,1000,,0001,E,HDFC,,
0000000011,1000,,0001,B,SBI1,,
0000000012,1000,,0001,U,CS01,,
0000000013,2000,,0001,E,DB01,,
0000000013,1000,,0001,E,SBI1,,
0000000014,5000,,0045,B,CS01,,
0000000015,1000,,0060,E,BARC,,
0000000016,1000,,0045,C,CITI,,
0000000017,2000,,0060,B,DB01,,
0000000018,2000,,Z030,B,DB01,,
0000000019,2000,,0014,U,CS01,,
0000000020,1000,,0045,T,CITI,,
0000000021,2000,,Z090,C,SBI1,,
0000000022,1000,,Z030,U,DB01,,
0000000023,1000,,0030,T,HDFC,,
0000000024,5000,,Z090,U,CS01,,
0000000025,1000,,0030,U,CITI,,
0000000026,2000,,0014,B,CITI,,
0000000027,2000,,0045,E,BARC,,
0000000028,2000,,0045,C,BARC,,
0000000029,1000,,Z090,E,UBS1,,
0000000030,1000,,0001,E,CS01,,
0000000031,3000,,Z030,E,CITI,,
0000000031,1000,,0060,C,CS01,,
0000000032,5000,,0030,T,BARC,,
0000000033,1000,,0001,E,CS01,,
0000000034,1000,,Z060,C,CITI,,
0000000035,1000,,0014,U,SBI1,,
0000000036,1000,211400,0090,C,CITI,,
0000000037,1000,160000,0060,C,CITI,,
0000000038,1000,211000,Z060,U,CITI,,
0000000039,1000,160000,0090,E,BARC,,
0000000040,1000,211400,0030,T,CS01,,
0000000041,2000,160100,,U,DB01,,
0000000041,1000,211400,,U,HDFC,,
0000000042,4000,160200,,C,DB01,,
0000000042,1000,160000,,T,DB01,,
0000000043,2000,160000,,E,UBS1,,
0000000044,3000,160200,,U,DB01,,
0000000045,1000,160200,,U,UBS1,,
0000000046,3000,160100,,C,SBI1,,
0000000046,1000,160200,,T,HDFC,,
0000000047,2000,160200,,C,CS01,,
0000000048,1000,160100,,C,SBI1,,
0000000049,2000,211400,,B,BARC,,
0000000049,1000,160100,,U,BARC,,
0000000050,3000,211400,,C,DB01,,
0000000050,1000,211000,,U,BARC,,
0000000051,3000,160000,,U,BARC,,
0000000052,1000,211000,,E,CITI,,
0000000053,2000,211400,,E,CS01,,
0000000053,1000,211000,,T,CITI,,
0000000054,1000,160000,,C,BARC,,
0000000055,2000,211400,,B,HDFC,,
0000000055,1000,211000,,U,UBS1,,
0000000056,1000,160100,,C,SBI1,,
0000000057,2000,211400,,C,DB01,,
0000000058,5000,211400,,U,BARC,,
0000000058,1000,160100,,E,UBS1,,
0000000059,2000,160000,,U,CS01,,
0000000059,1000,160200,,T,BARC,,
0000000060,1000,160200,,C,UBS1,,
0000000061,1000,211000,,E,CS01,,
0000000062,2000,211000,Z030,E,UBS1,,
0000000063,1000,160000,Z090,B,HDFC,,
0000000064,1000,211400,0030,U,UBS1,,
0000000065,2000,160200,0045,T,DB01,,
0000000066,1000,160200,0045,T,CS01,,
0000000067,2000,211000,0045,T,BARC,,
0000000068,2000,211000,Z060,E,CITI,,
0000000068,1000,211000,0045,T,CS01,,
0000000069,2000,160000,0014,U,CS01,,
0000000070,1000,160200,Z060,T,BARC,,
0000000071,1000,160100,0060,B,UBS1,,
0000000072,1000,160000,0014,E,SBI1,,
0000000073,1000,211000,Z060,T,CS01,,
0000000074,5000,160100,0045,C,HDFC,,
0000000075,1000,160000,0001,B,DB01,,
0000000076,1000,211000,0014,T,CITI,,
0000000077,3000,160000,0030,E,HDFC,,
0000000078,2000,160200,0090,T,CS01,,
0000000078,1000,160100,0001,U,HDFC,,
0000000079,1000,160100,0014,B,HDFC,,
0000000080,2000,160000,0001,B,HDFC,,
0000000081,2000,160200,0060,C,BARC,,
0000000082,2000,160200,0001,B,UBS1,,
0000000083,2000,160000,Z030,B,CS01,,
0000000084,3000,160200,0060,T,CS01,,
0000000084,1000,211000,0030,U,UBS1,,
0000000085,1000,211400,0045,B,DB01,,
0000000086,1000,160000,0045,U,BARC,,
0000000087,2000,160000,0090,E,DB01,,
0000000088,3000,160200,0001,E,CS01,,
0000000089,1000,211400,0030,U,UBS1,,
0000000090,2000,211400,0014,T,CITI,,
0000000091,2000,160200,0001,C,HDFC,,
0000000092,1000,160200,0045,C,HDFC,,
0000000093,4000,211000,0045,T,CS01,,
0000000094,2000,160100,Z030,E,CS01,,
0000000095,3000,211400,0060,C,CS01,,
0000000096,2000,160100,0060,E,DB01,,
0000000097,2000,160200,0001,B,SBI1,,
0000000098,1000,160000,Z060,E,BARC,,
0000000099,1000,160200,Z060,E,SBI1,,
0000000100,2000,211000,Z090,B,DB01,,
0000000101,1000,211000,0001,E,SBI1,,
0000000102,1000,160200,0090,E,CS01,,
0000000103,1000,211000,0014,B,SBI1,,
0000000104,1000,160200,0030,T,BARC,,
0000000105,3000,160000,Z030,U,BARC,,
0000000105,1000,160200,0014,T,CS01,,
0000000106,3000,160000,0014,T,DB01,,
0000000106,1000,160000,0045,U,BARC,,
0000000107,2000,211400,0045,U,BARC,,
0000000107,1000,160200,Z090,B,BARC,,
0000000108,2000,160200,0030,E,UBS1,,
0000000108,1000,160100,Z090,U,DB01,,
0000000109,2000,160000,Z060,U,CITI,,
0000000110,2000,160200,0045,E,CS01,,
0000000111,1000,211400,Z030,E,UBS1,,
0000000112,1000,211400,Z030,U,HDFC,,
0000000113,4000,160100,Z090,B,CITI,,
0000000113,1000,160000,0060,B,CS01,,
0000000114,4000,160000,Z030,T,BARC,,
0000000114,1000,160000,0045,E,DB01,,
0000000115,1000,160100,Z060,B,HDFC,,
0000000116,1000,160000,Z030,C,BARC,,
0000000117,1000,160000,Z030,B,SBI1,,
0000000118,1000,160000,0014,U,CITI,,
0000000119,2000,160100,0090,E,CITI,,
0000000120,1000,160200,Z030,C,UBS1,,
0000000121,1000,160200,Z030,B,CS01,,
0000000122,1000,160100,0014,C,BARC,,
0000000123,1000,160000,0014,U,DB01,,
0000000124,3000,211400,0014,T,SBI1,,
0000000124,1000,160200,Z090,B,CS01,,
0000000125,3000,160000,Z030,B,CS01,,
0000000126,2000,160100,0060,U,CS01,,
0000000127,2000,160200,Z060,E,CS01,,
0000000128,1000,211000,Z060,E,CS01,,
0000000129,1000,211000,0045,T,BARC,,
0000000130,1000,160200,Z090,T,HDFC,,
0000000131,1000,160200,0060,C,CITI,,
0000000132,3000,211400,0014,T,HDFC,,
0000000133,3000,160100,0060,C,UBS1,,
0000000133,1000,160100,0014,E,BARC,,
0000000134,2000,160100,0090,T,BARC,,
0000000135,2000,160200,0045,B,CS01,,
0000000136,1000,160100,0045,C,DB01,,
0000000137,1000,211400,0030,C,SBI1,,
0000000138,1000,160000,Z090,C,HDFC,,
0000000139,1000,160100,Z030,U,DB01,,
0000000140,1000,160200,0001,E,SBI1,,
0000000141,1000,211400,Z060,E,DB01,,
0000000142,3000,160000,0014,C,SBI1,,
0000000143,2000,211400,0060,E,CS01,,
0000000144,2000,160100,0030,E,CITI,,
0000000145,2000,211400,Z060,C,SBI1,,
0000000146,2000,211400,Z060,E,DB01,,
0000000147,5000,160200,0014,T,CITI,,
0000000148,3000,160000,0045,C,HDFC,,
0000000148,1000,211000,Z090,T,HDFC,,
0000000149,3000,160000,0045,C,DB01,,
0000000149,1000,160100,0030,U,UBS1,,
0000000150,1000,160200,0030,C,CS01,,
0000000151,2000,160100,0001,C,HDFC,,
0000000152,1000,160100,0090,C,SBI1,,
0000000153,2000,160000,Z060,T,UBS1,,
0000000154,1000,160200,0030,B,DB01,,
0000000155,4000,160100,0014,U,SBI1,,
0000000156,3000,160000,0014,U,CS01,,
0000000157,3000,160200,Z060,C,CS01,,
0000000157,1000,211400,Z030,T,UBS1,,
0000000158,2000,160100,Z090,T,CITI,,
0000000159,1000,160100,0045,B,UBS1,,
0000000160,2000,160200,0090,B,UBS1,,
0000000161,3000,211000,Z060,T,DB01,,
0000000162,3000,160000,0060,C,CITI,,
0000000162,1000,211400,0030,E,DB01,,
0000000163,1000,211000,0045,E,DB01,,
0000000164,2000,211000,0030,B,CS01,,
0000000165,1000,160200,0014,E,BARC,,
0000000166,3000,211400,Z030,T,BARC,,
0000000166,1000,160100,0045,B,UBS1,,
0000000167,1000,160100,Z060,U,SBI1,,
0000000168,2000,211000,Z090,U,SBI1,,
0000000169,3000,160200,0014,E,DB01,,
0000000170,2000,160200,Z090,E,DB01,,
0000000171,2000,160000,0060,E,UBS1,,
0000000171,1000,160200,0045,C,HDFC,,
0000000172,3000,160200,0014,E,BARC,,
0000000172,1000,160000,0030,C,BARC,,
0000000173,1000,160100,Z030,E,HDFC,,
0000000174,1000,211000,Z060,U,UBS1,,
0000000175,1000,211400,0090,U,BARC,,
0000000176,3000,160200,Z060,E,CITI,,
0000000177,1000,211400,0014,B,DB01,,
0000000178,3000,160100,Z090,E,BARC,,
0000000179,3000,160200,Z090,B,CS01,,
0000000180,1000,211400,0090,E,HDFC,,
0000000181,1000,160100,0090,C,CS01,,
0000000182,3000,211400,0001,T,CS01,,
0000000183,2000,160100,0001,C,CITI,,
0000000184,2000,211400,0030,B,DB01,,
0000000185,2000,211000,0090,E,DB01,,
0000000186,2000,160100,0014,C,UBS1,,
0000000187,1000,160100,0030,U,HDFC,,
0000000188,3000,211000,Z090,B,UBS1,,
0000000188,1000,160200,0090,C,CS01,,
0000000189,1000,160000,Z090,C,CITI,,
0000000190,4000,211400,0001,U,SBI1,,
0000000190,1000,160100,0014,U,BARC,,
0000000191,2000,160100,0045,T,DB01,,
0000000191,1000,160000,0090,E,CITI,,
0000000192,1000,160100,Z090,C,HDFC,,
0000000193,3000,160100,0014,B,CS01,,
0000000194,4000,211400,Z030,U,BARC,,
0000000194,1000,160000,Z030,T,UBS1,,
0000000195,1000,160200,0045,B,HDFC,,
0000000196,2000,160100,0060,U,BARC,,
0000000197,3000,211000,0045,E,UBS1,,
0000000197,1000,160200,0030,U,SBI1,,
0000000198,3000,160100,0045,T,SBI1,,
0000000198,1000,160000,0001,C,SBI1,,
0000000199,1000,211000,0014,T,BARC,,
0000000200,3000,211400,Z090,E,UBS1,,
0000000200,1000,211400,0030,U,UBS1,,
0000000201,1000,160100,0060,E,UBS1,,
0000000202,2000,211000,0060,T,BARC,,
0000000202,1000,160200,0090,B,CITI,,
0000000203,2000,211400,0090,B,BARC,,
0000000204,3000,211000,Z030,C,UBS1,,
0000000205,1000,160000,0060,E,CS01,,
0000000206,2000,160100,0014,E,DB01,,
0000000207,3000,211400,0001,E,HDFC,,
0000000208,4000,211000,0090,B,SBI1,,
0000000208,1000,160200,Z060,C,UBS1,,
0000000209,2000,160000,Z030,C,UBS1,,
0000000209,1000,160000,0090,U,HDFC,,
0000000210,3000,211000,Z060,B,UBS1,,
0000000211,2000,160200,0090,C,BARC,,
0000000212,2000,211000,0090,U,UBS1,,
0000000213,2000,211400,0014,T,HDFC,,
0000000214,2000,160000,Z030,T,DB01,,
0000000215,1000,160100,0014,E,UBS1,,
0000000216,3000,160100,Z090,U,SBI1,,
0000000216,1000,160100,0045,E,UBS1,,
0000000217,3000,160000,0030,T,DB01,,
0000000218,2000,211400,0014,B,CS01,,
0000000219,2000,160100,Z030,B,CITI,,
0000000220,1000,160100,0014,B,UBS1,,
0000000221,3000,160200,0045,E,SBI1,,
0000000222,3000,160200,Z060,B,UBS1,,
0000000222,1000,211400,0030,T,CS01,,
0000000223,3000,211000,Z090,T,HDFC,,
0000000224,5000,160000,0014,B,CITI,,
0000000225,3000,160200,Z030,C,CS01,,
0000000226,3000,160200,0001,C,DB01,,
0000000227,2000,160000,0030,B,DB01,,
