LIFNR,BANKS,BANKL,BANKN,BKONT,KOINH,IBAN
0000000001,US,58604082,997606330133,01,Wuxi AppTec Laboratory Testing Divi,US726252896486680299
0000000002,IN,37288158,494748454138,01,World Courier Biopharma Cold-Chain,IN616489562206580500
0000000003,US,13382278,122144904131,01,Steris Life Sciences GMP Decontamin,US709448473392700859
0000000004,GB,39404897,14948370422,01,Evonik Health Care Biomaterials,GB17649461396742765466
0000000005,IN,18986969,216089404942,01,Charles River Laboratories Preclini,IN432206100753523668
0000000006,IT,39560848,727200695763,01,Pall Medical Biopharmaceutical Filt,IT8343378727235034741110787
0000000007,IN,16194140,569091309971,01,WuXi Biologics Contract Development,IN009446395347092439
0000000008,IN,57883448,467304822271,01,SGD Pharma Type I Molded Vials,IN020196832401892555
0000000009,IN,47703612,473204973544,01,Medpace Clinical Pharmacology Unit,IN752825548558856757
0000000010,DE,21774943,665809103723,01,DHL LifeConEx Validated Temperature,DE65844258489080661640
0000000011,CH,47342783,776809247120,01,FMC BioPolymer Microcrystalline Cel,CH3170574811568272586
0000000012,DE,23007871,449839026626,01,Schott Pharma Borosilicate Glass Vi,DE46933116222645517091
0000000013,IN,48324713,858951316733,01,Cryoport Systems Liquid Nitrogen Co,IN302219927271574432
0000000014,GB,68093559,34672514676,01,Syntegon Pharma Technology Packagin,GB74690763687167829363
0000000015,CH,73613823,984932207392,01,Wuxi AppTec Laboratory Testing Divi,CH1258222602566655467
0000000016,DE,,858557871664,01,Constantia Flexibles Coldform Foils,DE14530933145569313323
0000000017,IN,,650050295845,01,IQVIA Clinical Research Solutions,IN487705970325455335
0000000018,IN,,891589622366,01,Gattefosse Lipid Excipients Europe,IN139951872840064299
0000000019,IN,,252456216353,01,Divi's Laboratories Custom Synthesi,IN402426447552645984
0000000020,CH,,523315927684,01,Datwyler Pharma Packaging Rubber Pl,CH8912864820996821151
0000000021,IN,,218841067487,01,Gerresheimer Primary Packaging Glas,IN661803327305933359
0000000022,CH,,709324345184,01,Dishman Carbogen Amcis APIs,CH3462818937501461792
0000000023,CH,,663717679598,01,SGS Health Science Bioanalytical Te,CH0496936904979453441
0000000024,GB,,953022459158,01,Thermo Fisher Scientific Fisher Che,GB15949793207638835885
