LIFNR,EKORG,WAERS,ZTERM,INCO1,MINBW,SPERM,LOEVM
0000000001,EK04,USD,0030,CIP,0,,
0000000002,EK02,INR,0001,CPT,2500,,
0000000003,EK04,USD,Z030,CIP,2500,,
0000000004,EK04,USD,0014,DDP,1000,,
0000000005,EK02,INR,0060,CPT,1000,,
0000000006,EK03,EUR,0060,CIP,0,,
0000000007,EK02,INR,Z090,CIP,0,,
0000000008,EK02,INR,0001,DDP,0,,
0000000009,EK02,INR,Z030,DDP,500,,
0000000010,EK03,EUR,0045,CPT,0,,
0000000011,,EUR,Z060,DAP,2500,,
0000000012,,EUR,0045,EXW,10000,,
0000000013,,INR,0014,DDP,0,,
0000000014,,USD,0090,CPT,1000,,
0000000015,,EUR,0030,CPT,10000,,
0000000016,,EUR,Z060,CPT,2500,,
0000000017,,INR,0090,CPT,10000,,
0000000018,,INR,0030,EXW,1000,,
0000000019,,INR,Z090,FCA,500,,
0000000020,,EUR,0030,FCA,2500,,
0000000021,,INR,0001,FCA,0,,
0000000022,,EUR,0090,DAP,2500,,
0000000023,,EUR,0030,FCA,10000,,
0000000024,,USD,Z030,DDP,1000,,
0000000025,,EUR,Z060,CIP,1000,,
0000000026,EK02,INR,0030,CPT,1000,,
0000000027,EK02,INR,0045,DDP,10000,,
0000000028,EK02,INR,Z090,CIP,10000,,
0000000029,EK03,EUR,0001,EXW,0,,
0000000030,EK03,EUR,0030,CIP,2500,,
0000000031,EK04,,Z030,CPT,2500,,
0000000032,EK04,,0045,DDP,500,,
0000000033,EK03,,0001,FCA,0,,
0000000034,EK03,,0060,EXW,2500,,
0000000035,EK03,,Z030,EXW,10000,,
0000000036,EK03,,Z030,CIP,2500,,
0000000037,EK03,,0045,FCA,2500,,
0000000038,EK03,,0001,EXW,500,,
0000000039,EK03,,0090,CIP,500,,
0000000040,EK03,,Z060,DAP,0,,
0000000041,EK02,,0030,DAP,2500,,
0000000042,EK03,,Z060,DDP,0,,
0000000043,EK02,,0045,DDP,1000,,
0000000044,EK04,,0090,CIP,500,,
0000000045,EK03,,0030,CIP,500,,
0000000046,EK04,,0060,EXW,0,,
