LIFNR,KTOKK,NAME1,NAME2,SORTL,STRAS,ORT01,PSTLZ,LAND1,SPRAS,TELF1,SMTP_ADDR,STCD1,LOEVM,SPERM,ERDAT
0000000001,ZSUB,Henkel Surface Technologies Bonderi,Automotive Parts Wing,HENKELSUR,184 Engineering Way,Manchester,M1 1AD,GB,EN,+78-327-5840603,sales@henkel.surface.technologi.com,GB330342282,,,2021-06-11
0000000002,ZCMP,THK Precision Linear Guides,Foundry & Casting Works,THKPRECIS,37 Siemensstraße,Faridabad,121001,IN,EN,+61-905-6469846,sales@thk.precision.linear.guid.com,24AAACTY9803L1Z4,,,2018-09-05
0000000003,ZCMP,Kuehne + Nagel Heavy Project Cargo,,KUEHNE+N,107 Peenya Industrial Area,Indianapolis,46201,US,EN,+15-767-6511844,sales@kuehne.+.nagel.heavy.proj.com,48-4552537,,,2023-06-15
0000000004,ZCMP,Eaton Hydraulics & Hose Assemblies,Job-Work Division,EATONHYDR,118 Assembly Boulevard,Ahmedabad,380001,IN,EN,+13-453-1366853,sales@eaton.hydraulics.and.hose.com,24AAACTA8603G1Z9,,,2020-02-28
0000000005,ZELE,Yaskawa Motoman Industrial Robots,Foundry & Casting Works,YASKAWAMO,18 Assembly Boulevard,Coimbatore,641001,IN,EN,+22-610-9563699,sales@yaskawa.motoman.industria.com,33AAACTM6943U1Z8,,,2019-06-29
0000000006,ZCMP,Freudenberg Sealing Technologies,Surface Coating Div,FREUDENBER,44 Peenya Industrial Area,Detroit,48201,US,EN,+16-792-8727941,sales@freudenberg.sealing.techn.com,78-8420023,,,2023-02-24
0000000007,ZCMP,Timken Roller Bearings Industrial,,TIMKENROL,378 Zona Industrial Norte,Milwaukee,53201,US,EN,+20-419-6663260,sales@timken.roller.bearings.in.com,27-2362659,,,2020-03-16
0000000008,ZMET,SSAB Swedish Steel Heavy Plate,,SSABSWEDI,353 Industrial Tooling Way,Nashik,422001,IN,EN,+20-356-8820194,sales@ssab.swedish.steel.heavy..com,33AAACTI6366C1Z5,,,2018-04-17
0000000009,ZELE,Lapp Group Industrial Cable Systems,Machining Plant 2,LAPPGROUP,126 GIDC Vatva Industrial Park,Jamshedpur,831001,IN,EN,+84-683-1745882,sales@lapp.group.industrial.cab.com,27AAACTA7479T1Z8,,,2019-10-10
0000000010,ZCMP,Bosch Rexroth Industrial Hydraulics,,BOSCHREXR,339 Industriestraße,Akron,44301,US,EN,+43-118-3243979,sales@bosch.rexroth.industrial..com,78-6290906,,,2019-03-26
0000000011,ZELE,Omron Industrial Automation Sensors,,OMRONINDU,206 Ambattur Industrial Estate,Indianapolis,46201,US,EN,+28-251-3020733,sales@omron.industrial.automati.com,76-2112192,,,2017-08-20
0000000012,ZELE,Rockwell Automation Allen-Bradley,,ROCKWELLA,230 Industriestraße,Pune,411001,IN,EN,+70-669-6341008,sales@rockwell.automation.allen.com,29AAACTQ4423E1Z8,,,2019-05-14
0000000013,ZCMP,DHL Global Forwarding Heavy Cargo,Surface Coating Div,DHLGLOBAL,124 Assembly Boulevard,Gurugram,122001,IN,EN,+95-999-8361195,sales@dhl.global.forwarding.hea.com,27AAACTH1812S1Z6,,,2020-12-01
0000000014,ZCMP,Maersk Industrial Container Shippin,,MAERSKIND,364 Industriestraße,Nashik,422001,IN,EN,+58-783-5599203,sales@maersk.industrial.contain.com,24AAACTT1954A1Z7,,,2022-11-29
0000000015,ZCMP,Würth Industry Assembly Components,,WÜRTHINDU,19 Siemensstraße,Stuttgart,70173,DE,DE,+89-188-8544866,sales@würth.industry.assembly.c.com,DE230118910,,,2019-10-20
0000000016,ZMRO,Saint-Gobain Abrasives & Ceramics,Foundry & Casting Works,SAINTGOBA,241 Assembly Boulevard,Chicago,60601,US,EN,+28-759-9919587,sales@saintgobain.abrasives.and.com,40-6989516,,,2017-01-28
0000000017,ZCMP,Gates Industrial Power Transmission,,GATESINDU,89 Industriestraße,Chicago,60601,US,EN,+67-832-9576487,sales@gates.industrial.power.tr.com,14-4175590,,,2018-07-17
0000000018,ZMET,Nippon Steel Coils & Billets,,NIPPONSTE,171 Parque Industrial Monterrey,Stuttgart,70173,DE,DE,+85-592-3162568,sales@nippon.steel.coils.and.bi.com,DE719428633,,,2017-03-25
0000000019,ZMET,Ramkrishna Forgings Industrial Div,,RAMKRISHNA,314 Peenya Industrial Area,Stockholm,111 20,SE,JA,+97-237-1999674,sales@ramkrishna.forgings.indus.com,SE64078280,,,2017-04-21
0000000020,ZCMP,Norgren Industrial Pneumatics,Machining Plant 2,NORGRENIN,50 Daimlerstraße,Detroit,48201,US,EN,+20-915-6579034,sales@norgren.industrial.pneuma.com,59-7358783,X,,2023-10-26
0000000021,ZMET,Voestalpine High Performance Metals,Tooling Engineering Unit,VOESTALPIN,124 Die & Mold Drive,Ahmedabad,380001,IN,EN,+63-298-5592863,sales@voestalpine.high.performa.com,33AAACTT3690P1Z8,X,,2016-04-21
0000000022,ZCMP,Trelleborg Industrial Engineered Se,,TRELLEBORG,115 Daimlerstraße,Pune,411001,IN,EN,+76-941-7196064,sales@trelleborg.industrial.eng.com,27AAACTY7146E1Z5,X,,2021-02-19
0000000023,ZSUB,Supercut Wire EDM Machining Jobwork,,SUPERCUTW,436 Ambattur Industrial Estate,Tokyo,100-0001,JP,JA,+12-280-1353068,sales@supercut.wire.edm.machini.com,JP50509581,X,,2020-02-29
0000000024,ZMRO,Castrol Industrial Metalworking Flu,Foundry & Casting Works,CASTROLIN,437 Foundry Lane,Birmingham,B1 1AA,GB,EN,+1-489-3104996,sales@castrol.industrial.metalw.com,GB348874038,X,,2021-06-25
0000000025,ZELE,Phoenix Contact Terminal Blocks,,PHOENIXCO,96 Assembly Boulevard,Wolverhampton,WV1 1AA,GB,EN,+96-844-8356383,sales@phoenix.contact.terminal..com,GB953857368,X,,2019-01-09
0000000026,ZELE,Mitsubishi Electric Industrial CNC,,MITSUBISHI,351 Daimlerstraße,Busan,48000,KR,JA,+98-268-9662657,sales@mitsubishi.electric.indus.com,KR28534279,X,,2023-06-11
0000000027,ZMRO,Fuchs Lubricants Industrial Cutting,Automotive Parts Wing,FUCHSLUBR,216 Parque Industrial Monterrey,Bengaluru,560001,IN,EN,+37-567-7256262,sales@fuchs.lubricants.industri.com,27AAACTW1175Y1Z8,X,,2022-12-27
0000000028,ZCMP,Norgren Industrial Pneumatics,,NORGRENIN,125 Sanand Industrial Zone,Faridabad,121001,IN,EN,+13-654-2027483,sales@norgren.industrial.pneuma.com,27AAACTM2659T1Z8,X,,2023-08-04
0000000029,ZMRO,Iscar Carbide Metalworking Tools,Foundry & Casting Works,ISCARCARB,426 Foundry Lane,Jamshedpur,831001,IN,EN,+66-884-8000067,sales@iscar.carbide.metalworkin.com,06AAACTZ4828Y1Z9,X,,2020-09-10
0000000030,ZCMP,Garlock Sealing Technologies,Surface Coating Div,GARLOCKSE,192 GIDC Vatva Industrial Park,Monterrey,64000,MX,ES,+68-680-5136520,sales@garlock.sealing.technolog.com,WFQ232376R46,X,,2022-03-12
0000000031,ZSUB,Oerlikon Balzers Surface Hardening,Machining Plant 2,OERLIKONB,99 Sanand Industrial Zone,Cleveland,44101,US,EN,+78-250-9090619,sales@oerlikon.balzers.surface..com,70-3002540,X,,2021-08-09
0000000032,ZCMP,Swagelok Fluid System Components,,SWAGELOKF,82 Die & Mold Drive,Coimbatore,641001,IN,EN,+73-356-4005853,sales@swagelok.fluid.system.com.com,27AAACTF6873Z1Z2,X,,2023-07-01
0000000033,ZMET,Tata Steel Heavy Tubular Products,Job-Work Division,TATASTEEL,20 Sanand Industrial Zone,Jamshedpur,831001,IN,EN,+42-250-6610799,sales@tata.steel.heavy.tubular..com,33AAACTX7708H1Z4,X,,2019-12-06
0000000034,ZELE,Banner Engineering Safety Sensors,,BANNERENG,151 Daimlerstraße,Gurugram,122001,IN,EN,+92-111-7336027,sales@banner.engineering.safety.com,24AAACTZ3587V1Z3,X,,2017-03-19
0000000035,ZMRO,3M Industrial Safety & PPE Systems,,3MINDUSTR,129 Industriestraße,Nuremberg,90402,DE,DE,+27-228-2755279,sales@3m.industrial.safety.and..com,DE720305900,X,,2016-11-25
0000000036,ZELE,Sick AG Industrial LiDAR & Vision,,SICKAGIN,449 MIDC Industrial Area Bhosari,Guadalajara,44100,MX,ES,+8-826-6941479,sales@sick.ag.industrial.lidar..com,TEQ724745X61,X,,2022-11-23
0000000037,ZMET,Outokumpu Stainless Special Alloys,,OUTOKUMPU,404 Zona Industrial Norte,Milwaukee,53201,US,EN,+23-154-7475448,sales@outokumpu.stainless.speci.com,49-1007659,X,,2020-02-03
