LIFNR,BUKRS,AKONT,ZTERM,ZWELS,HBKID,SPERR,LOEVM
0000000001,4000,,0045,U,HDFC,,
0000000001,1000,,Z030,U,CITI,,
0000000002,1000,,0090,C,CITI,,
0000000003,3000,,0045,T,CITI,,
0000000004,1000,,0060,C,BNP1,,
0000000005,1000,,Z090,U,CITI,,
0000000006,3000,,0014,E,SBI1,,
0000000007,3000,,0045,E,BARC,,
0000000008,1000,,Z030,E,BNP1,,
0000000009,1000,,0045,U,HDFC,,
0000000010,3000,,Z090,B,DB01,,
0000000011,3000,,0060,C,CITI,,
0000000012,1000,,0060,T,SBI1,,
0000000013,1000,,0060,B,HDFC,,
0000000014,1000,,Z060,B,HDFC,,
0000000015,2000,,Z030,T,BARC,,
0000000016,3000,,Z030,C,SBI1,,
0000000016,1000,,0045,T,ICIC,,
0000000017,3000,,0090,T,ICIC,,
0000000018,2000,,0001,C,BARC,,
0000000018,1000,,Z060,E,CITI,,
0000000019,1000,,Z090,T,BNP1,,
0000000020,3000,,Z090,C,DB01,,
0000000021,1000,,0001,B,BARC,,
0000000022,1000,,Z060,E,BNP1,,
0000000023,1000,,0045,U,BNP1,,
0000000024,4000,,Z030,B,BARC,,
0000000025,4000,,Z060,E,CITI,,
0000000026,1000,,0014,T,BNP1,,
0000000027,1000,,0060,B,HDFC,,
0000000028,1000,,Z090,B,ICIC,,
0000000029,1000,,0045,B,BARC,,
0000000030,5000,,0060,B,HDFC,,
0000000030,1000,,0060,B,HDFC,,
0000000031,3000,,Z030,C,SBI1,,
0000000032,1000,,0090,C,CITI,,
0000000033,1000,,0001,E,DB01,,
0000000034,1000,,Z060,T,ICIC,,
0000000035,2000,,0030,E,HDFC,,
0000000035,1000,,0045,E,DB01,,
0000000036,5000,211000,Z030,C,BNP1,,
0000000037,3000,160100,Z090,T,SBI1,,
0000000038,1000,160200,0090,E,HDFC,,
0000000039,3000,211000,Z060,C,SBI1,,
0000000040,2000,160200,0001,B,CITI,,
0000000041,1000,211000,,T,SBI1,,
0000000042,2000,211500,,E,SBI1,,
0000000042,1000,160100,,B,SBI1,,
0000000043,2000,160000,,C,BARC,,
0000000044,1000,160100,,B,ICIC,,
0000000045,2000,211000,,C,SBI1,,
0000000046,3000,160100,,E,BNP1,,
0000000046,1000,211000,,C,HDFC,,
0000000047,2000,211000,,E,DB01,,
0000000048,1000,160000,,T,DB01,,
0000000049,3000,160200,,B,HDFC,,
0000000049,1000,160100,,T,HDFC,,
0000000050,1000,160100,,U,CITI,,
0000000051,2000,160000,,E,ICIC,,
0000000051,1000,160200,,E,DB01,,
0000000052,2000,160200,,U,BNP1,,
0000000052,1000,160000,,C,BARC,,
0000000053,5000,211500,,T,DB01,,
0000000054,2000,211500,,B,BARC,,
0000000055,2000,211000,,U,HDFC,,
0000000056,1000,211000,,B,ICIC,,
0000000057,3000,211500,,C,CITI,,
0000000058,2000,160000,,E,BNP1,,
0000000058,1000,160200,,E,DB01,,
0000000059,2000,211500,,T,DB01,,
0000000060,2000,211500,,U,DB01,,
0000000061,3000,160200,,T,BARC,,
0000000062,3000,160100,,B,BNP1,,
0000000062,1000,160200,,B,SBI1,,
0000000063,1000,160000,,E,BNP1,,
0000000064,1000,211000,0030,T,DB01,,
0000000065,2000,211000,0014,B,BARC,,
0000000066,2000,211500,0001,E,ICIC,,
0000000066,1000,160200,Z090,E,BARC,,
0000000067,2000,211500,Z060,B,BARC,,
0000000067,1000,211000,0001,B,DB01,,
0000000068,3000,160100,Z060,E,SBI1,,
0000000068,1000,211500,0090,C,BNP1,,
0000000069,5000,211000,0001,B,CITI,,
0000000070,1000,211000,0090,B,BNP1,,
0000000071,1000,211000,0090,C,BARC,,
0000000072,1000,211000,Z090,C,BARC,,
0000000073,5000,160000,Z060,B,DB01,,
0000000074,1000,160000,0060,B,DB01,,
0000000075,2000,160100,0060,C,ICIC,,
0000000076,2000,160100,0014,B,SBI1,,
0000000077,1000,160200,0045,E,CITI,,
0000000078,1000,211000,0030,E,BARC,,
0000000079,3000,211000,0045,U,DB01,,
0000000080,1000,160200,0001,E,DB01,,
0000000081,3000,160100,0060,B,CITI,,
0000000082,1000,211000,Z090,E,DB01,,
0000000083,3000,211000,0045,E,BARC,,
0000000083,1000,211500,0001,E,ICIC,,
0000000084,2000,211000,Z090,B,HDFC,,
0000000084,1000,211500,0090,C,ICIC,,
0000000085,1000,160100,0001,E,ICIC,,
0000000086,1000,160000,0045,C,BARC,,
0000000087,2000,211500,Z030,C,SBI1,,
0000000087,1000,160000,Z030,C,BARC,,
