LIFNR,BANKS,BANKL,BANKN,BKONT,KOINH,IBAN
0000000001,GB,30103785,889045232367,01,Henkel Surface Technologies Bonderi,GB33319238069469231109
0000000002,IN,13207388,334995108663,01,THK Precision Linear Guides,IN571104766748471037
0000000003,US,10813160,343364875422,01,Kuehne + Nagel Heavy Project Cargo,US691125222137235226
0000000004,IN,77453772,582750204663,01,Eaton Hydraulics & Hose Assemblies,IN501380974207232266
0000000005,IN,74548526,289598405372,01,Yaskawa Motoman Industrial Robots,IN181812921356004074
0000000006,US,50609871,785236447360,01,Freudenberg Sealing Technologies,US705873085322749143
0000000007,US,21900039,235983825545,01,Timken Roller Bearings Industrial,US661770378190679360
0000000008,IN,90982815,230818154847,01,SSAB Swedish Steel Heavy Plate,IN742328896999043300
0000000009,IN,87033410,925513814513,01,Lapp Group Industrial Cable Systems,IN783535426382592895
0000000010,US,49600587,43799126587,01,Bosch Rexroth Industrial Hydraulics,US405213472855993841
0000000011,US,43506275,92907432226,01,Omron Industrial Automation Sensors,US438437133710709139
0000000012,IN,66128387,806592703262,01,Rockwell Automation Allen-Bradley,IN392699383644135606
0000000013,IN,38577149,417858794677,01,DHL Global Forwarding Heavy Cargo,IN227027042439735637
0000000014,IN,34981687,21011722835,01,Maersk Industrial Container Shippin,IN058717952624363741
0000000015,DE,91661236,94662781641,01,Würth Industry Assembly Components,DE07976984903579168518
0000000016,US,,197995630048,01,Saint-Gobain Abrasives & Ceramics,US740404951598827279
0000000017,US,,421825335255,01,Gates Industrial Power Transmission,US762068933960003188
0000000018,DE,,866444142064,01,Nippon Steel Coils & Billets,DE22070099777912289939
0000000019,SE,,225870180077,01,Ramkrishna Forgings Industrial Div,SE4575731806580557215656
0000000020,US,,878289886718,01,Norgren Industrial Pneumatics,US342902028506632302
0000000021,IN,,68173920310,01,Voestalpine High Performance Metals,IN840786675478871144
0000000022,IN,,430987740068,01,Trelleborg Industrial Engineered Se,IN602489069227973752
0000000023,JP,,360136738371,01,Supercut Wire EDM Machining Jobwork,JP196186553644275862
0000000024,GB,,748396016220,01,Castrol Industrial Metalworking Flu,GB64202606179022107479
0000000025,GB,,243872983933,01,Phoenix Contact Terminal Blocks,GB68964626452362294099
0000000026,KR,,789037570783,01,Mitsubishi Electric Industrial CNC,KR625344694124756031
0000000027,IN,,799314227112,01,Fuchs Lubricants Industrial Cutting,IN615959873365692009
0000000028,IN,,224004623020,01,Norgren Industrial Pneumatics,IN446833158225363050
0000000029,IN,,414846092338,01,Iscar Carbide Metalworking Tools,IN671992713295537618
0000000030,MX,,321396337791,01,Garlock Sealing Technologies,MX1017690258205684
0000000031,US,,798272740141,01,Oerlikon Balzers Surface Hardening,US337721745106987639
0000000032,IN,,95742703962,01,Swagelok Fluid System Components,IN968478582653893312
0000000033,IN,,984858190414,01,Tata Steel Heavy Tubular Products,IN534914725705632358
0000000034,IN,,163723640400,01,Banner Engineering Safety Sensors,IN759172234441644059
0000000035,DE,,923471418758,01,3M Industrial Safety & PPE Systems,DE47994722119519508687
0000000036,MX,60905980,404041940073,01,Sick AG Industrial LiDAR & Vision,MX7049781336289524
0000000037,US,59055655,934194313986,01,Outokumpu Stainless Special Alloys,US721100248598865377
0000000038,IN,16817545,948804849428,01,Klüber Lubrication High Temp Grease,IN913964031815970921
0000000039,US,51535745,697913085372,01,Sick AG Industrial LiDAR & Vision,US262574616762502074
0000000040,DE,33728975,944746826435,01,Omron Industrial Automation Sensors,DE30642325153001150334
0000000041,IN,79449244,513248286543,01,,IN227990746539245362
0000000042,DE,54392624,295286056113,01,,DE65588844036120237780
0000000043,DE,29828078,151635531417,01,,DE32679097275060050348
0000000044,KR,77945912,229461849634,01,,KR495503520064752444
0000000045,DE,78845964,775129978472,01,,DE47232856021386353533
0000000046,US,46778624,787569883546,01,,US370607916972478113
0000000047,DE,87501377,807308969401,01,,DE84910757876903349443
0000000048,IN,43800981,252827369191,01,,IN122249093135423870
0000000049,US,56741829,279918198315,01,,US275340739941219214
0000000050,IN,32346280,459125303412,01,,IN908795432842694497
0000000051,DE,13047248,600121793918,01,,DE24520719306093414844
0000000052,DE,59008475,10440747496,01,,DE61827226569816220611
0000000053,MX,16504216,105582395116,01,,MX2601016620376761
0000000054,DE,95537325,302306641637,01,,DE38473709585206175399
0000000055,DE,99482167,632691761517,01,,DE33089852334669947856
0000000056,IN,79559809,957984906499,01,,IN898310672420444069
0000000057,US,86058644,802170340793,01,,US506251688734414353
0000000058,DE,88592616,570267430942,01,,DE93855657936961077650
0000000059,DE,83993024,920628185378,01,,DE01606049763297943343
0000000060,DE,79659200,864401492112,01,,DE62698357273947784912
0000000061,US,25350196,980487794531,01,Turck Industrial Proximity Sensors,US565280511459545473
0000000062,US,14856009,224625532482,01,Saint-Gobain Abrasives & Ceramics,US082481579753948283
0000000063,JP,62307406,545416442582,01,Norgren Industrial Pneumatics,JP271602338194085907
0000000064,IN,88909846,915995786271,01,Mobil Industrial Gear Oils & Grease,IN024153885397752639
0000000065,DE,66003309,790152292018,01,Danfoss Power Solutions Hydraulics,DE73942770496468400915
0000000066,DE,45568268,882767688310,01,Garlock Sealing Technologies,DE33588285991812537774
0000000067,DE,57495426,763715908733,01,Danfoss Power Solutions Hydraulics,DE81976281104011670413
0000000068,US,30854092,210944884776,01,Schaeffler Technologies AG & Co,US944103954825067985
0000000069,MX,20020370,373151612624,01,Swagelok Fluid System Components,MX2018070554815308
0000000070,IN,14516933,496233802209,01,Eaton Hydraulics & Hose Assemblies,IN075327373888656412
0000000071,IN,43326879,747443770054,01,Norgren Industrial Pneumatics,IN123
0000000072,IN,97759029,789762419336,01,Bohler Special Steels Europe,DE89MIDL40051512345678INVALID
0000000073,MX,63724388,191634796513,01,Jindal Stainless Structural Product,in91icic000987654321
0000000074,IN,83116366,715712421076,01,3M Industrial Safety & PPE Systems,9991icic000987654321
0000000075,DE,11909262,171452698110,01,SSAB Swedish Steel Heavy Plate,GB29
0000000076,DE,42244058,431200042445,01,MinebeaMitsumi Precision Components,DE28682206031117943587
0000000077,IN,77401551,914135873807,01,Castrol Industrial Metalworking Flu,IN633096283033103554
0000000078,IN,69812353,524808029501,01,Gates Industrial Power Transmission,IN826186425195101222
0000000079,US,79437866,520033309288,01,Trelleborg Industrial Engineered Se,US502307367093669154
0000000080,IN,43476346,232854791465,01,Würth Industry Assembly Components,IN353678648361756010
0000000081,CH,13843960,15805878420,01,Keyence Precision Optical Sensors,US166129086941634109
0000000082,CH,13420155,625032647173,01,PPG Industrial Coatings & E-Coat,IN247140046053195682
0000000083,CH,94298417,388976347833,01,Sandvik Materials Technology AB,US377909089256101293
0000000084,CH,82762699,734253120045,01,Parker Hannifin Fluid Connectors,DE01837693946651933875
0000000085,CH,73530644,505410621635,01,Outokumpu Stainless Special Alloys,IN474670581815404085
0000000086,CH,64206754,265420369207,01,Norgren Industrial Pneumatics,IN538984304134680033
0000000087,CH,97648514,469124197961,01,Sandvik Materials Technology AB,DE29843255066265638566
0000000088,CH,24365359,910554417643,01,Kuehne + Nagel Heavy Project Cargo ,IN826201159976869110
0000000089,CH,89048797,509194227237,01,Kalyani Forgings & Metallurgy 89,DE42406506692237970100
0000000090,CH,18431520,619068814085,01,Lasertech CNC Laser Cutting & Bendi,IN122199433588535307
0000000091,CH,54676484,843953095745,01,Gates Industrial Power Transmission,IN933594351833098835
0000000092,CH,98617862,363621350364,01,Aalberts Surface Technologies Plati,DE86776657317603091926
0000000093,CH,85266409,45381229487,01,Alcoa Aluminum Extrusions Corp 93,IN877821585403275707
0000000094,CH,36250997,847661671451,01,Bharat Forge Precision Machining 94,IN534742456003411767
0000000095,CH,24940901,717188557777,01,Rockwell Automation Allen-Bradley 9,DE24217745403765864362
0000000096,DE,99666385,979445027124,01,Danfoss Power Solutions Hydraulics ,DE78621660080609354174
0000000097,GB,81155331,125247960798,01,Kennametal Carbide Tooling Systems ,GB61077029436857219593
0000000098,US,68193706,538195582440,01,Mobil Industrial Gear Oils & Grease,US884562642155777956
0000000099,IN,24739734,214506088178,01,Garlock Sealing Technologies 99,IN340902459558775729
0000000100,DE,63907880,497125852259,01,PPG Industrial Coatings & E-Coat 10,DE86053209873844819449
0000000101,IN,HDFC0001,12345678901,01,Tata Steel Heavy Tubular Products,IN89HDFC00012345678901
0000000102,IN,HDFC0001,12345678901,01,Tata Steel Tubes Division - Jobwork,IN89HDFC00012345678901
0000000103,DE,50010517,5407324931,01,Bosch Rexroth Industrial Hydraulics,DE44500105175407324931
0000000104,DE,50010517,5407324931,01,Bosch Rexroth AG - Fluid Power,DE44500105175407324931
0000000105,JP,ICIC0009,98765432109,01,Sundram Fasteners Automotive Ltd,IN91ICIC00098765432109
0000000106,JP,ICIC0009,98765432109,01,Sundram Fasteners Special Forgings,IN91ICIC00098765432109
0000000107,IN,12000000,9876543210,01,Parker Hannifin Fluid Connectors,US120000009876543210
0000000108,IN,12000000,9876543210,01,Parker Hannifin Hose Division,US120000009876543210
0000000109,IN,37040044,0532013000,01,Schaeffler Technologies AG & Co,DE89370400440532013000
0000000110,IN,37040044,0532013000,01,Schaeffler Aerospace Bearings,DE89370400440532013000
0000000111,JP,36582014,778660309646,01,Bharat Forge Precision Machining,JP694070496215515139
