LIFNR,EKORG,WAERS,ZTERM,INCO1,MINBW,SPERM,LOEVM
0000000001,EK02,EUR,0060,DDP,0,,
0000000002,EK01,INR,0090,FCA,5000,,
0000000003,EK03,USD,0045,CIP,5000,,
0000000004,EK01,INR,Z030,CIP,5000,,
0000000005,EK01,INR,Z090,EXW,0,,
0000000006,EK03,USD,Z060,DDP,500,,
0000000007,EK03,USD,0014,FOB,0,,
0000000008,EK01,INR,0014,FCA,5000,,
0000000009,EK01,INR,0001,EXW,250,,
0000000010,EK03,USD,Z030,DAP,0,,
0000000011,,USD,0014,CIF,250,,
0000000012,,INR,Z030,DAP,500,,
0000000013,,INR,0060,CIF,500,,
0000000014,,INR,0090,EXW,500,,
0000000015,,EUR,0045,CIP,0,,
0000000016,,USD,0001,CIP,5000,,
0000000017,,USD,0060,DAP,0,,
0000000018,,EUR,0045,CIF,0,,
0000000019,,EUR,Z090,CIF,5000,,
0000000020,,USD,0030,DDP,500,,
0000000021,,INR,0030,EXW,250,,
0000000022,,INR,0030,CIP,500,,
0000000023,,USD,0090,FCA,250,,
0000000024,,EUR,0001,CIP,0,,
0000000025,,EUR,Z030,CIP,0,,
0000000026,EK04,USD,0014,CIP,0,,
0000000027,EK01,INR,0045,CIP,5000,,
0000000028,EK01,INR,0001,FOB,5000,,
0000000029,EK01,INR,0090,EXW,5000,,
0000000030,EK03,USD,Z090,DDP,0,,
0000000031,EK03,,0060,EXW,0,,
0000000032,EK01,,0060,FCA,500,,
0000000033,EK01,,Z030,DDP,500,,
0000000034,EK01,,Z030,EXW,250,,
0000000035,EK02,,0030,EXW,5000,,
0000000036,EK03,,Z060,CIP,500,,
0000000037,EK03,,0001,EXW,500,,
0000000038,EK01,,Z030,DAP,5000,,
0000000039,EK03,,0060,DDP,5000,,
0000000040,EK02,,0090,CIF,5000,,
0000000041,EK01,,0060,EXW,1000,,
0000000042,EK02,,0001,CIP,250,,
0000000043,EK02,,0045,FOB,1000,,
0000000044,EK04,,0001,FCA,5000,,
0000000045,EK02,,0060,CIF,500,,
0000000046,EK03,,0014,DAP,5000,,
0000000047,EK02,,0014,CIP,5000,,
0000000048,EK01,,Z060,CIF,500,,
0000000049,EK03,,Z030,FCA,0,,
0000000050,EK01,,0001,DDP,1000,,
0000000051,EK02,EUR,0060,CIF,1000,,
0000000052,EK02,EUR,0045,CIF,250,,
0000000053,EK03,USD,0090,FCA,5000,,
0000000054,EK02,EUR,Z060,DDP,250,,
0000000055,EK02,EUR,Z060,DAP,250,,
0000000056,EK01,INR,0030,FOB,5000,,
0000000057,EK03,USD,Z030,DAP,5000,,
0000000058,EK02,EUR,Z090,FCA,1000,,
0000000059,EK02,EUR,0090,CIP,5000,,
0000000060,EK02,EUR,0045,FOB,500,,
0000000061,EK03,JPY,0090,CIF,0,,
0000000062,EK03,JPY,0090,EXW,5000,,
0000000063,EK04,JPY,0090,EXW,500,,
0000000064,EK01,JPY,Z060,CIP,1000,,
0000000065,EK02,JPY,Z060,DAP,0,,
0000000066,EK02,JPY,Z030,DDP,1000,,
0000000067,EK02,JPY,0030,FOB,1000,,
0000000068,EK03,JPY,0090,FOB,5000,,
0000000069,EK03,JPY,0060,DDP,0,,
0000000070,EK01,JPY,0045,CIF,5000,,
0000000071,EK01,JPY,0030,DDP,1000,,
0000000072,EK01,JPY,0045,FOB,500,,
0000000073,EK03,JPY,0090,CIP,1000,,
0000000074,EK01,JPY,0045,CIF,250,,
0000000075,EK02,JPY,0045,EXW,0,,
